"window_id","historical_start_year","historical_end_year","current_available_start_year","current_available_end_year","current_complete_case_start_year","current_complete_case_end_year","window_classification","estimation_design_status","reason"
"full_long_sample",1929,2024,1931,2024,1931,2024,"HISTORICAL_FULL_SAMPLE_BENCHMARK","BASELINE_ALREADY_ESTIMATED","D12C estimated LL11 and LL22 for current full available sample."
"pre_1974_full",1929,1973,1931,2024,1931,1973,"PRIMARY_ROBUSTNESS_WINDOW","PRIMARY_ROBUSTNESS_CANDIDATE","Window reconciled to current complete-case availability."
"post_1973_full",1974,2024,1931,2024,1974,2024,"PRIMARY_ROBUSTNESS_WINDOW","PRIMARY_ROBUSTNESS_CANDIDATE","Window reconciled to current complete-case availability."
"fordist_core",1945,1973,1931,2024,1945,1973,"SECONDARY_ROBUSTNESS_WINDOW","SECONDARY_ROBUSTNESS_CANDIDATE","Window reconciled to current complete-case availability."
"bridge_1940_1978",1940,1978,1931,2024,1940,1978,"SECONDARY_TRANSITION_WINDOW","SECONDARY_ROBUSTNESS_CANDIDATE","Window reconciled to current complete-case availability."
"pre_1974_alt_1940_1973",1940,1973,1931,2024,1940,1973,"SUPPORT_WINDOW","SUPPORT_ROBUSTNESS_CANDIDATE","Window reconciled to current complete-case availability."
"pre_1974_alt_1947_1973",1947,1973,1931,2024,1947,1973,"SUPPORT_WINDOW","SUPPORT_ROBUSTNESS_CANDIDATE","Window reconciled to current complete-case availability."
"post_1974_tight",,,1931,2024,,,"BLOCKED_SHORT_WINDOW","BLOCKED_NOT_ESTIMABLE","historically forbidden short post-1974 window"
"post_1974_support",,,1931,2024,,,"BLOCKED_SHORT_WINDOW","BLOCKED_NOT_ESTIMABLE","historically forbidden short post-1974 window"
"volcker_event_profile",1979,1982,1931,2024,1979,1982,"DESCRIPTIVE_EVENT_PROFILE_ONLY","DESCRIPTIVE_ONLY_NOT_ESTIMABLE","Volcker event profile is descriptive only"
