"candidate_model_id","window_id","grid_id","source_status","d12f_r_status","reason","notes"
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL33","pre_1974_full","LL33","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","PASS_SAMPLE_FEASIBLE BLOCK_INSUFFICIENT_DF","Candidate failed D12E feasibility or precheck."
"RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL22","fordist_core","LL22","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","BLOCK_INSUFFICIENT_SAMPLE BLOCK_INSUFFICIENT_DF","Candidate failed D12E feasibility or precheck."
"RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL33","fordist_core","LL33","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","BLOCK_INSUFFICIENT_SAMPLE BLOCK_RANK_DEFICIENT","Candidate failed D12E feasibility or precheck."
"RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL33","bridge_1940_1978","LL33","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","BLOCK_INSUFFICIENT_SAMPLE BLOCK_INSUFFICIENT_DF","Candidate failed D12E feasibility or precheck."
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL22","pre_1974_alt_1940_1973","LL22","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","WARN_SMALL_SAMPLE BLOCK_INSUFFICIENT_DF","Candidate failed D12E feasibility or precheck."
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL33","pre_1974_alt_1940_1973","LL33","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","BLOCK_INSUFFICIENT_SAMPLE BLOCK_RANK_DEFICIENT","Candidate failed D12E feasibility or precheck."
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL11","pre_1974_alt_1947_1973","LL11","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","BLOCK_INSUFFICIENT_SAMPLE BLOCK_INSUFFICIENT_DF","Candidate failed D12E feasibility or precheck."
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL22","pre_1974_alt_1947_1973","LL22","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","BLOCK_INSUFFICIENT_SAMPLE BLOCK_INSUFFICIENT_DF","Candidate failed D12E feasibility or precheck."
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL33","pre_1974_alt_1947_1973","LL33","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","BLOCK_INSUFFICIENT_SAMPLE BLOCK_RANK_DEFICIENT","Candidate failed D12E feasibility or precheck."
"RDOLS_ME_NRC_OMEGA_INT_POST_1974_TIGHT_LL00","post_1974_tight","LL00","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","BLOCK_WINDOW_FORBIDDEN BLOCK_NOT_PRECHECKED","Historically forbidden short post-1974 window."
"RDOLS_ME_NRC_OMEGA_INT_POST_1974_TIGHT_LL11","post_1974_tight","LL11","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","BLOCK_WINDOW_FORBIDDEN BLOCK_NOT_PRECHECKED","Historically forbidden short post-1974 window."
"RDOLS_ME_NRC_OMEGA_INT_POST_1974_TIGHT_LL22","post_1974_tight","LL22","BLOCK_NOT_ESTIMABLE","SKIPPED_BLOCKED_BY_D12E","BLOCK_WINDOW_FORBIDDEN BLOCK_NOT_PRECHECKED","Historically forbidden short post-1974 window."
