"protocol_item","object_family","asset_block","input_required","input_status","baseline_allowed","validation_allowed","fallback_allowed","prohibited","decision","construction_rule","reason","next_stage","notes"
"direct_nominal_ME_investment","investment_input","ME","I_NOM_NFC_ME_DIRECT","available","TRUE","TRUE","FALSE","FALSE","canonical_input_confirmed","Use direct FAAt407 ME current-dollar investment as the nominal flow.","Direct BEA investment is available and is the canonical source.","S12D_after_price_treatment_lock",""
"direct_nominal_NRC_investment","investment_input","NRC","I_NOM_NFC_NRC_DIRECT","available","TRUE","TRUE","FALSE","FALSE","canonical_input_confirmed","Use direct FAAt407 NRC current-dollar investment as the nominal flow.","Direct BEA investment is available and is the canonical source.","S12D_after_price_treatment_lock",""
"current_cost_ME_netstock_validation","stock_validation_input","ME","K_NET_CC_NFC_ME_VALIDATION","available","FALSE","TRUE","FALSE","FALSE","validation_only_confirmed","Retain FAAt401 current-cost net stock for scale and trajectory checks.","A current-cost net stock is not a GPIM gross stock.","S12D_after_price_treatment_lock",""
"ME_CFC_input","depreciation_input","ME","CFC_CC_NFC_ME_INPUT","available","FALSE","TRUE","TRUE","FALSE","diagnostic_and_fallback_input","Retain FAAt404 current-cost CFC for diagnostics and fallback accounting.","CFC does not resolve real-investment pricing.","S12D_after_price_treatment_lock",""
"FAAt402_ME_validation_only","quantity_index_validation","ME","Q_K_BEAFIXEDASSETS_ME_VALIDATION","available","FALSE","TRUE","FALSE","TRUE","prohibited_for_baseline","Use only to compare a future GPIM real-stock trajectory.","FAAt402 is a BEA Fisher quantity-index comparison object, not a GPIM price index or GPIM product.","S12D_after_price_treatment_lock",""
"current_cost_NRC_netstock_validation","stock_validation_input","NRC","K_NET_CC_NFC_NRC_VALIDATION","available","FALSE","TRUE","FALSE","FALSE","validation_only_confirmed","Retain FAAt401 current-cost net stock for scale and trajectory checks.","A current-cost net stock is not a GPIM gross stock.","S12D_after_price_treatment_lock",""
"NRC_CFC_input","depreciation_input","NRC","CFC_CC_NFC_NRC_INPUT","available","FALSE","TRUE","TRUE","FALSE","diagnostic_and_fallback_input","Retain FAAt404 current-cost CFC for diagnostics and fallback accounting.","CFC does not resolve real-investment pricing.","S12D_after_price_treatment_lock",""
"FAAt402_NRC_validation_only","quantity_index_validation","NRC","Q_K_BEAFIXEDASSETS_NRC_VALIDATION","available","FALSE","TRUE","FALSE","TRUE","prohibited_for_baseline","Use only to compare a future GPIM real-stock trajectory.","FAAt402 is a BEA Fisher quantity-index comparison object, not a GPIM price index or GPIM product.","S12D_after_price_treatment_lock",""
"ME_service_life_parameter","retirement_parameter","ME","L_ME","methodological_metadata_ready","pending_protocol_lock","TRUE","FALSE","FALSE","parameter_confirmed","Use L_ME = 14 in the future Weibull retirement schedule.","Parameter is locked, but GPIM construction still requires price treatment.","S12D_after_price_treatment_lock",""
"ME_weibull_shape_parameter","retirement_parameter","ME","alpha_ME","methodological_metadata_ready","pending_protocol_lock","TRUE","FALSE","FALSE","parameter_confirmed","Use alpha_ME = 1.7 in the future Weibull retirement schedule.","Parameter is locked, but GPIM construction still requires price treatment.","S12D_after_price_treatment_lock",""
