"asset_block","year","gross_stock_object","net_value_stock_object","gross_survival_gpim_stock_2017_millions","net_value_gpim_stock_diagnostic_2017_millions","current_cost_net_stock_anchor_millions","reconstructed_current_cost_net_stock_millions","sfc_reconstruction_residual_millions","sfc_reconstruction_residual_percent","gross_stock_role","net_value_stock_role"
"ME",1925,"K_G_NFC_ME_GPIM","K_NV_NFC_ME_GPIM_DIAGNOSTIC",22597305.7048601,13969140.9246515,23154,23154,0,0,"GROSS_SURVIVAL_GPIM_STOCK_BASELINE","NET_VALUE_GPIM_STOCK_DIAGNOSTIC"
"ME",1926,"K_G_NFC_ME_GPIM","K_NV_NFC_ME_GPIM_DIAGNOSTIC",23186822.6079495,13801899.8763009,24187,24187,-0.00000000000363797880709171,-0.0000000000000150410501802279,"GROSS_SURVIVAL_GPIM_STOCK_BASELINE","NET_VALUE_GPIM_STOCK_DIAGNOSTIC"
"ME",1927,"K_G_NFC_ME_GPIM","K_NV_NFC_ME_GPIM_DIAGNOSTIC",23288758.029371,13316952.3284681,24400,24400,0,0,"GROSS_SURVIVAL_GPIM_STOCK_BASELINE","NET_VALUE_GPIM_STOCK_DIAGNOSTIC"
"ME",1928,"K_G_NFC_ME_GPIM","K_NV_NFC_ME_GPIM_DIAGNOSTIC",23290062.6701439,12887986.4266545,24644,24644,0.00000000000363797880709171,0.0000000000000147621279300914,"GROSS_SURVIVAL_GPIM_STOCK_BASELINE","NET_VALUE_GPIM_STOCK_DIAGNOSTIC"
"ME",1929,"K_G_NFC_ME_GPIM","K_NV_NFC_ME_GPIM_DIAGNOSTIC",23512810.1280862,12681432.1684523,24427,24427,0,0,"GROSS_SURVIVAL_GPIM_STOCK_BASELINE","NET_VALUE_GPIM_STOCK_DIAGNOSTIC"
"ME",1930,"K_G_NFC_ME_GPIM","K_NV_NFC_ME_GPIM_DIAGNOSTIC",23366102.2636706,12193648.2618799,23086,23086,0,0,"GROSS_SURVIVAL_GPIM_STOCK_BASELINE","NET_VALUE_GPIM_STOCK_DIAGNOSTIC"
"ME",1931,"K_G_NFC_ME_GPIM","K_NV_NFC_ME_GPIM_DIAGNOSTIC",22495682.7944317,11251035.8782759,21030,21030,0.00000000000363797880709171,0.0000000000000172989957541213,"GROSS_SURVIVAL_GPIM_STOCK_BASELINE","NET_VALUE_GPIM_STOCK_DIAGNOSTIC"
"ME",1932,"K_G_NFC_ME_GPIM","K_NV_NFC_ME_GPIM_DIAGNOSTIC",20989611.6160036,10015881.3134673,18864,18864,-0.00000000000363797880709171,-0.0000000000000192852990197822,"GROSS_SURVIVAL_GPIM_STOCK_BASELINE","NET_VALUE_GPIM_STOCK_DIAGNOSTIC"
"ME",1933,"K_G_NFC_ME_GPIM","K_NV_NFC_ME_GPIM_DIAGNOSTIC",19215061.6483186,8825319.70014159,18938,18938,0,0,"GROSS_SURVIVAL_GPIM_STOCK_BASELINE","NET_VALUE_GPIM_STOCK_DIAGNOSTIC"
"ME",1934,"K_G_NFC_ME_GPIM","K_NV_NFC_ME_GPIM_DIAGNOSTIC",17602308.1926552,7895104.02144089,19402,19402,0,0,"GROSS_SURVIVAL_GPIM_STOCK_BASELINE","NET_VALUE_GPIM_STOCK_DIAGNOSTIC"
