"variable_id","source_file","source_stage","sector_account_boundary","numerator","denominator","unit","frequency","year_coverage_start","year_coverage_end","finite_observations","adjusted_unadjusted","kind","authorization","s20_support_compatibility","joinable_by_year","candidate_status","evidence"
"omega_reference","docs/validation/US_S22_PERIODIZED_A00_BASELINE_VALIDATION.md","closed_downstream_historical_reference","referenced_not_authorized","not_applicable","not_applicable","not_applicable","not_applicable",,,,"unadjusted_reference","historical_downstream_reference","DOWNSTREAM_CLOSED_NOT_S20B_AUTHORITY","no; downstream stages are closed and not invoked","not_an_input","AUDITED_REFERENCE_ONLY","Downstream reference confirms historical use but cannot authorize current S20 attachment."
"omega_reference","docs/validation/US_S30I_EXPANDED_INTEGRATION_ORDER_AUDIT_VALIDATION.md","closed_downstream_historical_reference","referenced_not_authorized","not_applicable","not_applicable","not_applicable","not_applicable",,,,"unadjusted_reference","historical_downstream_reference","DOWNSTREAM_CLOSED_NOT_S20B_AUTHORITY","no; downstream stages are closed and not invoked","not_an_input","AUDITED_REFERENCE_ONLY","Downstream reference confirms historical use but cannot authorize current S20 attachment."
"omega_reference","docs/validation/US_S32_MODEL_CHOICE_VALIDATION.md","closed_downstream_historical_reference","referenced_not_authorized","not_applicable","not_applicable","not_applicable","not_applicable",,,,"unadjusted_reference","historical_downstream_reference","DOWNSTREAM_CLOSED_NOT_S20B_AUTHORITY","no; downstream stages are closed and not invoked","not_an_input","AUDITED_REFERENCE_ONLY","Downstream reference confirms historical use but cannot authorize current S20 attachment."
"omega_reference","docs/validation/US_S32C_CORPORATE_BOUNDARY_VALIDATION.md","closed_downstream_historical_reference","referenced_not_authorized","not_applicable","not_applicable","not_applicable","not_applicable",,,,"unadjusted_reference","historical_downstream_reference","DOWNSTREAM_CLOSED_NOT_S20B_AUTHORITY","no; downstream stages are closed and not invoked","not_an_input","AUDITED_REFERENCE_ONLY","Downstream reference confirms historical use but cannot authorize current S20 attachment."
"PROFIT_SHARE_ALTERNATIVE_RECONCILIATION","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","current_S20_model_input_layer","pending_current_source_boundary","pending_authorized_source","pending_authorized_source","share_or_ratio_pending","annual_pending",,,0,"unadjusted_or_alternative_pending","profit_share_or_profit_ingredient","PENDING_OPTIONAL_SOURCE","current_S20_governing_record_but_not_attachable","not_validated","BLOCKED_OR_OPTIONAL_NOT_ATTACHABLE","ALTERNATIVE_RECONCILIATION_EVIDENCE_PENDING_AUTHORIZED_SOURCE | No authorized profit-share source is present in the S14 GPIM input contract. | No current-release S20B authorization is inferred from legacy or downstream use. A source can attach only through explicit current S20/S14-compatible source, boundary, formula, coverage, and join validation."
"SHAIKH_ADJUSTED_PROFIT_SHARE","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","current_S20_model_input_layer","pending_current_source_boundary","pending_authorized_source","pending_authorized_source","share_or_ratio_pending","annual_pending",,,0,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","BLOCKED","current_S20_governing_record_but_not_attachable","not_validated","BLOCKED_OR_OPTIONAL_NOT_ATTACHABLE","BLOCKED_PENDING_CROSSWALK_AND_DATA | No current-release semantic/accounting crosswalk and data contract is authorized in S20. | No current-release S20B authorization is inferred from legacy or downstream use. A source can attach only through explicit current S20/S14-compatible source, boundary, formula, coverage, and join validation."
"SHAIKH_ADJUSTED_WAGE_SHARE","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","current_S20_model_input_layer","pending_current_source_boundary","pending_authorized_source","pending_authorized_source","share_or_ratio_pending","annual_pending",,,0,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","BLOCKED","current_S20_governing_record_but_not_attachable","not_validated","BLOCKED_OR_OPTIONAL_NOT_ATTACHABLE","BLOCKED_PENDING_CROSSWALK_AND_DATA | No current-release semantic/accounting crosswalk and data contract is authorized in S20. | No current-release S20B authorization is inferred from legacy or downstream use. A source can attach only through explicit current S20/S14-compatible source, boundary, formula, coverage, and join validation."
"WAGE_SHARE_UNADJUSTED_BASELINE","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","current_S20_model_input_layer","pending_current_source_boundary","pending_authorized_source","pending_authorized_source","share_or_ratio_pending","annual_pending",,,0,"unadjusted_or_alternative_pending","shaikh_adjusted_or_adjustment_candidate","PENDING_AUTHORIZED_SOURCE","current_S20_governing_record_but_not_attachable","not_validated","PENDING_NOT_ATTACHABLE","PREFERRED_DISTRIBUTION_INPUT_PENDING_AUTHORIZED_SOURCE | No authorized wage-share source is present in the S14 GPIM input contract. | No current-release S20B authorization is inferred from legacy or downstream use. A source can attach only through explicit current S20/S14-compatible source, boundary, formula, coverage, and join validation."
"e_CORP","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","historical_pre_GPIM_S20_capital_distribution_frontier","corporate","profit_share","wage_share","ratio","annual",1929,2025,97,"unadjusted","alternative_distribution_proxy","HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract; old panel includes superseded capital/frontier layer","yes","AUDITED_NOT_ATTACHABLE_CURRENT_S20","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
"e_NFC","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","historical_pre_GPIM_S20_capital_distribution_frontier","nonfinancial_corporate","profit_share","wage_share","ratio","annual",1929,2025,97,"unadjusted","alternative_distribution_proxy","HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract; old panel includes superseded capital/frontier layer","yes","AUDITED_NOT_ATTACHABLE_CURRENT_S20","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
"ln_e_CORP","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","historical_pre_GPIM_S20_capital_distribution_frontier","corporate","profit_share","wage_share","ratio","annual",1929,2025,97,"unadjusted","alternative_distribution_proxy","HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract; old panel includes superseded capital/frontier layer","yes","AUDITED_NOT_ATTACHABLE_CURRENT_S20","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
"ln_e_NFC","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","historical_pre_GPIM_S20_capital_distribution_frontier","nonfinancial_corporate","profit_share","wage_share","ratio","annual",1929,2025,97,"unadjusted","alternative_distribution_proxy","HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract; old panel includes superseded capital/frontier layer","yes","AUDITED_NOT_ATTACHABLE_CURRENT_S20","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
