queue_rank,variable_id,display_name,concept_family,construction_family,sector_boundary,account_position,candidate_status,object_admissibility,source_observation_rows,coverage_start,coverage_end,s23_authorization_scope,can_construct_in_s23,can_model_in_s23,required_before_implementation,notes_s23
1,CORP_AFTER_TAX,CORP_profits_after_tax_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
2,CORP_CFC,CORP_consumption_fixed_capital,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
3,CORP_COMP,CORP_compensation_employees,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
4,CORP_DIVIDENDS_NET,CORP_net_dividends,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
5,CORP_GVA,CORP_gross_value_added,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
6,CORP_NET_INT,CORP_net_interest_misc_payments,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
7,CORP_NOS,CORP_net_operating_surplus,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
8,CORP_NVA,CORP_net_value_added,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
9,CORP_PAT,CORP_profits_after_tax,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
10,CORP_PBT,CORP_profits_before_tax,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
11,CORP_PROFITS_IVA_CC,CORP_profits_with_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
