"stage_id","transformation_family","variable_count","fully_supported_observations","warmup_observations","unsupported_status_count","support_status"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","arithmetic_growth",9,855,252,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","arithmetic_log_growth_gap",9,855,252,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","cfc_rate_diagnostic",3,285,84,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","first_difference",9,855,252,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","gross_composition_share",2,188,60,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","gross_stock_flow_net_change",3,288,84,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","investment_composition_share",2,188,60,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","investment_rate_diagnostic",3,285,84,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","lag1",12,1134,336,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","level_alias",6,576,168,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","log_gross",3,288,84,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","log_growth",9,855,252,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","log_investment",3,288,84,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","log_net",3,288,84,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","net_composition_share",2,188,60,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","net_stock_flow_net_change",3,288,84,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","retirement_rate_diagnostic",3,285,84,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","source_preserved",10,970,270,0,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","tot_alias",5,470,150,0,"PASS"
