"year","CFC_ME_GPIM_2017","CFC_NRC_GPIM_2017","CFC_RATE_N_ME","CFC_RATE_N_NRC","CFC_RATE_N_TOT","CFC_TOT_GPIM_2017","DELTA_G_ME","DELTA_G_NRC","DELTA_G_TOT","DELTA_I_ME","DELTA_I_NRC","DELTA_I_TOT","DELTA_N_ME","DELTA_N_NRC","DELTA_N_TOT","DLOG_G_ME","DLOG_G_NRC","DLOG_G_TOT","DLOG_I_ME","DLOG_I_NRC","DLOG_I_TOT","DLOG_N_ME","DLOG_N_NRC","DLOG_N_TOT","G_ME_GPIM_2017","G_NRC_GPIM_2017","G_TOT_GPIM_2017","GAP_ARITH_LOG_G_ME","GAP_ARITH_LOG_G_NRC","GAP_ARITH_LOG_G_TOT","GAP_ARITH_LOG_I_ME","GAP_ARITH_LOG_I_NRC","GAP_ARITH_LOG_I_TOT","GAP_ARITH_LOG_N_ME","GAP_ARITH_LOG_N_NRC","GAP_ARITH_LOG_N_TOT","GROSS_ACCUMULATION_NET_FLOW_ME","GROSS_ACCUMULATION_NET_FLOW_NRC","GROSS_ACCUMULATION_NET_FLOW_TOT","GROWTH_ARITH_G_ME","GROWTH_ARITH_G_NRC","GROWTH_ARITH_G_TOT","GROWTH_ARITH_I_ME","GROWTH_ARITH_I_NRC","GROWTH_ARITH_I_TOT","GROWTH_ARITH_N_ME","GROWTH_ARITH_N_NRC","GROWTH_ARITH_N_TOT","I_ME_REAL_2017","I_NRC_REAL_2017","I_TOT_REAL_2017","INV_RATE_G_ME","INV_RATE_G_NRC","INV_RATE_G_TOT","K_GROSS_ME","K_GROSS_NRC","K_GROSS_TOT","K_NET_ME","K_NET_NRC","K_NET_TOT","L1_DLOG_G_ME","L1_DLOG_G_NRC","L1_DLOG_G_TOT","L1_DLOG_N_ME","L1_DLOG_N_NRC","L1_DLOG_N_TOT","L1_LOG_G_ME","L1_LOG_G_NRC","L1_LOG_G_TOT","L1_LOG_N_ME","L1_LOG_N_NRC","L1_LOG_N_TOT","LOG_G_ME_GPIM_2017","LOG_G_NRC_GPIM_2017","LOG_G_TOT_GPIM_2017","LOG_I_ME_REAL_2017","LOG_I_NRC_REAL_2017","LOG_I_TOT_REAL_2017","LOG_N_ME_GPIM_2017","LOG_N_NRC_GPIM_2017","LOG_N_TOT_GPIM_2017","N_ME_GPIM_2017","N_NRC_GPIM_2017","N_TOT_GPIM_2017","NET_ACCUMULATION_NET_FLOW_ME","NET_ACCUMULATION_NET_FLOW_NRC","NET_ACCUMULATION_NET_FLOW_TOT","RET_ME_GPIM_2017","RET_NRC_GPIM_2017","RET_RATE_G_ME","RET_RATE_G_NRC","RET_RATE_G_TOT","RET_TOT_GPIM_2017","SHARE_GROSS_ME_TOT","SHARE_GROSS_NRC_TOT","SHARE_INVESTMENT_ME_TOT","SHARE_INVESTMENT_NRC_TOT","SHARE_NET_ME_TOT","SHARE_NET_NRC_TOT"
1901,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407832.614810652,1315562.44125393,1723395.05606458,NA,NA,NA,NA,NA,NA,NA,NA,NA,407832.614810652,1315562.44125393,1723395.05606458,NA,NA,NA,NA,NA,NA,NA,NA,NA,407832.614810652,1315562.44125393,1723395.05606458,NA,NA,NA,407832.614810652,1315562.44125393,1723395.05606458,407832.614810652,1315562.44125393,1723395.05606458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9186121113905,14.0897748441315,14.3598067730733,12.9186121113905,14.0897748441315,14.3598067730733,12.9186121113905,14.0897748441315,14.3598067730733,407832.614810652,1315562.44125393,1723395.05606458,407832.614810652,1315562.44125393,1723395.05606458,0,0,NA,NA,NA,0,0.236644879173524,0.763355120826477,0.236644879173524,0.763355120826477,0.236644879173524,0.763355120826477
1902,48213.2787714647,36234.8923615188,0.11821830089251,0.0275432706386642,0.0490010522171412,84448.1711329835,455498.491468153,1675927.50142961,2131425.99289776,51431.821761201,365141.07838411,416572.90014531,411051.157800388,1644468.62727652,2055519.78507691,0.749941454013937,0.821507285710705,0.805028370326129,0.118769326297535,0.244948181281064,0.216494640078892,0.697085327590152,0.81093547823883,0.785140674244252,863331.106278805,2991489.94268354,3854821.04896234,0.366934624373347,0.452417424265202,0.431731585203121,0.00734079803638976,0.0326069289393794,0.0252217897549996,0.310806495851263,0.439076361342948,0.407574703372501,455498.491468153,1675927.50142961,2131425.99289776,1.11687607838728,1.27392470997591,1.23675995552925,0.126110124333925,0.277555110220443,0.241716429833892,1.00789182344141,1.25001183958178,1.19271537761675,459264.436571853,1680703.51963804,2139967.95620989,1.12611012433392,1.27755511022044,1.24171642983389,863331.106278805,2991489.94268354,3854821.04896234,818883.77261104,2960031.06853045,3778914.84114149,NA,NA,NA,NA,NA,NA,12.9186121113905,14.0897748441315,14.3598067730733,12.9186121113905,14.0897748441315,14.3598067730733,13.6685535654044,14.9112821298422,15.1648351433995,13.037381437688,14.3347230254125,14.5763014131522,13.6156974389807,14.9007103223703,15.1449474473176,818883.77261104,2960031.06853045,3778914.84114149,411051.157800388,1644468.62727652,2055519.78507691,3765.94510369994,4776.01820842668,0.00923404594664011,0.00363040024453299,0.00495647430463937,8541.96331212662,0.223961396732334,0.776038603267668,0.214612763354298,0.785387236645704,0.216698128175781,0.783301871824219
1903,100460.144939906,86187.1870541849,0.122679369527113,0.0291169873081683,0.0493917804026806,186647.331994091,509702.575385265,1864001.07725579,2373703.65264106,63022.091453866,199048.0246787,262070.11613257,421826.38308581,1793564.35726256,2215390.74034837,0.463979650482552,0.484338661711076,0.47981491380019,0.128590182847722,0.111927143381715,0.11552671861169,0.415497040874085,0.473701499058054,0.461373059471198,1373033.68166407,4855491.01993933,6228524.7016034,0.126410955946798,0.138762573114963,0.135960403002136,0.0086337919156845,0.00650422916730377,0.00693778622917852,0.0996265910679691,0.1322260455312,0.124877447216371,509702.575385264,1864001.07725579,2373703.65264105,0.59039060642935,0.623101234826039,0.615775316802326,0.137223974763406,0.118431372549019,0.122464504840869,0.515123631942054,0.605927544589253,0.586250506687568,522286.528025719,1879751.54431674,2402038.07234246,0.604966650949157,0.628366325922023,0.623125702032018,1373033.68166407,4855491.01993933,6228524.7016034,1240710.15569685,4753595.42579301,5994305.58148986,0.749941454013937,0.821507285710705,0.805028370326129,0.697085327590152,0.81093547823883,0.785140674244252,13.6685535654044,14.9112821298422,15.1648351433995,13.6156974389807,14.9007103223703,15.1449474473176,14.132533215887,15.3956207915533,15.6446500571997,13.1659716205358,14.4466501687943,14.6918281317639,14.0311944798547,15.3744118214284,15.6063205067888,1240710.15569685,4753595.42579301,5994305.58148986,421826.383085813,1793564.35726256,2215390.74034837,12583.9526404552,15750.4670609501,0.0145760445198083,0.00526509109598444,0.00735038522969374,28334.4197014053,0.220442841193294,0.779557158806706,0.217434741788413,0.782565258211587,0.206981465797824,0.793018534202176
1904,156432.603932925,144606.680565264,0.126083117168541,0.0304204854667749,0.0502208771984839,301039.284498189,423968.89938151,1706519.42178955,2130488.32117106,-72439.185579157,-141047.2757657,-213486.46134486,293414.73851364,1594097.58798577,1887512.32649941,0.269097386185727,0.301186792190483,0.29420086141492,-0.149308055351471,-0.0779994482569268,-0.093077613610717,0.212276195087508,0.289190178512561,0.273748627421766,1797002.58104558,6562010.44172888,8359013.02277446,0.0396852059992467,0.0502749682744494,0.0478525819346123,0.0106118001503602,0.00296438514332345,0.00420039563362276,0.0242131551176108,0.0461554799202533,0.0411356074307186,423968.899381514,1706519.42178954,2130488.32117106,0.308782592184974,0.351461760464933,0.342053443349532,-0.13869625520111,-0.0750350631136034,-0.0888772179770942,0.236489350205119,0.335345658432814,0.314884234852484,449847.342446562,1738704.26855104,2188551.6109976,0.327630231110837,0.358090306708623,0.351375601100884,1797002.58104558,6562010.44172888,8359013.02277446,1534124.89421049,6347693.01377878,7881817.90798927,0.463979650482552,0.484338661711076,0.47981491380019,0.415497040874085,0.473701499058054,0.461373059471198,14.132533215887,15.3956207915533,15.6446500571997,14.0311944798547,15.3744118214284,15.6063205067888,14.4016306020727,15.6968075837437,15.9388509186146,13.0166635651843,14.3686507205373,14.5987505181532,14.2434706749423,15.6636019999409,15.8800691342106,1534124.89421049,6347693.01377878,7881817.90798927,293414.738513637,1594097.58798578,1887512.32649941,25878.4430650484,32184.8467614959,0.0188476389258599,0.00662854624369134,0.00932215775135277,58063.2898265443,0.214977842019097,0.785022157980903,0.205545686099452,0.794454313900549,0.194640996800427,0.805359003199573
1905,199127.583872323,201441.901196049,0.129798808834792,0.0317346634058679,0.0508219664225358,400569.485068372,511914.91070489,1667714.94194962,2179629.85265454,104312.427233986,-18454.78374504,85857.6434889501,355032.18580822,1518807.58360995,1873839.76941817,0.250658752299547,0.226455620634505,0.231708414725741,0.208544751893058,-0.0106708329605176,0.0384803901367583,0.208170623202628,0.214521870662541,0.213288815075162,2308917.49175047,8229725.3836785,10538642.875429,0.0342127977496657,0.0276913297184465,0.029043643766817,0.0233393060779579,0.0000567313684053817,0.000749958856388767,0.0232526378030745,0.0247473536545636,0.0244532631221518,511914.910704891,1667714.94194962,2179629.85265451,0.284871550049212,0.254146950352952,0.260752058492558,0.231884057971016,-0.0106141015921122,0.0392303489931471,0.231423261005703,0.239269224317104,0.237742078197313,554159.769680548,1720249.484806,2274409.25448655,0.308380063293015,0.262152811258369,0.272090646143251,2308917.49175047,8229725.3836785,10538642.875429,1889157.08001871,7866500.59738873,9755657.67740744,0.269097386185727,0.301186792190483,0.29420086141492,0.212276195087508,0.289190178512561,0.273748627421766,14.4016306020727,15.6968075837437,15.9388509186146,14.2434706749423,15.6636019999409,15.8800691342106,14.6522893543723,15.9232632043783,16.1705593333403,13.2252083170774,14.3579798875768,14.63723090829,14.4516412981449,15.8781238706035,16.0933579492857,1889157.08001871,7866500.59738873,9755657.67740744,355032.185808225,1518807.58360995,1873839.76941818,42244.8589756571,52534.5428563809,0.0235085132438024,0.00800586090541784,0.0113385876506961,94779.401832038,0.219090590604768,0.780909409395229,0.243649980137656,0.756350019862344,0.193647331885548,0.806352668114452
1906,249385.424128179,258695.173295055,0.132008834398095,0.0328856738892168,0.052080609449824,508080.597423234,662005.05988481,1878986.7834041,2540991.8432889,169507.694255226,234639.39332986,404147.08758508,474282.0398076,1696193.70484081,2170475.74464836,0.252093731619359,0.205644996415852,0.216007643559525,0.266878944822018,0.127864022381138,0.1635576207263,0.223987072256165,0.195256205494431,0.200884686811094,2970922.55163528,10108712.1670826,13079634.7187179,0.034622906047464,0.0226720732072212,0.0251042219173152,0.0390034081191576,0.00853444505181225,0.0141355920443794,0.0270677737510833,0.0203661902381593,0.0215991083793463,662005.059884809,1878986.78340412,2540991.84328893,0.286716637666823,0.228317069623074,0.24111186547684,0.305882352941176,0.13639846743295,0.177693212770679,0.251054846007248,0.21562239573259,0.22248379519044,723667.463935774,1954888.87813586,2678556.34207163,0.313422834086261,0.237539989124409,0.25416520644387,2970922.55163528,10108712.1670826,13079634.7187179,2363439.11982631,9562694.30222954,11926133.4220558,0.250658752299547,0.226455620634505,0.231708414725741,0.208170623202628,0.214521870662541,0.213288815075162,14.6522893543723,15.9232632043783,16.1705593333403,14.4516412981449,15.8781238706035,16.0933579492857,14.9043830859916,16.1289082007941,16.3865669768998,13.4920872618994,14.485843909958,14.8007885290163,14.675628370401,16.0733800760979,16.2942426360968,2363439.11982631,9562694.30222954,11926133.4220558,474282.039807595,1696193.7048408,2170475.7446484,61662.4040509648,75902.0947317392,0.0267061964194383,0.00922291950133246,0.0130533409670269,137564.498782704,0.22714109495609,0.772858905043908,0.270170708216681,0.729829291783321,0.198173124195931,0.801826875804073
1907,314614.527158958,322825.123056734,0.133117254647998,0.0337588040413953,0.0534489786133729,637439.650215692,742514.51356647,2049853.2758656,2792367.789432,104312.427233986,197729.82583977,302042.25307376,513365.3640108,1829793.58091886,2343158.9449297,0.22308535238704,0.184636253307016,0.193500289630492,0.134656885146256,0.0963517508325342,0.106846180147635,0.196562311476864,0.175084662440266,0.179377763267883,3713437.06520175,12158565.4429482,15872002.5081499,0.0268419010709036,0.0181445996824105,0.0199894483845856,0.00948725899788846,0.00479457418432348,0.00591689611461661,0.0206488532636636,0.0162624122531331,0.0170948789546446,742514.51356647,2049853.27586555,2792367.78943202,0.249927253457943,0.202780852989426,0.213489738015078,0.144144144144145,0.101146325016858,0.112763076262251,0.217211164740528,0.191347074693399,0.196472642222528,827979.89116976,2152618.70397563,2980598.59514539,0.278694539079794,0.212946878731525,0.227880874293832,3713437.06520175,12158565.4429482,15872002.5081499,2876804.48383711,11392487.8831484,14269292.3669855,0.252093731619359,0.205644996415852,0.216007643559525,0.223987072256165,0.195256205494431,0.200884686811094,14.9043830859916,16.1289082007941,16.3865669768998,14.675628370401,16.0733800760979,16.2942426360968,15.1274684383787,16.3135444541011,16.5800672665303,13.6267441470456,14.5821956607905,14.9076347091639,14.8721906818779,16.2484647385382,16.4736203993647,2876804.48383711,11392487.8831484,14269292.3669855,513365.364010802,1829793.5809189,2343158.9449297,85465.3776032904,102765.428110078,0.028767285621851,0.0101660257421036,0.0143911362787522,188230.805713368,0.233961471672839,0.766038528327164,0.277789801189037,0.722210198810963,0.201608069261591,0.798391930738409
1908,386158.808206875,393086.20089268,0.134231857040146,0.0345039823543835,0.0546099266213421,779245.009099555,347260.78408217,1752809.6403449,2100070.4244271,-366542.279030532,-266276.16546423,-632818.44449476,75278.8039323501,1493256.3376188,1568535.1415512,0.0893969624889532,0.134672960648984,0.124262340756086,-0.584642008222646,-0.132045313414018,-0.238653886219524,0.0258309964406287,0.123167420556083,0.10429138334079,4060697.84928392,13911375.0832931,17972072.932577,0.00411769199013204,0.00948957633530312,0.00805054310017331,0.141947345055543,0.0083465993907451,0.0263413509034786,0.00033651141584632,0.00790634954005237,0.00563243777176065,347260.784082163,1752809.64034491,2100070.42442708,0.0935146544790853,0.144162536984288,0.13231288385626,-0.442694663167104,-0.123698714023273,-0.212312535316045,0.026167507856475,0.131073770096135,0.109923821112551,461437.612139228,1886342.5385114,2347780.15065063,0.124261594861352,0.155145156504088,0.147919592971656,4060697.84928392,13911375.0832931,17972072.932577,2952083.28776946,12885744.2207672,15837827.5085367,0.22308535238704,0.184636253307016,0.193500289630492,0.196562311476864,0.175084662440266,0.179377763267883,15.1274684383787,16.3135444541011,16.5800672665303,14.8721906818779,16.2484647385382,16.4736203993647,15.2168654008676,16.4482174147501,16.7043296072864,13.042102138823,14.4501503473765,14.6689808229444,14.8980216783185,16.3716321590942,16.5779117827055,2952083.28776946,12885744.2207672,15837827.5085367,75278.803932353,1493256.33761872,1568535.14155107,114176.828057065,133532.898166485,0.0307469403822687,0.0109826195197997,0.0156067091153972,247709.72622355,0.225944879286758,0.774055120713243,0.196542087644515,0.803457912355485,0.186394458847229,0.813605541152768
1909,407438.636262496,456622.294287841,0.138017324223379,0.0354362376332078,0.0545567837561435,864060.930550337,420805.33861172,2003063.0227326,2423868.3613443,102863.643522402,283412.75037034,386276.39389274,156862.61939914,1713132.9945939,1869995.613993,0.0986036802573533,0.134519897388778,0.126516875553289,0.201241390298584,0.139974601680565,0.152316155091468,0.0517726117831518,0.124823021569668,0.111605301515986,4481503.18789564,15914438.1060257,20395941.2939213,0.00502514272585045,0.00946752374963902,0.00835172699676437,0.0216785469070663,0.010269982526285,0.0122121947140682,0.00136363272899475,0.00812490640743277,0.00646617091197509,420805.338611721,2003063.02273264,2423868.36134436,0.103628822983204,0.143987421138417,0.134868602550053,0.22291993720565,0.15024458420685,0.164528349805536,0.0531362445121466,0.132947927977101,0.118071472427961,564301.25566163,2169755.28888174,2734056.54454337,0.13896657092109,0.155969864653244,0.152128057503456,4481503.18789564,15914438.1060257,20395941.2939213,3108945.9071686,14598877.2153611,17707823.1225297,0.0893969624889532,0.134672960648984,0.124262340756086,0.0258309964406287,0.123167420556083,0.10429138334079,15.2168654008676,16.4482174147501,16.7043296072864,14.8980216783185,16.3716321590942,16.5779117827055,15.315469081125,16.5827373121389,16.8308464828397,13.2433435291216,14.590124949057,14.8212969780358,14.9497942901017,16.4964551806639,16.6895170842215,3108945.9071686,14598877.2153611,17707823.1225297,156862.619399134,1713132.9945939,1869995.61399303,143495.917049909,166692.266149105,0.0353377479378855,0.0119824435148251,0.017259454953399,310188.183199014,0.219725244513784,0.780274755486218,0.206397068410257,0.793602931589743,0.175569062648535,0.824430937351465
1910,435541.084948202,527169.880665145,0.140092847528782,0.0361103030656667,0.0543664209288655,962710.965613347,521460.508225311,2346744.3961885,2868204.9044139,129666.14218669,379641.26561236,509307.40779905,258426.31290012,2022226.6738289,2280652.986729,0.110071952897082,0.137550878052835,0.13157746077226,0.206836732100113,0.161242294776226,0.170824628012573,0.0798489514023402,0.129728583847506,0.121149386695866,5002963.69612095,18261182.5022142,23264146.1983352,0.00628643989258638,0.00990920696895109,0.00904879731903663,0.022945039401812,0.0137273285530579,0.0154580620128126,0.00327449963752567,0.00879074500205085,0.00764413981204953,521460.508225316,2346744.39618851,2868204.90441382,0.116358392789668,0.147460085021786,0.140626258091296,0.229781771501925,0.174969623329284,0.186282690025386,0.0831234510398658,0.138519328849556,0.128793526507915,693967.39784832,2549396.5544941,3243363.95234242,0.154851479236408,0.160193940716564,0.159020067061531,5002963.69612095,18261182.5022142,23264146.1983352,3367372.22006872,16621103.88919,19988476.1092587,0.0986036802573533,0.134519897388778,0.126516875553289,0.0517726117831518,0.124823021569668,0.111605301515986,15.315469081125,16.5827373121389,16.8308464828397,14.9497942901017,16.4964551806639,16.6895170842215,15.4255410340221,16.7202881901917,16.962423943612,13.4501802612217,14.7513672438333,14.9921216060484,15.029643241504,16.6261837645114,16.8106664709173,3367372.22006872,16621103.88919,19988476.1092587,258426.312900118,2022226.67382896,2280652.98672907,172506.889623004,202652.158305594,0.0384930864467392,0.0127338556947772,0.018393808970239,375159.047928598,0.215050389275793,0.784949610724205,0.21396531750534,0.78603468249466,0.16846568000794,0.831534319992062
