"stage_id","variable_id","asset_scope","transformation_family","source_variable_id","unit","year_start","year_end","observation_count","first_fully_supported_year","fully_supported_observation_count","warmup_observation_count","missing_observation_count","primary_classification","downstream_role","authoritative_or_alias","review_note"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_ME_GPIM_2017","ME","source_preserved","CFC_ME_GPIM_2017","millions_2017_dollars",1901,2024,124,1925,100,24,0,"DIAGNOSTIC_ONLY","component_diagnostic","non_alias","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_NRC_GPIM_2017","NRC","source_preserved","CFC_NRC_GPIM_2017","millions_2017_dollars",1901,2024,124,1931,94,30,0,"DIAGNOSTIC_ONLY","component_diagnostic","non_alias","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_ME","ME","cfc_rate_diagnostic","CFC_ME_GPIM_2017","decimal_rate",1902,2024,123,1926,99,24,0,"DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","non_alias","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_NRC","NRC","cfc_rate_diagnostic","CFC_NRC_GPIM_2017","decimal_rate",1902,2024,123,1932,93,30,0,"DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","non_alias","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_TOT","TOT","cfc_rate_diagnostic","CFC_TOT_GPIM_2017","decimal_rate",1902,2024,123,1932,93,30,0,"DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","non_alias","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_TOT_GPIM_2017","TOT","tot_alias","CFC_CORE_GPIM_2017","millions_2017_dollars",1901,2024,124,1931,94,30,0,"DIAGNOSTIC_ONLY","capital_diagnostic","alias_or_redundant","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_ME","ME","first_difference","G_ME_GPIM_2017","millions_2017_dollars",1902,2024,123,1926,99,24,0,"DIAGNOSTIC_ONLY","component_diagnostic","non_alias","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_NRC","NRC","first_difference","G_NRC_GPIM_2017","millions_2017_dollars",1902,2024,123,1932,93,30,0,"DIAGNOSTIC_ONLY","component_diagnostic","non_alias","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_TOT","TOT","first_difference","G_TOT_GPIM_2017","millions_2017_dollars",1902,2024,123,1932,93,30,0,"AUTHORIZED_SECONDARY","productive_capital_growth_candidate","non_alias","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_I_ME","ME","first_difference","I_ME_REAL_2017","millions_2017_dollars",1902,2024,123,1926,99,24,0,"DIAGNOSTIC_ONLY","investment_flow_diagnostic","non_alias","Investment is a flow and is not a substitute for productive-capital stock."
