"stage_id","variable_id","asset_scope","year","growth_value","support_status","source_variable_id","source_value_t","source_value_t_minus_1","review_classification","review_note"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_G_ME","ME",1902,0.749941454013937,"partial_vintage_warmup","G_ME_GPIM_2017",863331.106278805,407832.614810652,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_G_NRC","NRC",1902,0.821507285710705,"partial_vintage_warmup","G_NRC_GPIM_2017",2991489.94268354,1315562.44125393,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_G_TOT","TOT",1902,0.805028370326129,"partial_vintage_warmup","G_TOT_GPIM_2017",3854821.04896234,1723395.05606458,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_I_ME","ME",1908,-0.584642008222646,"partial_vintage_warmup","I_ME_REAL_2017",461437.612139228,827979.89116976,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_I_NRC","NRC",1931,-0.945163856424172,"partial_vintage_warmup","I_NRC_REAL_2017",1662325.92711273,4277555.23233369,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_I_TOT","TOT",1931,-0.772961476174325,"partial_vintage_warmup","I_TOT_REAL_2017",2652074.68483077,5744849.4743636,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_N_ME","ME",1902,0.697085327590152,"partial_vintage_warmup","N_ME_GPIM_2017",818883.77261104,407832.614810652,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_N_NRC","NRC",1902,0.81093547823883,"partial_vintage_warmup","N_NRC_GPIM_2017",2960031.06853045,1315562.44125393,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_N_TOT","TOT",1902,0.785140674244252,"partial_vintage_warmup","N_TOT_GPIM_2017",3778914.84114149,1723395.05606458,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_ME","ME",1902,1.11687607838728,"partial_vintage_warmup","G_ME_GPIM_2017",863331.106278805,407832.614810652,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_NRC","NRC",1902,1.27392470997591,"partial_vintage_warmup","G_NRC_GPIM_2017",2991489.94268354,1315562.44125393,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_TOT","TOT",1902,1.23675995552925,"partial_vintage_warmup","G_TOT_GPIM_2017",3854821.04896234,1723395.05606458,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_ME","ME",1916,0.631348511383541,"partial_vintage_warmup","I_ME_REAL_2017",1349542.02733969,827255.499313968,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_NRC","NRC",1931,-0.611384111525353,"partial_vintage_warmup","I_NRC_REAL_2017",1662325.92711273,4277555.23233369,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_TOT","TOT",1931,-0.538356105470534,"partial_vintage_warmup","I_TOT_REAL_2017",2652074.68483077,5744849.4743636,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_ME","ME",1902,1.00789182344141,"partial_vintage_warmup","N_ME_GPIM_2017",818883.77261104,407832.614810652,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_NRC","NRC",1902,1.25001183958178,"partial_vintage_warmup","N_NRC_GPIM_2017",2960031.06853045,1315562.44125393,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_TOT","TOT",1902,1.19271537761675,"partial_vintage_warmup","N_TOT_GPIM_2017",3778914.84114149,1723395.05606458,"warmup_related","Largest movement occurs before full support; retain for continuity diagnostics only."
