"stage_id","variable_id","related_variable_id","relationship_type","exact_or_approximate","maximum_difference","recommended_authoritative_variable","recommended_retained_status"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","I_TOT_REAL_2017","I_CORE_REAL_2017","TOT alias of historical S29E CORE source","exact",0,"I_TOT_REAL_2017","retain reviewed S29F TOT name"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","G_TOT_GPIM_2017","G_CORE_GPIM_2017","TOT alias of historical S29E CORE source","exact",0,"G_TOT_GPIM_2017","retain reviewed S29F TOT name"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","N_TOT_GPIM_2017","N_CORE_GPIM_2017","TOT alias of historical S29E CORE source","exact",0,"N_TOT_GPIM_2017","retain reviewed S29F TOT name"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_TOT_GPIM_2017","RET_CORE_GPIM_2017","TOT alias of historical S29E CORE source","exact",0,"RET_TOT_GPIM_2017","retain reviewed S29F TOT name"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_TOT_GPIM_2017","CFC_CORE_GPIM_2017","TOT alias of historical S29E CORE source","exact",0,"CFC_TOT_GPIM_2017","retain reviewed S29F TOT name"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_GROSS_ME","G_ME_GPIM_2017","K level alias","exact",0,"G_ME_GPIM_2017","REDUNDANT_ALIAS"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_GROSS_NRC","G_NRC_GPIM_2017","K level alias","exact",0,"G_NRC_GPIM_2017","REDUNDANT_ALIAS"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_GROSS_TOT","G_TOT_GPIM_2017","K level alias","exact",0,"G_TOT_GPIM_2017","REDUNDANT_ALIAS"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_NET_ME","N_ME_GPIM_2017","K level alias","exact",0,"N_ME_GPIM_2017","REDUNDANT_ALIAS"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_NET_NRC","N_NRC_GPIM_2017","K level alias","exact",0,"N_NRC_GPIM_2017","REDUNDANT_ALIAS"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_NET_TOT","N_TOT_GPIM_2017","K level alias","exact",0,"N_TOT_GPIM_2017","REDUNDANT_ALIAS"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROSS_ACCUMULATION_NET_FLOW_ME","DELTA_G_ME","stock-flow net-change reproduces first difference","near-exact numerical",0.0000000707805156707764,"DELTA_G_ME","REDUNDANT_ALIAS"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROSS_ACCUMULATION_NET_FLOW_NRC","DELTA_G_NRC","stock-flow net-change reproduces first difference","near-exact numerical",0.0000000954605638980865,"DELTA_G_NRC","REDUNDANT_ALIAS"
