"year","G_TOT_GPIM_2017","unit","support_status","baseline_window_eligible","warmup_observation"
1901,1723395.05606458,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1902,3854821.04896234,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1903,6228524.7016034,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1904,8359013.02277446,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1905,10538642.875429,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1906,13079634.7187179,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1907,15872002.5081499,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1908,17972072.932577,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1909,20395941.2939213,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1910,23264146.1983352,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1911,25813047.1275128,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1912,28560396.8780332,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1913,31403652.3971646,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1914,33397595.2902495,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1915,34990141.0386579,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1916,37361114.1547218,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1917,40577394.2171122,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1918,44282943.5286081,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1919,48291948.4497102,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1920,53904220.1556968,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1921,57234320.0372052,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1922,60695179.5935332,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1923,65935465.0611433,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1924,70221423.7389749,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1925,74295234.7263141,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1926,78560027.3013736,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1927,82198906.7475526,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1928,85603934.9946833,"millions_2017_dollars","partial_vintage_warmup","no","yes"
