"year","LOG_G_TOT_GPIM_2017","unit","support_status","baseline_window_eligible","warmup_observation"
1901,14.3598067730733,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1902,15.1648351433995,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1903,15.6446500571997,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1904,15.9388509186146,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1905,16.1705593333403,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1906,16.3865669768998,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1907,16.5800672665303,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1908,16.7043296072864,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1909,16.8308464828397,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1910,16.962423943612,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1911,17.0663906246841,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1912,17.1675315916288,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1913,17.2624347624951,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1914,17.3239944580571,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1915,17.3705768951634,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1916,17.4361409930088,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1917,17.5187216768234,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1918,17.6061101389478,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1919,17.6927754059633,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1920,17.8027193288383,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1921,17.862664277072,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1922,17.9213748392607,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1923,18.0041870195265,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1924,18.0671640039045,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1925,18.12355737205,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1926,18.179373569533,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1927,18.2246525600298,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1928,18.2652418096195,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1929,18.3115935990221,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1930,18.341806849726,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1931,18.3344482923146,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1932,18.3048581531462,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1933,18.2669702674518,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1934,18.2290060460062,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1935,18.191500820798,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1936,18.1603503963666,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1937,18.1334775398322,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1938,18.0924807898914,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1939,18.058182547853,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1940,18.024189428355,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1941,17.9912754726564,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1942,17.9523292795644,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1943,17.9082686815205,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1944,17.8668204058684,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1945,17.8361683014223,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1946,17.8192665380329,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1947,17.803814228448,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1948,17.7889482982459,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1949,17.7687959397911,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1950,17.7433698367293,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1951,17.7090986382712,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1952,17.6850913968737,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1953,17.6627742704509,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1954,17.6288883767303,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1955,17.5913054848141,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1956,17.5582457363118,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1957,17.519449091942,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1958,17.4733232369098,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1959,17.4248121698104,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1960,17.3695308320394,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1961,17.3196241839673,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1962,17.3010193171209,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1963,17.2925279092847,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1964,17.2915924609914,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1965,17.2974174901344,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1966,17.3061136874908,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1967,17.3103568219462,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1968,17.3097749675935,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1969,17.3153671207904,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1970,17.3176044257193,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1971,17.3150886907904,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1972,17.3142308722999,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1973,17.3229390769081,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1974,17.3289209926747,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1975,17.3268300680118,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1976,17.3219524290813,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1977,17.3149627084467,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1978,17.313403321106,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1979,17.3117901749346,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1980,17.3083483029665,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1981,17.3058784205073,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1982,17.299204570366,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1983,17.2873547009957,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1984,17.2797968245706,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1985,17.2757041785307,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1986,17.2661961202539,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1987,17.2506125493466,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1988,17.2338014649762,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1989,17.2211607124719,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1990,17.213174605848,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1991,17.200256194595,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1992,17.1849714000337,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1993,17.1699541798501,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1994,17.1561892856108,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1995,17.1467053926924,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1996,17.1372938051554,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1997,17.1296636052811,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1998,17.1249635464398,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
1999,17.1205510844412,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2000,17.119219813498,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2001,17.1151816879069,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2002,17.1027290450877,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2003,17.0886120908769,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2004,17.0736474152437,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2005,17.0628460984886,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2006,17.0565934017113,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2007,17.0529435815279,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2008,17.0468349632794,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2009,17.0262268571306,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2010,17.0033788898964,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2011,16.9826807270053,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2012,16.9649484124408,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2013,16.9462670513454,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2014,16.9341058923103,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2015,16.9184432031939,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2016,16.9002980832654,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2017,16.8880914975182,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2018,16.878752320732,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2019,16.8672891074891,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2020,16.8471784206592,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2021,16.8228423641563,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2022,16.8016020233093,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2023,16.7871737395483,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
2024,16.7767622831507,"natural_log_of_millions_2017_dollars","fully_supported","yes","no"
