"stage_id","variable_id","copied_observations","maximum_absolute_copy_residual","missing_source_matches","copy_status"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","DELTA_G_TOT",123,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","DLOG_G_TOT",123,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","DLOG_N_TOT",123,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","G_TOT_GPIM_2017",124,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","GROWTH_ARITH_G_TOT",123,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","GROWTH_ARITH_N_TOT",123,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","I_TOT_REAL_2017",124,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","L1_DLOG_G_TOT",122,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","L1_DLOG_N_TOT",122,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","L1_LOG_G_TOT",123,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","L1_LOG_N_TOT",123,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","LOG_G_TOT_GPIM_2017",124,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","LOG_I_TOT_REAL_2017",124,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","LOG_N_TOT_GPIM_2017",124,0,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","N_TOT_GPIM_2017",124,0,0,"PASS"
