"stage_id","variable_id","first_observed_year","last_observed_year","first_fully_supported_year","fully_supported_observations","warmup_observations","baseline_eligible_observations","support_eligibility_status"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","DELTA_G_TOT",1902,2024,1932,93,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","DLOG_G_TOT",1902,2024,1932,93,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","DLOG_N_TOT",1902,2024,1932,93,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","G_TOT_GPIM_2017",1901,2024,1931,94,30,94,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","GROWTH_ARITH_G_TOT",1902,2024,1932,93,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","GROWTH_ARITH_N_TOT",1902,2024,1932,93,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","I_TOT_REAL_2017",1901,2024,1931,94,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","L1_DLOG_G_TOT",1903,2024,1933,92,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","L1_DLOG_N_TOT",1903,2024,1933,92,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","L1_LOG_G_TOT",1902,2024,1932,93,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","L1_LOG_N_TOT",1902,2024,1932,93,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","LOG_G_TOT_GPIM_2017",1901,2024,1931,94,30,94,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","LOG_I_TOT_REAL_2017",1901,2024,1931,94,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","LOG_N_TOT_GPIM_2017",1901,2024,1931,94,30,0,"PASS"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","N_TOT_GPIM_2017",1901,2024,1931,94,30,0,"PASS"
