"variable_id","representation","source_variable_id","price_object_used","consumer_lane","contract_status","sector_boundary","nominal_or_real_status","reference_year","unit","active_by_default","explicit_future_authorization_required","permitted_use","prohibited_use","validation_status"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","level","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","robustness_representation","ROBUSTNESS_AUTHORIZED","nonfinancial corporate business nominal GVA deflated by named proxy price object","real","2017","Millions of 2017-price-equivalent dollars","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","level","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","robustness_representation","ROBUSTNESS_AUTHORIZED","nonfinancial corporate business nominal GVA deflated by named proxy price object","real","2017","Millions of 2017-price-equivalent dollars","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","level","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","P_Y_PROXY_BUSINESS_OUTPUT","robustness_representation","ROBUSTNESS_AUTHORIZED","nonfinancial corporate business nominal GVA deflated by named proxy price object","real","2017","Millions of 2017-price-equivalent dollars","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","level","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","robustness_representation","ROBUSTNESS_AUTHORIZED","nonfinancial corporate business nominal GVA deflated by named proxy price object","real","2017","Millions of 2017-price-equivalent dollars","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","level","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","robustness_representation","ROBUSTNESS_AUTHORIZED","nonfinancial corporate business nominal GVA deflated by named proxy price object","real","2017","Millions of 2017-price-equivalent dollars","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","level","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","robustness_representation","ROBUSTNESS_AUTHORIZED","nonfinancial corporate business nominal GVA deflated by named proxy price object","real","2017","Millions of 2017-price-equivalent dollars","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"y_real_nfc_gva_proxy_business_output","log_level","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","inherited_from_level_variant","robustness_representation","ROBUSTNESS_AUTHORIZED","nonfinancial corporate business nominal GVA deflated by named proxy price object","real","2017","natural_log_of_millions_2017_price_equivalent_dollars","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"y_real_nfc_gva_proxy_gdp_implicit","log_level","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","inherited_from_level_variant","robustness_representation","ROBUSTNESS_AUTHORIZED","nonfinancial corporate business nominal GVA deflated by named proxy price object","real","2017","natural_log_of_millions_2017_price_equivalent_dollars","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","log_level","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","inherited_from_level_variant","robustness_representation","ROBUSTNESS_AUTHORIZED","nonfinancial corporate business nominal GVA deflated by named proxy price object","real","2017","natural_log_of_millions_2017_price_equivalent_dollars","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","log_level","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","inherited_from_level_variant","robustness_representation","ROBUSTNESS_AUTHORIZED","nonfinancial corporate business nominal GVA deflated by named proxy price object","real","2017","natural_log_of_millions_2017_price_equivalent_dollars","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
