"variable_id","support_start_year","support_end_year","observed_start_year","observed_end_year","support_rule"
"Y_REAL_NFC_GVA_BASELINE",1929,2025,1929,2025,"full source-supported S12B authoritative window"
"y_real_nfc_gva_baseline",1929,2025,1929,2025,"full source-supported S12B authoritative window"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",1929,2024,1929,2024,"variable-specific robustness support window; inactive by default"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT",1929,2025,1929,2025,"variable-specific robustness support window; inactive by default"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",1947,2025,1947,2025,"variable-specific robustness support window; inactive by default"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS",1947,2025,1947,2025,"variable-specific robustness support window; inactive by default"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE",1997,2025,1997,2025,"variable-specific robustness support window; inactive by default"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING",1997,2025,1997,2025,"variable-specific robustness support window; inactive by default"
"y_real_nfc_gva_proxy_business_output",1947,2025,1947,2025,"variable-specific robustness support window; inactive by default"
"y_real_nfc_gva_proxy_gdp_implicit",1929,2024,1929,2024,"variable-specific robustness support window; inactive by default"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance",1997,2025,1997,2025,"variable-specific robustness support window; inactive by default"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing",1997,2025,1997,2025,"variable-specific robustness support window; inactive by default"
"y_real_nfc_gva_proxy_nonfarm_business_output",1929,2025,1929,2025,"variable-specific robustness support window; inactive by default"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls",1947,2025,1947,2025,"variable-specific robustness support window; inactive by default"
