"object_id","classification","permitted_use","prohibited_use","promotion_to_core_capital","model_control_authorized","family_join_authorized","canonical_dataset_authorized","future_review_required"
"ADD_PROFITS_TO_NOS","BLOCKED","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","no"
"OLD_APPENDIX_6_7_LINE_REPLICATION","BLOCKED","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","no"
"PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE","BLOCKED","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","no"
"QWEN_HOUSING_PROXY_PATHS","BLOCKED","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","no"
"INVENTORIES_MENU","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP_GOS_SHAIKH_RECONCILIATION","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP_GVA_SHAIKH_RECONCILIATION","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP_IMPUTED_INTEREST_ADJ","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN_CFC","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN_COMP","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN_DIVIDENDS","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN_GVA","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
