"variable_id","missing_value_count","total_rows","policy","status"
"CORP_COMPENSATION_SHARE_GVA",0,97,"measured_not_removed","PASS"
"CORP_COMPENSATION_SHARE_NVA",0,97,"measured_not_removed","PASS"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA",0,97,"measured_not_removed","PASS"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA",0,97,"measured_not_removed","PASS"
"DELTA_G_TOT",0,123,"measured_not_removed","PASS"
"DLOG_G_TOT",0,123,"measured_not_removed","PASS"
"DLOG_N_TOT",0,123,"measured_not_removed","PASS"
"G_TOT_GPIM_2017",0,124,"measured_not_removed","PASS"
"GROWTH_ARITH_G_TOT",0,123,"measured_not_removed","PASS"
"GROWTH_ARITH_N_TOT",0,123,"measured_not_removed","PASS"
"I_TOT_REAL_2017",0,124,"measured_not_removed","PASS"
"L1_DLOG_G_TOT",0,122,"measured_not_removed","PASS"
"L1_DLOG_N_TOT",0,122,"measured_not_removed","PASS"
"L1_LOG_G_TOT",0,123,"measured_not_removed","PASS"
"L1_LOG_N_TOT",0,123,"measured_not_removed","PASS"
"LOG_G_TOT_GPIM_2017",0,124,"measured_not_removed","PASS"
"LOG_I_TOT_REAL_2017",0,124,"measured_not_removed","PASS"
"LOG_N_TOT_GPIM_2017",0,124,"measured_not_removed","PASS"
"N_TOT_GPIM_2017",0,124,"measured_not_removed","PASS"
"NFC_COMPENSATION_SHARE_GVA",0,97,"measured_not_removed","PASS"
"NFC_COMPENSATION_SHARE_NVA",0,97,"measured_not_removed","PASS"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA",0,97,"measured_not_removed","PASS"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA",0,97,"measured_not_removed","PASS"
"y_real_nfc_gva_baseline",0,97,"measured_not_removed","PASS"
"Y_REAL_NFC_GVA_BASELINE",0,97,"measured_not_removed","PASS"
"y_real_nfc_gva_proxy_business_output",0,79,"measured_not_removed","PASS"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",0,79,"measured_not_removed","PASS"
"y_real_nfc_gva_proxy_gdp_implicit",0,96,"measured_not_removed","PASS"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",0,96,"measured_not_removed","PASS"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance",0,29,"measured_not_removed","PASS"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE",0,29,"measured_not_removed","PASS"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing",0,29,"measured_not_removed","PASS"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING",0,29,"measured_not_removed","PASS"
"y_real_nfc_gva_proxy_nonfarm_business_output",0,97,"measured_not_removed","PASS"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT",0,97,"measured_not_removed","PASS"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls",0,79,"measured_not_removed","PASS"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS",0,79,"measured_not_removed","PASS"
