"year","NFC_NET_INTEREST_MISC_PAYMENTS_PROXY","NFC_FINANCIAL_CLAIMS_BURDEN_NOS","NFC_FINANCIAL_CLAIMS_BURDEN_NVA","NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA","NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA"
1929,1358,0.12680922588477,0.0296448296186339,9351,0.204130192756882,0.183984259714707
1930,1606,0.186635676932016,0.0397652710030455,6999,0.173298338574294,0.154643275370645
1931,1778,0.39051175049418,0.05759450617084,2775,0.0898901882025202,0.0783212441082668
1932,1765,1.33813495072024,0.0815430815430815,-446,-0.0206052206052206,-0.0173399167995024
1933,1738,1.56014362657092,0.0823072551619625,-624,-0.0295510513354802,-0.0249839846252402
1934,1684,0.427628237684104,0.0611474219317357,2254,0.0818445896877269,0.0715919197052471
1935,1670,0.31521328803322,0.0540260748600822,3628,0.117369221312801,0.103861899172655
1936,1600,0.222810193566356,0.0443164192333259,5581,0.154581209838245,0.13888612383038
1937,1590,0.201648700063412,0.03859691710159,6295,0.152809807015414,0.137592620926319
1938,1524,0.271512560128274,0.0427969671440607,4089,0.114827295703454,0.101610257939466
1939,1476,0.206954570947841,0.0370789057200995,5656,0.142085562840706,0.127264136084423
1940,1335,0.130920859076199,0.0288748540035472,8862,0.191677120733659,0.173499353929285
1941,1237,0.0785097740543285,0.020174179659469,14519,0.236789744927914,0.217741451709658
1942,1220,0.0585356491699453,0.0156592948183137,19622,0.25185793682373,0.233503504575583
1943,1060,0.0428386679599095,0.0113519533927348,23684,0.25364119259767,0.237600321027287
1944,990,0.0402815640639622,0.0102327696696573,23587,0.243798321412329,0.228458796637093
1945,942,0.04690300736905,0.0104853072128228,19142,0.21306767586821,0.198206593770709
1946,660,0.0396610780602127,0.00709532461110096,15981,0.171803610015158,0.158587291978843
1947,768,0.0337137840210711,0.00681243624428971,22012,0.195254357564199,0.180114719624256
1948,857,0.0294744806713441,0.00664748179117444,28219,0.218885984440083,0.201505273455631
