"year","unadjusted_nos_share_gva","after_interest_surplus_share_gva","difference_gva","unadjusted_nos_share_nva","after_interest_surplus_share_nva","difference_nva","selected_interest_value"
1929,0.210703393999016,0.183984259714707,-0.0267191342843089,0.233775022375516,0.204130192756882,-0.0296448296186339,1358
1930,0.190127930356393,0.154643275370645,-0.0354846549857487,0.213063609577339,0.173298338574294,-0.0397652710030455,1606
1931,0.128503288081059,0.0783212441082668,-0.0501820439727922,0.14748469437336,0.0898901882025202,-0.05759450617084,1778
1932,0.0512810543913534,-0.0173399167995024,-0.0686209711908557,0.0609378609378609,-0.0206052206052206,-0.0815430815430815,1765
1933,0.0446028187059577,-0.0249839846252402,-0.0695868033311979,0.0527562038264823,-0.0295510513354802,-0.0823072551619625,1738
1934,0.125079405412273,0.0715919197052471,-0.0534874857070258,0.142992011619463,0.0818445896877269,-0.0611474219317357,1684
1935,0.151670436002405,0.103861899172655,-0.0478085368297501,0.171395296172883,0.117369221312801,-0.0540260748600822,1670
1936,0.178702966354768,0.13888612383038,-0.0398168425243878,0.198897629071571,0.154581209838245,-0.0443164192333259,1600
1937,0.172345959651155,0.137592620926319,-0.0347533387248366,0.191406724117004,0.152809807015414,-0.03859691710159,1590
1938,0.139481139108394,0.101610257939466,-0.037870881168928,0.157624262847515,0.114827295703454,-0.0427969671440607,1524
1939,0.160475215444502,0.127264136084423,-0.0332110793600792,0.179164468560806,0.142085562840706,-0.0370789057200995,1476
1940,0.199635851051333,0.173499353929285,-0.0261364971220486,0.220551974737206,0.191677120733659,-0.0288748540035472,1335
1941,0.23629274145171,0.217741451709658,-0.0185512897420516,0.256963924587383,0.236789744927914,-0.020174179659469,1237
1942,0.248021610557757,0.233503504575583,-0.0145181059821737,0.267517231642044,0.25185793682373,-0.0156592948183137,1220
1943,0.248234349919743,0.237600321027287,-0.0106340288924559,0.264993145990404,0.25364119259767,-0.0113519533927348,1060
1944,0.238047731587308,0.228458796637093,-0.00958893495021504,0.254031091081986,0.243798321412329,-0.0102327696696572,990
1945,0.20796056991385,0.198206593770709,-0.00975397614314116,0.223552983081033,0.21306767586821,-0.0104853072128228,942
1946,0.165136795308174,0.158587291978843,-0.00654950332933088,0.178898934626259,0.171803610015158,-0.00709532461110096,660
1947,0.186398932992938,0.180114719624256,-0.00628421336868204,0.202066793808489,0.195254357564199,-0.0068124362442897,768
1948,0.20762490984783,0.201505273455631,-0.00611963639219942,0.225533466231258,0.218885984440083,-0.00664748179117441,857
1949,0.193893947509373,0.186564043113632,-0.00732990439574147,0.212627632097712,0.204589525518373,-0.00803810657933909,999
1950,0.214817971665827,0.208799865690339,-0.00601810597548849,0.234251996225831,0.227689447816474,-0.00656254840935658,932
1951,0.212977713729221,0.206808036342552,-0.00616967738666876,0.232100461943352,0.225376824308159,-0.00672363763519357,1096
1952,0.192249963686835,0.18548226572629,-0.00676769796054508,0.209837759757608,0.202450925703012,-0.00738683405459681,1258
1953,0.182031018423155,0.175328949021066,-0.00670206940208901,0.198732962180841,0.191415955900502,-0.00731700628033899,1334
1954,0.179329540588487,0.170918211292592,-0.00841132929589528,0.197141896435777,0.187895090786819,-0.00924680564895763,1650
1955,0.205162257877999,0.197483015322347,-0.00767924255565192,0.224326299984195,0.215929745535009,-0.00839655444918605,1700
1956,0.18675310770424,0.179030741928821,-0.0077223657754191,0.205227977042483,0.196741663076659,-0.00848631396582314,1832
1957,0.176285994328839,0.167162120191513,-0.00912387413732602,0.194967992327081,0.184877210982981,-0.0100907813440992,2262
1958,0.161970377464417,0.150222086456854,-0.0117482910075625,0.181022551118329,0.167892337786964,-0.0131302133313649,2846
1959,0.18323240875375,0.172122729196959,-0.0111096795567908,0.203194716022975,0.190874689243857,-0.0123200267791172,3018
1960,0.169620226278302,0.157892128403733,-0.0117280978745699,0.187957979633146,0.174961949443756,-0.0129960301893898,3313
1961,0.171208891857739,0.158062550142379,-0.01314634171536,0.189884632569436,0.175304266800072,-0.0145803657693644,3818
1962,0.182631120426252,0.168521628241711,-0.0141094921845408,0.201610542748028,0.186034761519806,-0.0155757812282218,4470
1963,0.191564371323954,0.177273117464753,-0.014291253859201,0.211152765678377,0.195400161180336,-0.0157526044980407,4828
1964,0.196794166623231,0.182257360989567,-0.0145368056336637,0.216547781121801,0.200551814073674,-0.0159959670481268,5299
1965,0.208341547283657,0.193454126231157,-0.0148874210525002,0.228797000928989,0.2124478985402,-0.0163491023887886,5966
1966,0.206471550627159,0.190147245955281,-0.0163243046718778,0.226769955676237,0.208840793834604,-0.0179291618416324,7184
1967,0.192931209803299,0.17437730871282,-0.0185539010904789,0.2129037330341,0.192429104753192,-0.0204746282809079,8594
1968,0.188764326423248,0.168903050040709,-0.019861276382539,0.208377623948908,0.186452688980495,-0.0219249349684132,10148
1969,0.17109939148073,0.146679287807077,-0.0244201036736534,0.189359880752124,0.162333554827883,-0.0270263259242409,13544
1970,0.148189006615581,0.117029447188815,-0.031159559426766,0.165286295582423,0.130531705702549,-0.0347545898798746,17851
