"year","variable_id","value","unit","family_id","analytical_role","contract_status","transfer_assumption","source_stage","source_commit","interpretation"
1929,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",10979,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1930,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",7647,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1931,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",3105,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1932,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",-99,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1933,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",-339,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1934,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",2577,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1935,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",4082,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1936,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",6238,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1937,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",6836,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1938,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",4815,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1939,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",6456,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1940,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",9738,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1941,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",15484,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1942,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",20600,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1943,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",24919,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1944,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",24923,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1945,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",20520,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1946,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",17519,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1947,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",23278,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1948,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",29858,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1949,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",27442,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1950,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",34419,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1951,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",39153,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1952,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",37307,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1953,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",38097,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1954,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",36726,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1955,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",47348,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1956,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",46440,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1957,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",45527,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1958,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",40475,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1959,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",50966,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1960,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",49545,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1961,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",50893,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1962,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",58413,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
1963,"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",64281,"Millions of current dollars","distribution","PARTIAL_CORPORATE_FINANCIAL_CLAIMS_CONSOLIDATION_PROXY","ROBUSTNESS_CANDIDATE","FULL_NFC_ATTRIBUTION","S30H_CORPORATE_NOS_ACCOUNTING_RECONCILIATION","b72a3ba2a67db95ff8c3c97161740cd815aaa73f","Bounded Shaikh-Tonak-inspired sensitivity proxy; not exact bilateral consolidation, exact Shaikh adjustment, or direct surplus-value measure."
