"year","FIN_GVA_IMPLIED","FIN_CFC_IMPLIED","FIN_NVA_IMPLIED","FIN_COMP_IMPLIED","FIN_NOS_IMPLIED","FIN_NET_INT_IMPLIED","FIN_TRANSFERS_NET_IMPLIED","FIN_PROFITS_IVA_CC_IMPLIED","FIN_TAX_IMPLIED","FIN_AFTER_TAX_IMPLIED","FIN_DIVIDENDS_NET_IMPLIED","FIN_UNDISTRIBUTED_IMPLIED","FIN_PBT_IMPLIED","FIN_PAT_IMPLIED"
1929,3981,212,3769,2095,1628,23,45,1560,216,1344,496,848,-1652,-1436
1930,2919,208,2711,2017,648,-68,48,668,102,566,374,192,-751,-649
1931,2415,192,2223,1847,330,-256,69,517,48,469,313,156,-583,-535
1932,2140,164,1976,1581,347,-368,73,642,38,604,184,420,-688,-650
1933,1900,148,1752,1405,285,-570,73,782,33,749,59,690,-813,-780
1934,2016,160,1856,1460,323,-270,71,522,63,459,-170,629,-566,-503
1935,2216,164,2052,1519,454,-145,56,543,88,455,-485,940,-581,-493
1936,2540,168,2372,1633,657,-241,35,863,152,711,121,590,-895,-743
1937,2588,188,2400,1767,541,-286,16,811,143,668,114,554,-869,-726
1938,2758,188,2570,1753,726,-203,14,915,117,798,173,625,-971,-854
1939,2880,188,2692,1793,800,-140,22,918,111,807,157,650,-981,-870
1940,3027,196,2831,1846,876,-215,30,1061,159,902,72,830,-1118,-959
1941,3275,220,3055,1956,965,-237,52,1150,258,892,56,836,-1232,-974
1942,3445,264,3181,2059,978,-239,9,1208,303,905,268,637,-1359,-1056
1943,3802,248,3554,2150,1235,-135,32,1338,342,996,265,731,-1484,-1142
1944,4022,252,3770,2241,1336,-298,42,1592,392,1200,269,931,-1747,-1355
1945,4245,232,4013,2411,1378,-339,82,1635,505,1130,304,826,-1773,-1268
1946,5036,248,4788,3001,1538,-606,97,2046,531,1515,293,1222,-2194,-1663
1947,5292,320,4972,3373,1266,-491,19,1737,416,1321,348,973,-1941,-1525
1948,6022,368,5654,3644,1639,-850,-28,2518,573,1945,490,1455,-2748,-2175
1949,6731,404,6327,3896,2015,-1046,-33,3093,748,2345,559,1786,-3301,-2553
1950,7248,440,6808,4267,2083,-1065,93,3055,964,2091,676,1415,-3310,-2346
