"run_tag","column_name","present_in_input","nonmissing_obs","finite_obs","first_nonmissing_year","last_nonmissing_year","binding_source","notes"
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","year",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","y_t",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_t",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_t",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_k_t",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","K_ME_gross_real",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","K_NRC_gross_real",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","pK_relative_ME_NRC",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t",TRUE,0,0,,,"S32 script and S20 processed panel","present but zero nonmissing observations"
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t",TRUE,0,0,,,"S32 script and S20 processed panel","present but zero nonmissing observations"
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t_proxy",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t_proxy",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t_proxy_cc",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t_proxy_cc",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_ME_over_ME_NRC_gross_real",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_ME_over_ME_NRC_real",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_ME_over_ME_NRC_gross_cc",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
"S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_ME_over_ME_NRC_cc",TRUE,96,96,1929,2024,"S32 script and S20 processed panel",""
