"task","evidence_kind","discovered_path","status","detail"
"S30A","completion_record","output/US/S30A_REAL_OUTPUT_FAMILY_CLOSURE/csv/S30A_completion_record.csv","PASS","found"
"S30A","validation_result","output/US/S30A_REAL_OUTPUT_FAMILY_CLOSURE/csv/S30A_completion_record.csv","PASS","completion record contains validation evidence"
"S30A","final_decision","output/US/S30A_REAL_OUTPUT_FAMILY_CLOSURE/csv/S30A_completion_record.csv","PASS","completion record contains decision evidence"
"S30A","family_or_scaffold_status","output/US/S30A_REAL_OUTPUT_FAMILY_CLOSURE/csv/S30A_completion_record.csv","PASS","completion record contains status evidence"
"S30A","result_commit","","HUMAN_REVIEW_REQUIRED_MISSING_COMPLETION_EVIDENCE","no result_commit evidence found"
"S30B","completion_record","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_common_completion_record.csv","PASS","found"
"S30B","validation_result","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_common_completion_record.csv","PASS","completion record contains validation evidence"
"S30B","final_decision","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_common_completion_record.csv","PASS","completion record contains decision evidence"
"S30B","family_or_scaffold_status","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_common_completion_record.csv","PASS","completion record contains status evidence"
"S30B","result_commit","","HUMAN_REVIEW_REQUIRED_MISSING_COMPLETION_EVIDENCE","no result_commit evidence found"
"S30C","completion_record","output/US/S30C_CONTEXTUAL_FAMILY_CLASSIFICATION_LOCK/S30C_completion_record.json","PASS","found"
"S30C","validation_result","output/US/S30C_CONTEXTUAL_FAMILY_CLASSIFICATION_LOCK/S30C_completion_record.json","PASS","completion record contains validation evidence"
"S30C","final_decision","output/US/S30C_CONTEXTUAL_FAMILY_CLASSIFICATION_LOCK/S30C_completion_record.json","PASS","completion record contains decision evidence"
"S30C","family_or_scaffold_status","output/US/S30C_CONTEXTUAL_FAMILY_CLASSIFICATION_LOCK/S30C_completion_record.json","PASS","completion record contains status evidence"
"S30C","result_commit","","HUMAN_REVIEW_REQUIRED_MISSING_COMPLETION_EVIDENCE","no result_commit evidence found"
"S30D","completion_record","output/US/S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD/csv/S30D_common_completion_record.csv","PASS","found"
"S30D","validation_result","output/US/S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD/csv/S30D_common_completion_record.csv","PASS","completion record contains validation evidence"
"S30D","final_decision","output/US/S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD/csv/S30D_common_completion_record.csv","PASS","completion record contains decision evidence"
"S30D","family_or_scaffold_status","output/US/S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD/csv/S30D_common_completion_record.csv","PASS","completion record contains status evidence"
"S30D","result_commit","","HUMAN_REVIEW_REQUIRED_MISSING_COMPLETION_EVIDENCE","no result_commit evidence found"
