"variable_id","family","nonmissing_count","missing_count","missing_share","internal_gap_count","leading_missing_span","trailing_missing_span","first_observed_year","last_observed_year","policy"
"DELTA_G_TOT","capital",123,2,0.016,0,1,1,1902,2024,"described_not_modified"
"DLOG_G_TOT","capital",123,2,0.016,0,1,1,1902,2024,"described_not_modified"
"DLOG_N_TOT","capital",123,2,0.016,0,1,1,1902,2024,"described_not_modified"
"G_TOT_GPIM_2017","capital",124,1,0.008,0,0,1,1901,2024,"described_not_modified"
"GROWTH_ARITH_G_TOT","capital",123,2,0.016,0,1,1,1902,2024,"described_not_modified"
"GROWTH_ARITH_N_TOT","capital",123,2,0.016,0,1,1,1902,2024,"described_not_modified"
"I_TOT_REAL_2017","capital",124,1,0.008,0,0,1,1901,2024,"described_not_modified"
"L1_DLOG_G_TOT","capital",122,3,0.024,0,2,1,1903,2024,"described_not_modified"
"L1_DLOG_N_TOT","capital",122,3,0.024,0,2,1,1903,2024,"described_not_modified"
"L1_LOG_G_TOT","capital",123,2,0.016,0,1,1,1902,2024,"described_not_modified"
"L1_LOG_N_TOT","capital",123,2,0.016,0,1,1,1902,2024,"described_not_modified"
"LOG_G_TOT_GPIM_2017","capital",124,1,0.008,0,0,1,1901,2024,"described_not_modified"
"LOG_I_TOT_REAL_2017","capital",124,1,0.008,0,0,1,1901,2024,"described_not_modified"
"LOG_N_TOT_GPIM_2017","capital",124,1,0.008,0,0,1,1901,2024,"described_not_modified"
"N_TOT_GPIM_2017","capital",124,1,0.008,0,0,1,1901,2024,"described_not_modified"
"CORP_COMPENSATION_SHARE_GVA","distribution",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"CORP_COMPENSATION_SHARE_NVA","distribution",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"NFC_COMPENSATION_SHARE_GVA","distribution",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"NFC_COMPENSATION_SHARE_NVA","distribution",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","distribution",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"y_real_nfc_gva_baseline","output",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"Y_REAL_NFC_GVA_BASELINE","output",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"y_real_nfc_gva_proxy_business_output","output",79,46,0.368,0,46,0,1947,2025,"described_not_modified"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","output",79,46,0.368,0,46,0,1947,2025,"described_not_modified"
"y_real_nfc_gva_proxy_gdp_implicit","output",96,29,0.232,0,28,1,1929,2024,"described_not_modified"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","output",96,29,0.232,0,28,1,1929,2024,"described_not_modified"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","output",29,96,0.768,0,96,0,1997,2025,"described_not_modified"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output",29,96,0.768,0,96,0,1997,2025,"described_not_modified"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","output",29,96,0.768,0,96,0,1997,2025,"described_not_modified"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","output",29,96,0.768,0,96,0,1997,2025,"described_not_modified"
"y_real_nfc_gva_proxy_nonfarm_business_output","output",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","output",97,28,0.224,0,28,0,1929,2025,"described_not_modified"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","output",79,46,0.368,0,46,0,1947,2025,"described_not_modified"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","output",79,46,0.368,0,46,0,1947,2025,"described_not_modified"
