"variable_id","family","coverage_start","coverage_end","first_observed_year","last_observed_year","nonmissing_count","missing_count","missing_share","internal_gap_count","coverage_length","leading_missing_span","trailing_missing_span","first_fully_supported_year","support_status","diagnostic_intake_status"
"DELTA_G_TOT","capital",1902,2024,1902,2024,123,2,0.016,0,123,1,1,1932,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"DLOG_G_TOT","capital",1902,2024,1902,2024,123,2,0.016,0,123,1,1,1932,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"DLOG_N_TOT","capital",1902,2024,1902,2024,123,2,0.016,0,123,1,1,1932,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"G_TOT_GPIM_2017","capital",1901,2024,1901,2024,124,1,0.008,0,124,0,1,1931,"partial_vintage_warmup","LEVEL_SERIES_AVAILABLE"
"GROWTH_ARITH_G_TOT","capital",1902,2024,1902,2024,123,2,0.016,0,123,1,1,1932,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"GROWTH_ARITH_N_TOT","capital",1902,2024,1902,2024,123,2,0.016,0,123,1,1,1932,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"I_TOT_REAL_2017","capital",1901,2024,1901,2024,124,1,0.008,0,124,0,1,1931,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"L1_DLOG_G_TOT","capital",1903,2024,1903,2024,122,3,0.024,0,122,2,1,1933,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"L1_DLOG_N_TOT","capital",1903,2024,1903,2024,122,3,0.024,0,122,2,1,1933,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"L1_LOG_G_TOT","capital",1902,2024,1902,2024,123,2,0.016,0,123,1,1,1932,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"L1_LOG_N_TOT","capital",1902,2024,1902,2024,123,2,0.016,0,123,1,1,1932,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"LOG_G_TOT_GPIM_2017","capital",1901,2024,1901,2024,124,1,0.008,0,124,0,1,1931,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"LOG_I_TOT_REAL_2017","capital",1901,2024,1901,2024,124,1,0.008,0,124,0,1,1931,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"LOG_N_TOT_GPIM_2017","capital",1901,2024,1901,2024,124,1,0.008,0,124,0,1,1931,"partial_vintage_warmup","TRANSFORMED_SERIES_AVAILABLE"
"N_TOT_GPIM_2017","capital",1901,2024,1901,2024,124,1,0.008,0,124,0,1,1931,"partial_vintage_warmup","LEVEL_SERIES_AVAILABLE"
"CORP_COMPENSATION_SHARE_GVA","distribution",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","TRANSFORMED_SERIES_AVAILABLE"
"CORP_COMPENSATION_SHARE_NVA","distribution",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","TRANSFORMED_SERIES_AVAILABLE"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","REFERENCE_ONLY"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","REFERENCE_ONLY"
"NFC_COMPENSATION_SHARE_GVA","distribution",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","TRANSFORMED_SERIES_AVAILABLE"
"NFC_COMPENSATION_SHARE_NVA","distribution",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","TRANSFORMED_SERIES_AVAILABLE"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","REFERENCE_ONLY"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","distribution",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","REFERENCE_ONLY"
"y_real_nfc_gva_baseline","output",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","TRANSFORMED_SERIES_AVAILABLE"
"Y_REAL_NFC_GVA_BASELINE","output",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","LEVEL_SERIES_AVAILABLE"
"y_real_nfc_gva_proxy_business_output","output",1947,2025,1947,2025,79,46,0.368,0,79,46,0,1947,"complete","TRANSFORMED_SERIES_AVAILABLE"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","output",1947,2025,1947,2025,79,46,0.368,0,79,46,0,1947,"complete","LEVEL_SERIES_AVAILABLE"
"y_real_nfc_gva_proxy_gdp_implicit","output",1929,2024,1929,2024,96,29,0.232,0,96,28,1,1929,"complete","TRANSFORMED_SERIES_AVAILABLE"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","output",1929,2024,1929,2024,96,29,0.232,0,96,28,1,1929,"complete","LEVEL_SERIES_AVAILABLE"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","output",1997,2025,1997,2025,29,96,0.768,0,29,96,0,1997,"complete","TRANSFORMED_SERIES_AVAILABLE"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output",1997,2025,1997,2025,29,96,0.768,0,29,96,0,1997,"complete","LEVEL_SERIES_AVAILABLE"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","output",1997,2025,1997,2025,29,96,0.768,0,29,96,0,1997,"complete","TRANSFORMED_SERIES_AVAILABLE"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","output",1997,2025,1997,2025,29,96,0.768,0,29,96,0,1997,"complete","LEVEL_SERIES_AVAILABLE"
"y_real_nfc_gva_proxy_nonfarm_business_output","output",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","TRANSFORMED_SERIES_AVAILABLE"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","output",1929,2025,1929,2025,97,28,0.224,0,97,28,0,1929,"complete","LEVEL_SERIES_AVAILABLE"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","output",1947,2025,1947,2025,79,46,0.368,0,79,46,0,1947,"complete","TRANSFORMED_SERIES_AVAILABLE"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","output",1947,2025,1947,2025,79,46,0.368,0,79,46,0,1947,"complete","LEVEL_SERIES_AVAILABLE"
