"year","sector_boundary_gap_gva_pp","sector_boundary_gap_nva_pp","gross_net_gap_corporate_pp","gross_net_gap_nfc_pp"
1929,-0.771808171411903,-1.1092414098416,6.58836410417309,6.92579734260279
1930,0.332332654938805,0.195804900778096,7.53739601632459,7.6739237704853
1931,0.6439919255952,0.462913397831,9.6252170752999,9.8062956030641
1932,0.4689312120991,-0.0439853934624979,12.249589210869,12.7625058164306
1933,0.529899982447202,0.122190846447701,11.7396636508359,12.1473727868354
1934,0.614695547797794,0.476630782741505,8.770477453527,8.90854221858329
1935,0.411087514149799,0.270863945649102,7.8781666446288,8.0183902131295
1936,0.176624797721492,0.036668796179895,6.7896733537674,6.929629355309
1937,0.287434929644903,0.206981080655799,6.8769064819127,6.95736033090181
1938,0.0103658910104998,-0.231252102656299,8.0050507388502,8.246668732517
1939,-0.0484952736641953,-0.240221458239298,7.15164089447961,7.34336707905471
1940,0.015296055686409,-0.107620761913996,6.23786572137109,6.3607825389715
1941,0.0128313269517011,-0.0296990688028909,5.1583266864006,5.2008570821552
1942,-0.0264942555723069,-0.0181770226345024,4.7592173138846,4.7509000809468
1943,-0.207247738868999,-0.216083891118801,4.1897353285793,4.19857148082911
1944,-0.265369396744597,-0.283890817377308,4.19781558599339,4.2163370066261
1945,-0.296742361021207,-0.365633482132399,4.7179890375332,4.78688015864439
1946,-0.321300378587397,-0.450017069872199,5.4000393920753,5.5287560833601
1947,-0.0294956592058027,-0.0855669846298035,5.36117064742581,5.41724197284981
1948,-0.0802592208741015,-0.142656744213498,5.3248899343207,5.3872874576601
1949,-0.207697291886999,-0.326308646908591,5.9001856211351,6.01879697615669
1950,-0.0928216500105994,-0.173145062644897,5.4334413948234,5.5137648074577
1951,-0.156947068193891,-0.238491140219299,5.4685715274283,5.55011559945371
1952,-0.281176133310601,-0.395564699916906,5.68176865091929,5.7961572175256
1953,-0.355922525282404,-0.490718721847005,5.7747748617481,5.9095710583127
1954,-0.291718125143403,-0.451456702314601,6.2174777432191,6.3772163203903
1955,-0.228652540748897,-0.361056711267393,5.6856704031194,5.8180745736379
1956,-0.296963233237002,-0.455045016321298,6.1290617031174,6.2871434862017
1957,-0.263805850991494,-0.4427195911201,6.592471650329,6.77138539045761
