"year","nfc_real_gva","nfc_output_growth","corporate_real_gva","corporate_output_growth","corporate_nfc_output_growth_gap","nfc_share_corporate_output","blocked_reason"
1929,379518,,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1930,353276,-7.16524054201084,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1931,319385,-10.0852349498425,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1932,271204,-16.3525966402377,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1933,264338,-2.56427179324366,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1934,301216,13.0599028077238,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1935,327713,8.43106099833797,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1936,374488,13.3421534372074,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1937,405694,8.00394211296336,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1938,376207,-7.54596570322068,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1939,420183,11.0550806849533,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1940,474124,12.0778560191185,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1941,570642,18.5293151941908,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1942,647653,12.6593016296773,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1943,720413,10.6469599572154,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1944,732875,1.71504966151357,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1945,679342,-7.58504726457012,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1946,658573,-3.10493095890081,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1947,703904,6.65666101736431,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1948,758556,7.47746427674674,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1949,751642,-0.915647922509066,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1950,848936,12.1723653900933,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1951,896303,5.42947247846985,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1952,930356,3.72887831473232,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1953,999235,7.14226776216744,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1954,989290,-1.00024720995133,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1955,1107804,11.3147442231744,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1956,1146054,3.39450602308506,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1957,1161542,1.34236951110545,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1958,1117530,-3.86275399294842,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1959,1243327,10.6669958358028,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1960,1285478,3.33397824730621,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1961,1316239,2.364779374218,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1962,1427784,8.13451646160637,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1963,1515745,5.9783475295081,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1964,1622045,6.77806315676399,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1965,1758279,8.06477909077703,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1966,1888178,7.12768531976202,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1967,1942223,2.82208504084771,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1968,2068281,6.28846341439342,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1969,2150996,3.9213163190988,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1970,2132246,-0.875510642098831,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1971,2216302,3.86641569253037,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1972,2384020,7.29480972416656,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1973,2529343,5.91714467916287,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1974,2491175,-1.52050984983862,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1975,2456693,-1.39383501156001,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1976,2657867,7.87077848095574,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1977,2854488,7.13685711078842,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
1978,3038745,6.25521087086902,,,,,"Y_REAL_CORP_GVA_BASELINE is not canonical; no substitution constructed."
