"variable_id","window_id","window_type","available_start","available_end","n_total_years_in_window","n_nonmissing","coverage_rate","initial_observed_year","initial_value","terminal_observed_year","terminal_value","mean","median","standard_deviation","minimum","maximum","cumulative_log_change","compound_annual_growth_rate","mean_annual_log_growth","standard_deviation_annual_log_growth","minimum_annual_log_growth","maximum_annual_log_growth","testing_eligible","estimation_eligible","initial_share_percent","terminal_share_percent","mean_share_percent","median_share_percent","standard_deviation_percentage_points","minimum_share_percent","maximum_share_percent","initial_to_terminal_change_percentage_points","mean_annual_change_percentage_points"
"Y_REAL_NFC_GVA_BASELINE","fordist_aftermath_1974_1978","transition",1974,1978,5,5,1,1974,2491175,1978,3038745,2699793.6,2657867,246574.466808305,2456693,3038745,19.8690114510532,5.09268915490533,3.66970032024291,4.7152086485138,-1.52050984983862,7.87077848095574,"no","no",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","volcker_transition_1979_1982","transition",1979,1982,4,4,1,1979,3118975,1982,3253862,3199205.25,3196979,81831.7886862027,3118975,3283888,4.23381763512012,1.4212780087357,1.7099499330441,2.34111031413655,-0.918548770309968,4.47747135570786,"no","no",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","gfc_transition_2008_2009","transition",2008,2009,2,2,1,2008,8373691,2009,7780498,8077094.5,8077094.5,419450.792852392,7780498,8373691,-7.34744205632758,-7.08400871252594,-4.20708130705858,4.44114076236035,-7.34744205632758,-1.06672055778958,"no","no",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","covid_transition_2020_2021","transition",2020,2021,2,2,1,2020,9979518,2021,10945065,10462291.5,10462291.5,682744.831254327,9979518,10945065,9.23538771781551,9.67528692267503,2.52296059759853,9.49280546985183,-4.18946652261845,9.23538771781551,"no","no",,,,,,,,,
"G_TOT_GPIM_2017","fordist_aftermath_1974_1978","transition",1974,1978,5,5,1,1974,33562535.6582078,1978,33045743.3298366,33305498.3778681,33329466.0175955,230434.39019161,33045743.3298366,33562535.6582078,-1.55176715687624,-0.387190267196691,-0.190715116043378,0.492565730145177,-0.698972063460346,0.598191576659346,"no","no",,,,,,,,,
"G_TOT_GPIM_2017","volcker_transition_1979_1982","transition",1979,1982,4,4,1,1979,32992478.6888798,1982,32579850.4329869,32812364.4421346,32838564.3233359,174323.430455783,32579850.4329869,32992478.6888798,-1.25856045685566,-0.418641395777408,-0.354968768498676,0.221270480346524,-0.667385014131128,-0.161314617139041,"no","no",,,,,,,,,
"G_TOT_GPIM_2017","gfc_transition_2008_2009","transition",2008,2009,2,2,1,2008,25313159.6636956,2009,24796841.8217936,25055000.7427446,25055000.7427446,365091.847256507,24796841.8217936,25313159.6636956,-2.0608106148817,-2.03972103349274,-1.33583621986286,1.02526862180887,-2.0608106148817,-0.610861824844022,"no","no",,,,,,,,,
"G_TOT_GPIM_2017","covid_transition_2020_2021","transition",2020,2021,2,2,1,2020,20731781.5349533,2021,20233341.3618141,20482561.4483837,20482561.4483837,352450.426442525,20233341.3618141,20731781.5349533,-2.43360565028929,-2.40423222817991,-2.22233716664118,0.298778754877169,-2.43360565028929,-2.01106868299306,"no","no",,,,,,,,,
"G_ME_GPIM_2017","fordist_aftermath_1974_1978","transition",1974,1978,5,5,1,1974,8551866.84652835,1978,8762309.41077586,8614244.122225,8566361.4850625,90954.9805342354,8549137.48659481,8762309.41077586,2.43098978326142,0.609597977558596,0.770488279921899,0.667717755107985,-0.0319204638927317,1.42145161634808,"no","no",,,,,,,,,
"G_ME_GPIM_2017","volcker_transition_1979_1982","transition",1979,1982,4,4,1,1979,8872760.4067231,1982,8678578.60908131,8797983.364859,8820297.22181579,86759.9207372478,8678578.60908131,8872760.4067231,-2.21281944291309,-0.734892840462331,-0.240043525547673,1.08074060650721,-1.28510835267228,1.2526453407224,"no","no",,,,,,,,,
