"window_id","window_label","window_type","start_year","end_year","start_rule","end_rule","parent_window","overlap_status","paper_role","descriptive_eligible","testing_prohibited","estimation_prohibited","minimum_observation_rule","historical_interpretation"
"global_available_variable_specific_1901_2025","Global available","GLOBAL",1901,2025,"VARIABLE_FIRST_OBSERVED_YEAR","DATASET_UNION_END","","root_union","principal_global","yes","yes","yes","profile_class_based","Variable-specific full available support."
"pre_1974_variable_start_1973","Pre-1974","STRUCTURAL",1901,1973,"VARIABLE_FIRST_OBSERVED_YEAR","FIXED_1973","global_available_variable_specific_1901_2025","hierarchical","principal_structural","yes","yes","yes","profile_class_based","Evidence before the 1974 structural boundary."
"pre_fordist_variable_start_1946","Pre-Fordist available","NESTED",1901,1946,"VARIABLE_FIRST_OBSERVED_YEAR","FIXED_1946","pre_1974_variable_start_1973","hierarchical","pre_1974_context","yes","yes","yes","profile_class_based","Available evidence through 1946."
"pre_fordist_consolidation_1940_1946","Pre-Fordist consolidation, 1940-1946","NESTED",1940,1946,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","pre_fordist_variable_start_1946","hierarchical","limited_pre_1974_detail","yes","yes","yes","profile_class_based","Short consolidation interval before the Fordist core."
"fordist_core_1947_1973","Fordist core, 1947-1973","NESTED",1947,1973,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","pre_1974_variable_start_1973","hierarchical","principal_pre_1974_detail","yes","yes","yes","profile_class_based","Fordist core interval."
"post_1974_1974_2025","Post-1974","STRUCTURAL_UMBRELLA",1974,2025,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","global_available_variable_specific_1901_2025","hierarchical","principal_structural_umbrella","yes","yes","yes","profile_class_based","Umbrella interval from 1974 through the dataset end."
"post_fordist_pre_gfc_1974_2008","Post-Fordist pre-GFC, 1974-2008","STRUCTURAL",1974,2008,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","post_1974_1974_2025","hierarchical","principal_post_1974_detail","yes","yes","yes","profile_class_based","Post-Fordist interval before the global financial crisis."
"fordist_aftermath_1974_1978","Fordist aftermath, 1974-1978","TRANSITION",1974,1978,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","post_fordist_pre_gfc_1974_2008","hierarchical","transition_table","yes","yes","yes","profile_class_based","Short aftermath of the Fordist boundary."
"volcker_transition_1979_1982","Volcker transition, 1979-1982","TRANSITION",1979,1982,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","post_fordist_pre_gfc_1974_2008","hierarchical","transition_table","yes","yes","yes","profile_class_based","Short Volcker transition."
"mature_post_volcker_pre_gfc_1983_2008","Mature post-Volcker pre-GFC, 1983-2008","NESTED",1983,2008,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","post_fordist_pre_gfc_1974_2008","hierarchical","principal_post_1974_detail","yes","yes","yes","profile_class_based","Mature post-Volcker interval before the global financial crisis."
"gfc_transition_2008_2009","GFC transition, 2008-2009","TRANSITION",2008,2009,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","post_1974_1974_2025","cross_boundary_event","transition_table","yes","yes","yes","profile_class_based","Cross-boundary global financial crisis event."
"post_gfc_2009_2025","Post-GFC, 2009-2025","STRUCTURAL",2009,2025,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","post_1974_1974_2025","hierarchical","principal_post_1974_detail","yes","yes","yes","profile_class_based","Post-global-financial-crisis interval."
"post_gfc_pre_covid_2009_2019","Post-GFC pre-COVID, 2009-2019","NESTED",2009,2019,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","post_gfc_2009_2025","hierarchical","principal_post_gfc_detail","yes","yes","yes","profile_class_based","Post-crisis interval before COVID-19."
"covid_transition_2020_2021","COVID transition, 2020-2021","TRANSITION",2020,2021,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","post_gfc_2009_2025","hierarchical","transition_table","yes","yes","yes","profile_class_based","COVID-19 transition."
"post_covid_configuration_2022_2025","Post-COVID configuration, 2022-2025","NESTED",2022,2025,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","post_gfc_2009_2025","hierarchical","short_post_covid_detail","yes","yes","yes","profile_class_based","Short post-COVID configuration."
"extended_fordist_bridge_1940_1978","Extended Fordist bridge, 1940-1978","BRIDGE",1940,1978,"FIXED_CALENDAR_YEAR","FIXED_CALENDAR_YEAR","global_available_variable_specific_1901_2025","cross_boundary_supplement","appendix_bridge","yes","yes","yes","profile_class_based","Supplementary bridge across the Fordist boundary."
