"variable_id","display_name","family_id","concept","concept_group_id","unit","transformation","representation_type","S30_analytical_role","S30_contract_status","reporting_tier","window_id","window_type","parent_window","window_start","window_end","calendar_years_in_window","first_observed_year","last_observed_year","n_observed","n_missing","missing_share","coverage_share","leading_missing_count","trailing_missing_count","internal_missing_count","internal_gap_count","longest_internal_gap","mean","median","standard_deviation","variance","minimum","minimum_year","maximum","maximum_year","range","q01","q05","q10","q25","q75","q90","q95","q99","interquartile_range","median_absolute_deviation","coefficient_of_variation","skewness","excess_kurtosis","first_value","last_value","absolute_change","relative_change","annualized_change","endpoint_change_method","endpoint_change_valid","endpoint_change_reason","n_valid_annual_changes","mean_annual_change","median_annual_change","standard_deviation_annual_change","mean_absolute_annual_change","largest_annual_increase","largest_annual_increase_year","largest_annual_decrease","largest_annual_decrease_year","descriptive_profile_class","short_window_flag","distributional_interpretation_allowed","time_profile_interpretation_allowed","testing_prohibited","estimation_prohibited","diagnostic_note"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","global_available_variable_specific_1901_2025","GLOBAL","",1901,2025,125,1901,2024,124,1,0.008,0.992,0,1,0,0,0,39121139.1662176,32842422.9217331,20561786.6753264,422787071281629,1723395.05606458,1901,92415645.8562277,1930,90692250.8001631,4400772.88906978,16187013.071814,20496693.3662309,25954048.0232575,49514552.5982511,73613234.1462348,82503743.8377151,91261336.233019,23560504.5749936,9236542.42840665,0.525592738697193,0.968188731303579,0.178995323920796,1723395.05606458,19322142.6372907,17598747.5812261,1021.16734751539,1.98443777241408,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",123,143079.248627855,-243875.705308702,1906750.42924508,1353716.22985522,5612271.7059866,1920,-3311295.84628859,1933,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","pre_1974_variable_start_1973","STRUCTURAL","global_available_variable_specific_1901_2025",1901,1973,73,1901,1973,73,0,0,1,0,0,0,0,0,47477921.7439046,44282943.5286081,23165349.2574237,536633406218419,1723395.05606458,1901,92415645.8562277,1930,90692250.8001631,3258021.77095097,9666790.93436718,18456846.6048459,32926058.9508753,65089608.622025,81662834.365225,87076544.072548,91927809.9400788,32163549.6711497,12879291.1314435,0.487918350394048,0.170936406995597,-0.774221393885073,1723395.05606458,33362366.6908302,31638971.6347656,1835.85136347171,4.20132043075205,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",72,439430.161593967,-23773.3177723493,2452484.67805668,2112035.19838747,5612271.7059866,1920,-3311295.84628859,1933,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","pre_fordist_variable_start_1946","NESTED","pre_1974_variable_start_1973",1901,1946,46,1901,1946,46,0,0,1,0,0,0,0,0,52216002.4985006,57353504.1407111,27604497.9980565,762008309724705,1723395.05606458,1901,92415645.8562277,1930,90692250.8001631,2682536.75286857,6761146.78189616,11809138.7970734,29271210.7578161,74850751.4757437,85677980.3643579,89514751.04959,92110748.4086346,45579540.7179277,22264201.8986283,0.528659734127467,-0.302873336823478,-1.23798475068319,1723395.05606458,54803605.1976679,53080210.1416033,3079.97925111921,7.99091137564427,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",45,1179560.22536896,2370973.11606389,2798723.01216146,2851206.47686051,5612271.7059866,1920,-3311295.84628859,1933,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","pre_fordist_consolidation_1940_1946","NESTED","pre_fordist_variable_start_1946",1940,1946,7,1940,1946,7,0,0,1,0,0,0,0,0,60411357.6603857,59904889.1437624,4758865.47177575,22646800578459.4,54803605.1976679,1946,67267611.8466106,1940,12464006.6489427,54859654.1807851,55083850.1132541,55364095.0288403,56605221.5802528,63846477.1370768,65960809.9118592,66614210.8792349,67136931.6531355,7241255.55682405,4167134.2274738,0.0787743506532106,0.17402082820081,-1.81550562197283,67267611.8466106,54803605.1976679,-12464006.6489427,-18.5289863974422,-3.35771571768577,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",6,-2077334.44149045,-2305102.0620655,650106.053412508,2077334.44149045,-934149.718620703,1946,-2698456.50836629,1943,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","yes","yes","yes",""
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","fordist_core_1947_1973","NESTED","pre_1974_variable_start_1973",1947,1973,27,1947,1973,27,0,0,1,0,0,0,0,0,39405636.0138522,34953558.2796876,7734015.69666739,59814998796297.5,32332790.5644253,1964,53963272.1874296,1947,21630481.6230043,32340658.1136694,32410639.1443769,32592088.8225094,33009162.1945757,46083929.5979001,51321379.926237,52848776.4215002,53756239.1675813,13074767.4033244,2590507.9104773,0.196266739456981,0.619900899161494,-1.27608165734592,53963272.1874296,33362366.6908302,-20600905.4965994,-38.1757900541069,-1.83252115508452,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",26,-792342.519099977,-926961.545327749,816323.875232405,881611.9159591,289264.9979848,1973,-1986686.8946768,1960,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","post_1974_1974_2025","STRUCTURAL_UMBRELLA","global_available_variable_specific_1901_2025",1974,2025,52,1974,2024,51,1,0.0192307692307692,0.980769230769231,0,1,0,0,0,27159469.9863911,27249645.8985711,4404615.7908776,19400640265248.3,19322142.6372907,2024,33562535.6582078,1974,14240393.0209171,19423253.9044968,20020725.8348804,21152932.5245726,23531579.2189886,31278286.4288174,32992478.6888798,33213390.3303114,33527483.9494405,7746707.2098287,3926695.8953732,0.162176058409263,-0.141134784864828,-1.23396238068949,33562535.6582078,19322142.6372907,-14240393.0209171,-42.4294313336084,-1.09824221797081,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",50,-284807.860418342,-271620.8370164,145107.573466483,284807.860418342,-36252.5254782997,2000,-560134.099674203,2010,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","post_fordist_pre_gfc_1974_2008","STRUCTURAL","post_1974_1974_2025",1974,2008,35,1974,2008,35,0,0,1,0,0,0,0,0,29589638.8182199,29510485.3749062,2810831.62186997,7900774406504.19,25313159.6636956,2008,33562535.6582078,1974,8249375.9945122,25365894.2332653,25533448.429106,25833447.7693059,27231519.635832,32387956.1536591,33076686.117751,33378355.8845188,33538700.4962461,5156436.51782715,2443159.8737851,0.094993779381288,-0.00242212710108446,-1.56276278500901,33562535.6582078,25313159.6636956,-8249375.9945122,-24.5791202384758,-0.826232572533014,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",34,-242628.705720947,-235922.68832355,139284.097139693,242628.705720947,-36252.5254782997,2000,-517363.9942201,1988,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","fordist_aftermath_1974_1978","TRANSITION","post_fordist_pre_gfc_1974_2008",1974,1978,5,1974,1978,5,0,0,1,0,0,0,0,0,33305498.3778681,33329466.0175955,230434.39019161,53100008182.979,33045743.3298366,1978,33562535.6582078,1974,516792.328371197,33047806.1823642,33056057.5924747,33066371.8551129,33097314.6430273,33492432.2406733,33534494.291194,33548514.9747009,33559731.5215064,395117.597646002,232151.374568202,0.00691880924816714,-0.0493808059127029,-2.14758496458639,33562535.6582078,33045743.3298366,-516792.328371197,-1.53978928658454,-0.387190267196691,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",4,-129198.082092799,-116534.820306148,84177.9116050188,129198.082092799,-51571.3131906986,1978,-232151.374568202,1977,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","yes","yes","yes","DESCRIPTIVE TRANSITION WINDOW; NOT ELIGIBLE FOR TESTING OR ESTIMATION."
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","volcker_transition_1979_1982","TRANSITION","post_fordist_pre_gfc_1974_2008",1979,1982,4,1979,1982,4,0,0,1,0,0,0,0,0,32812364.4421346,32838564.3233359,174323.430455783,30388658405.8723,32579850.4329869,1982,32992478.6888798,1979,412628.255892899,32586395.2394057,32612574.4650811,32645298.4971752,32743470.5934577,32907458.1720129,32958470.482133,32975474.5855064,32989077.8682051,163987.578555226,97234.0209659487,0.00531273601947237,,,32992478.6888798,32579850.4329869,-412628.255892899,-1.25067370591946,-0.418641395777408,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",3,-137542.7519643,-113360.689155899,71655.0822412549,137542.7519643,-81107.3527759984,1981,-218160.213961001,1982,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes","yes","DESCRIPTIVE TRANSITION WINDOW; NOT ELIGIBLE FOR TESTING OR ESTIMATION."
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","mature_post_volcker_pre_gfc_1983_2008","NESTED","post_fordist_pre_gfc_1974_2008",1983,2008,26,1983,2008,26,0,0,1,0,0,0,0,0,28379246.4992237,27840731.580782,2187688.9356295,4785982879075.72,25313159.6636956,2008,32196061.8743313,1983,6882902.2106357,25351935.0824968,25491542.4425454,25641549.9105484,26852158.6838232,30073957.5345555,31672566.3630752,31921018.3195464,32135457.7179213,3221798.85073232,1754718.52653355,0.0770876328830414,0.312356602112939,-1.25994881576479,32196061.8743313,25313159.6636956,-6882902.2106357,-21.3780872875113,-0.957465777303967,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",25,-275316.088425428,-266542.953301299,135644.085486048,275316.088425428,-36252.5254782997,2000,-517363.9942201,1988,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
