"source_variable_id","display_name","family_id","concept_group_id","growth_measure","growth_method","reporting_tier","window_id","window_type","window_start","window_end","n_valid_growth_observations","mean_growth","median_growth","standard_deviation_growth","variance_growth","minimum_growth","minimum_growth_year","maximum_growth","maximum_growth_year","q10_growth","q25_growth","q75_growth","q90_growth","interquartile_range_growth","mean_absolute_growth","positive_growth_years","negative_growth_years","zero_growth_years","first_valid_growth_year","last_valid_growth_year","cumulative_window_growth","compound_annual_growth_rate","cumulative_growth_valid","cumulative_growth_reason","descriptive_profile_class","short_window_flag","distributional_interpretation_allowed","testing_prohibited","estimation_prohibited"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","global_available_variable_specific_1901_2025","GLOBAL",1901,2025,123,2.60891764772059,-0.929570211913244,13.8141910654838,190.831874793693,-5.37810966142562,1960,123.675995552925,1902,-3.61918370529056,-2.01739336036431,0.736698113979983,9.79060118294644,2.75409147434429,5.18405588736516,36,87,0,1902,2024,1021.1673475154,1.98443777241408,TRUE,"","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","pre_1974_variable_start_1973","STRUCTURAL",1901,1973,72,5.20993835638689,-0.0719567888832318,17.6369594549253,311.062338814678,-5.37810966142562,1960,123.675995552925,1902,-3.81831559210027,-3.24134511533062,6.56920395214391,13.4613030680674,9.81054906747454,8.0863918684024,35,37,0,1902,1973,1835.85136347171,4.20132043075205,TRUE,"","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","pre_fordist_variable_start_1946","NESTED",1901,1946,45,9.41734890513943,5.8013790812363,21.245569139164,451.374208046998,-4.3104030307916,1943,123.675995552925,1902,-3.72232160752881,-3.01870920071844,10.6432601193841,23.0063014492135,13.6619693201026,11.6993476527622,29,16,0,1902,1946,3079.97925111921,7.99091137564427,TRUE,"","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","pre_fordist_consolidation_1940_1946","NESTED",1940,1946,7,-3.35213521444206,-3.34218448424668,0.87292846670194,0.7620041079786,-4.3104030307916,1943,-1.67597299177852,1946,-4.16022371169811,-3.93992911429155,-3.12826388284726,-2.48161471714247,0.811665231444292,3.35213521444206,0,7,0,1940,1946,-21.2518979732254,-3.35549712285278,TRUE,"","LIMITED_DESCRIPTIVE_PROFILE","yes","yes","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","fordist_core_1947_1973","NESTED",1947,1973,27,-1.80241255820067,-1.84328646556343,1.96786177090095,3.87247994937343,-5.37810966142562,1960,0.874623132330443,1973,-4.59882177654387,-3.35043948570291,-0.0719567888832318,0.570150212960536,3.27848269681968,2.0647988944694,6,21,0,1947,1973,-39.1237737544867,-1.82145709839893,TRUE,"","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","post_1974_1974_2025","STRUCTURAL_UMBRELLA",1974,2025,51,-1.06311158804359,-1.07431919961235,0.652483050005419,0.425734130544374,-2.40423222817991,2021,0.59998431535917,1974,-1.99098157728279,-1.50367995162597,-0.547788056993814,-0.246683480915388,0.955891894632155,1.08664038472434,1,50,0,1974,2024,-42.0840169513469,-1.06522079828781,TRUE,"","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","post_fordist_pre_gfc_1974_2008","STRUCTURAL",1974,2008,35,-0.784414936306769,-0.752938749422849,0.525431701064519,0.276078472483554,-1.66705666121235,1988,0.59998431535917,1974,-1.48843189663278,-1.24683116354078,-0.405713295149862,-0.180260353136024,0.841117868390917,0.818699754327293,1,34,0,1974,2008,-24.1266067894007,-0.785765491366075,TRUE,"","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","fordist_aftermath_1974_1978","TRANSITION",1974,1978,5,-0.189563621949955,-0.208874020271921,0.49247692197449,0.242533518677468,-0.696534935320126,1977,0.59998431535917,1974,-0.612551463876072,-0.486576256709992,-0.155817212806908,0.297663704092739,0.330759043903084,0.429557348093623,1,4,0,1974,1978,-0.94904346543444,-0.190533370323165,TRUE,"","LIMITED_DESCRIPTIVE_PROFILE","yes","yes","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","volcker_transition_1979_1982","TRANSITION",1979,1982,4,-0.354156638489747,-0.295139516285475,0.220321853166644,0.0485417189827842,-0.665162946342612,1982,-0.161184575045425,1979,-0.568692727936497,-0.423987400327325,-0.225308754447898,-0.186834246806414,0.198678645879427,0.354156638489747,0,4,0,1979,1982,-1.40984238786679,-0.354339499155687,TRUE,"","EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","mature_post_volcker_pre_gfc_1983_2008","NESTED",1983,2008,26,-0.965003004116467,-0.945103112513856,0.443317776965671,0.196530651373785,-1.66705666121235,1988,-0.133038519521467,2000,-1.50367995162597,-1.34617751355742,-0.612579626657087,-0.405713295149862,0.733597886900334,0.965003004116467,0,26,0,1983,2008,-22.3042484011339,-0.965956710183324,TRUE,"","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
