"country","stage","diagnostic_type","spec_id","spec_family","architecture_layer","identification_role","estimated_in_s30","estimated_in_s32","vif_only_candidate","s40_eligible","window_id","year_start","year_end","n_obs","rhs_variable","vif","vif_status","max_vif_in_spec_window","mean_vif_in_spec_window","collinearity_flag","high_vif_variables","formula_label","mechanization_bias_sign","envelope_variable","mechanization_bias_variable","distribution_conditioned_variable","diagnostic_role","candidate_use"
"US","S31","candidate_vif_only","SPEC_E1_NRC_ENVELOPE_MECHANIZATION_BIAS","NRC_envelope_mechanization_bias","A03_candidate","envelope_vs_mechanization_candidate",FALSE,FALSE,TRUE,FALSE,"full_long_sample",1929,2024,96,"k_NRC_proxy_t",1.35723704362549,"low",1.35723704362549,1.35723704362549,FALSE,"","VIF only: y_t ~ k_NRC_proxy_t + m_ME_NRC_t","higher_m_ME_NRC_t_indicates_more_machinery_intensity_relative_to_NRC_envelope","k_NRC_proxy_t","m_ME_NRC_t","","model_choice_review_screen_only","do_not_treat_as_estimated_result"
"US","S31","candidate_vif_only","SPEC_E1_NRC_ENVELOPE_MECHANIZATION_BIAS","NRC_envelope_mechanization_bias","A03_candidate","envelope_vs_mechanization_candidate",FALSE,FALSE,TRUE,FALSE,"full_long_sample",1929,2024,96,"m_ME_NRC_t",1.35723704362549,"low",1.35723704362549,1.35723704362549,FALSE,"","VIF only: y_t ~ k_NRC_proxy_t + m_ME_NRC_t","higher_m_ME_NRC_t_indicates_more_machinery_intensity_relative_to_NRC_envelope","k_NRC_proxy_t","m_ME_NRC_t","","model_choice_review_screen_only","do_not_treat_as_estimated_result"
"US","S31","candidate_vif_only","SPEC_E2A_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_FULL","NRC_envelope_mechanization_bias","A03_candidate","envelope_vs_mechanization_candidate",FALSE,FALSE,TRUE,FALSE,"full_long_sample",1929,2024,96,"k_NRC_proxy_t",1.58627903217069,"low",6.05447799315679,4.16758382996202,FALSE,"","VIF only: y_t ~ k_NRC_proxy_t + m_ME_NRC_t + omega_m_ME_NRC_t","higher_m_ME_NRC_t_indicates_more_machinery_intensity_relative_to_NRC_envelope","k_NRC_proxy_t","m_ME_NRC_t","omega_m_ME_NRC_t","model_choice_review_screen_only","do_not_treat_as_estimated_result"
"US","S31","candidate_vif_only","SPEC_E2A_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_FULL","NRC_envelope_mechanization_bias","A03_candidate","envelope_vs_mechanization_candidate",FALSE,FALSE,TRUE,FALSE,"full_long_sample",1929,2024,96,"m_ME_NRC_t",6.05447799315679,"moderate",6.05447799315679,4.16758382996202,FALSE,"","VIF only: y_t ~ k_NRC_proxy_t + m_ME_NRC_t + omega_m_ME_NRC_t","higher_m_ME_NRC_t_indicates_more_machinery_intensity_relative_to_NRC_envelope","k_NRC_proxy_t","m_ME_NRC_t","omega_m_ME_NRC_t","model_choice_review_screen_only","do_not_treat_as_estimated_result"
"US","S31","candidate_vif_only","SPEC_E2A_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_FULL","NRC_envelope_mechanization_bias","A03_candidate","envelope_vs_mechanization_candidate",FALSE,FALSE,TRUE,FALSE,"full_long_sample",1929,2024,96,"omega_m_ME_NRC_t",4.86199446455857,"low",6.05447799315679,4.16758382996202,FALSE,"","VIF only: y_t ~ k_NRC_proxy_t + m_ME_NRC_t + omega_m_ME_NRC_t","higher_m_ME_NRC_t_indicates_more_machinery_intensity_relative_to_NRC_envelope","k_NRC_proxy_t","m_ME_NRC_t","omega_m_ME_NRC_t","model_choice_review_screen_only","do_not_treat_as_estimated_result"
"US","S31","candidate_vif_only","SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","NRC_envelope_mechanization_bias","A03_candidate","envelope_vs_mechanization_candidate",FALSE,FALSE,TRUE,FALSE,"full_long_sample",1929,2024,96,"k_NRC_proxy_t",1.08991708296892,"low",1.08991708296892,1.08991708296892,FALSE,"","VIF only: y_t ~ k_NRC_proxy_t + omega_m_ME_NRC_t","higher_m_ME_NRC_t_indicates_more_machinery_intensity_relative_to_NRC_envelope","k_NRC_proxy_t","m_ME_NRC_t","omega_m_ME_NRC_t","model_choice_review_screen_only","do_not_treat_as_estimated_result"
"US","S31","candidate_vif_only","SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","NRC_envelope_mechanization_bias","A03_candidate","envelope_vs_mechanization_candidate",FALSE,FALSE,TRUE,FALSE,"full_long_sample",1929,2024,96,"omega_m_ME_NRC_t",1.08991708296892,"low",1.08991708296892,1.08991708296892,FALSE,"","VIF only: y_t ~ k_NRC_proxy_t + omega_m_ME_NRC_t","higher_m_ME_NRC_t_indicates_more_machinery_intensity_relative_to_NRC_envelope","k_NRC_proxy_t","m_ME_NRC_t","omega_m_ME_NRC_t","model_choice_review_screen_only","do_not_treat_as_estimated_result"
"US","S31","candidate_vif_only","SPEC_E1_NRC_ENVELOPE_MECHANIZATION_BIAS","NRC_envelope_mechanization_bias","A03_candidate","envelope_vs_mechanization_candidate",FALSE,FALSE,TRUE,FALSE,"pre_1974",1929,1973,45,"k_NRC_proxy_t",1.58411652891127,"low",1.58411652891127,1.58411652891127,FALSE,"","VIF only: y_t ~ k_NRC_proxy_t + m_ME_NRC_t","higher_m_ME_NRC_t_indicates_more_machinery_intensity_relative_to_NRC_envelope","k_NRC_proxy_t","m_ME_NRC_t","","model_choice_review_screen_only","do_not_treat_as_estimated_result"
"US","S31","candidate_vif_only","SPEC_E1_NRC_ENVELOPE_MECHANIZATION_BIAS","NRC_envelope_mechanization_bias","A03_candidate","envelope_vs_mechanization_candidate",FALSE,FALSE,TRUE,FALSE,"pre_1974",1929,1973,45,"m_ME_NRC_t",1.58411652891127,"low",1.58411652891127,1.58411652891127,FALSE,"","VIF only: y_t ~ k_NRC_proxy_t + m_ME_NRC_t","higher_m_ME_NRC_t_indicates_more_machinery_intensity_relative_to_NRC_envelope","k_NRC_proxy_t","m_ME_NRC_t","","model_choice_review_screen_only","do_not_treat_as_estimated_result"
"US","S31","candidate_vif_only","SPEC_E2A_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_FULL","NRC_envelope_mechanization_bias","A03_candidate","envelope_vs_mechanization_candidate",FALSE,FALSE,TRUE,FALSE,"pre_1974",1929,1973,45,"k_NRC_proxy_t",1.63913073353731,"low",12.2310828686215,8.21424055196956,TRUE,"m_ME_NRC_t | omega_m_ME_NRC_t","VIF only: y_t ~ k_NRC_proxy_t + m_ME_NRC_t + omega_m_ME_NRC_t","higher_m_ME_NRC_t_indicates_more_machinery_intensity_relative_to_NRC_envelope","k_NRC_proxy_t","m_ME_NRC_t","omega_m_ME_NRC_t","model_choice_review_screen_only","do_not_treat_as_estimated_result"
