"item","value"
"S32_patch_status","completed"
"number_of_spec_window_systems_tested_by_Phillips_Ouliaris","110"
"number_of_successful_Pz_constant_short_tests","110"
"number_of_Pz_constant_short_passes","0"
"number_of_Pz_constant_short_failures","110"
"number_of_not_tested_cases","0"
"dummy_robustness_variant_rows","440"
"dummy_robustness_D1_rescue_rows","0"
"dummy_robustness_D2_fragility_rows","5"
"dummy_robustness_D3_stress_rows","2"
"successful_FM_OLS_rows","220"
"successful_IM_OLS_rows","220"
"successful_DOLS_rows","220"
"main_output_folder","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/S32_B1_E2B_MODEL_CHOICE_REVIEW"
"key_warnings","S30/S20 output dirs absent in checkout; S32 used processed panel and S31 VIF artifacts. DOLS is stress diagnostic only."
"next_human_decision_required","Human adjudication of B1 versus E2B rows; S40 remains parked."
