"year","Y_real","Yp","mu_t","mu_formula","anchor_check_mu_t","anchor_tolerance","candidate_spec_id","reconstruction_estimator","robustness_estimator","stress_diagnostic_estimator","reconstruction_window_id","reconstruction_window_role","reconstruction_year_start","reconstruction_year_end","anchor_type","anchor_year","anchor_variable","anchor_value","anchor_source","anchor_status","sector_target","composition_basis","composition_tier","direct_sector_asset_split","capacity_register","a00_baseline_available","omega_k_formula","a03_composition_status","a03_composition_basis","a03_composition_tier","fragility_flag"
1929,726233.54978355,609294.408083962,1.1919255127703,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1930,671248.179259785,688125.432277924,0.975473580503674,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1931,585743.965730855,714905.687226774,0.819330404270587,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1932,481512.475820896,727952.951462805,0.661460984330523,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1933,480916.445809027,760823.09282839,0.632100221907304,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1934,574730.774559744,831041.202148232,0.69157915765677,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1935,624832.496862521,870317.200236974,0.717936514057621,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1936,710187.227279132,914911.192949412,0.776236243202678,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1937,775257.555795731,950243.185458803,0.815851739490682,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1938,702013.014742698,979319.599254037,0.71683750154437,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
