"year","Y_real","y_t","k_t","omega_t","omega_k_t","theta_tot","log_Yp_unanchored","Yp_unanchored","log_Yp","Yp","anchor_scale_factor","log_anchor_shift","anchor_check_mu_t","anchor_tolerance","candidate_spec_id","reconstruction_estimator","robustness_estimator","stress_diagnostic_estimator","reconstruction_window_id","reconstruction_window_role","reconstruction_year_start","reconstruction_year_end","anchor_type","anchor_year","anchor_variable","anchor_value","anchor_source","anchor_status","sector_target","composition_basis","composition_tier","direct_sector_asset_split","capacity_register","a00_baseline_available","omega_k_formula","a03_composition_status","a03_composition_basis","a03_composition_tier","fragility_flag"
1929,726233.54978355,13.4956269359913,13.6893445579279,0.632503689129365,8.65856093465239,0.838896834935927,13.3042895720866,599762.8296202,13.3200568585873,609294.408083962,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1930,671248.179259785,13.4168942123394,13.8398445343971,0.636138668552111,8.80406027507958,0.838565588595826,13.425959128155,677360.65015676,13.4417264146557,688125.432277924,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1931,585743.965730855,13.2806380545344,13.9273633188381,0.663881911320595,9.24612457976658,0.836037418127496,13.4641386204986,703721.964609952,13.4799059069992,714905.687226774,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1932,481512.475820896,13.0846874202084,13.970089272113,0.677734147194899,9.46800653907211,0.834775099445069,13.4822244114782,716565.122225024,13.4979916979789,727952.951462805,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1933,480916.445809027,13.0834488246619,14.0027927533324,0.664517937219731,9.30510695575984,0.835979458720634,13.5263888566016,748921.05514329,13.5421561431023,760823.09282839,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1934,574730.774559744,13.2616569919742,14.0433990102709,0.622061999745903,8.73586487155875,0.83984835927499,13.6146673675136,818040.698090096,13.6304346540143,831041.202148232,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1935,624832.496862521,13.3452388877788,14.0899690687937,0.616558357905585,8.68728819199593,0.840349892022444,13.6608457356539,856702.276856161,13.6766130221546,870317.200236974,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1936,710187.227279132,13.4732839146478,14.1442869850469,0.61320426040215,8.67333703958144,0.840655542314547,13.7108149961608,900598.657486638,13.7265822826614,914911.192949412,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1937,775257.555795731,13.5609505831851,14.2138198380133,0.629079145811021,8.94161764240915,0.839208904774237,13.748705929011,935377.929251483,13.7644732155117,950243.185458803,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1938,702013.014742698,13.4617072223556,14.2573365744225,0.633989364345709,9.03899975208095,0.838761449168703,13.7788460365421,963999.482283419,13.7946133230428,979319.599254037,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1939,782920.871348315,13.5707869115626,14.3019020954451,0.630537992484756,9.01789263597548,0.839075963823205,13.8207240353343,1005227.09119132,13.836491321835,1021202.40746702,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1940,889189.643858432,13.6980658144214,14.3552866804615,0.607110693449235,8.71524805123755,0.841210833422574,13.8961644225846,1083995.62238632,13.9119317090852,1101222.74754126,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1941,1087303.56734269,13.899211397899,14.4128181822523,0.594511097780444,8.56858035964076,0.842359002219876,13.9611088932721,1156731.4765355,13.9768761797728,1175114.5377817,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1942,1269278.79624277,14.0539594201574,14.4451344669669,0.604405412159509,8.73071745120666,0.841457358759294,13.9753064455904,1173271.36734581,13.9910737320911,1191917.28460652,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1943,1439901.30600023,14.1800851317035,14.4655214941134,0.621900080256822,8.99610897814591,0.839863114582218,13.9693996861957,1166361.56304007,13.9851669726963,1184897.66799055,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1944,1456657.8663667,14.1916552369896,14.4975732120151,0.627959009724536,9.10388171762596,0.839310979899268,13.9883141288314,1188632.60008019,14.004081415332,1207522.64183124,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1945,1328216.50526316,14.0993476268021,14.5435146956026,0.638440192180252,9.28516431723684,0.838355856657949,14.012982471543,1218318.8462727,14.0287497580436,1237680.66915273,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1946,1227613.14957265,14.0205823132805,14.602699144033,0.663415069811751,9.68765067207865,0.836079960195339,14.0293658691812,1238443.45295341,14.0451331556819,1258125.10103459,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1947,1341561.4657798,14.1093447664935,14.668344295017,0.644483720777999,9.45350910890529,0.83780512541673,14.1095557818361,1341844.58570234,14.1253230683367,1363169.51002767,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1948,1455627.9562443,14.1909479505293,14.7340211190663,0.624581372598025,9.20259513443472,0.839618775296772,14.1913025172808,1456144.16502994,14.2070698037815,1479285.56639408,1.01589224605633,0.0157672865006697,1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
