"identity_id","description","recomputed_error","tolerance","status"
"ID01_COMPONENT_REPARAMETERIZATION","The scale-composition differential equals the ME-NR component differential.",3.46944695195361e-18,1e-12,"PASS"
"ID02_AGGREGATE_CAPITAL_COORDINATE","Aggregate capital growth equals NR growth plus the ME share times composition growth.",3.46944695195361e-18,1e-12,"PASS"
"ID03_DIRECTIONAL_ELASTICITY","The ratio and direction-slope formulas recover the same aggregate elasticity.",0,1e-12,"PASS"
"ID04_BALANCED_SPECIAL_CASE","Zero composition change reduces the directional elasticity to the scale coefficient.",0,1e-12,"PASS"
"ID05_WAGE_PROFIT_MAPPING","The centered wage-share and mapped profit-share formulas recover the same composition payoff.",0,1e-12,"PASS"
"ID06_PATH_RECONSTRUCTION","Potential-output growth is reconstructed from scale growth and lagged composition growth.",0,1e-12,"PASS"
"ID07_WINDOW_ELASTICITY","The window elasticity equals cumulative potential-output growth divided by cumulative capital growth.",0,1e-12,"PASS"
"ID08_CAPACITY_PRODUCTIVITY","Window capital-productivity growth equals Theta minus one times cumulative capital growth.",6.93889390390723e-18,1e-12,"PASS"
"ID09_UTILIZATION_GROWTH","Utilization growth equals realized-output growth minus reconstructed potential-output growth.",0,1e-12,"PASS"
"ID10_GROWTH_WEIGHTED_PATH","The window elasticity is the capital-growth-weighted average of local path elasticities.",0,1e-12,"PASS"
