"year","bad_window_incidence","vif_bad_incidence","cond_bad_incidence","endpoint_pressure","score_bad_windows","score_vif_tail","score_cond_tail","score_endpoint","dummy_candidate_score"
1999,177,0,177,9,1,0,1,0.642857142857143,0.778571428571429
2000,176,0,176,9,0.994350282485876,0,0.994350282485876,0.642857142857143,0.774899112187248
1990,165,4,161,10,0.932203389830508,0.166666666666667,0.909604519774011,0.714285714285714,0.764749798224374
1998,177,0,177,8,1,0,1,0.571428571428571,0.764285714285714
1993,171,4,167,8,0.966101694915254,0.166666666666667,0.943502824858757,0.571428571428571,0.758212267958031
1994,171,2,169,8,0.966101694915254,0.0833333333333333,0.954802259887006,0.571428571428571,0.75023204196933
1989,159,4,155,10,0.898305084745763,0.166666666666667,0.875706214689266,0.714285714285714,0.74271589991929
1997,175,0,175,6,0.988700564971751,0,0.988700564971751,0.428571428571429,0.728369652945924
1992,169,4,165,6,0.954802259887006,0.166666666666667,0.932203389830508,0.428571428571429,0.722296206618241
1996,173,0,173,6,0.977401129943503,0,0.977401129943503,0.428571428571429,0.721025020177563
1988,153,4,149,10,0.864406779661017,0.166666666666667,0.84180790960452,0.714285714285714,0.720682001614205
1991,167,4,163,6,0.943502824858757,0.166666666666667,0.92090395480226,0.428571428571429,0.714951573849879
1995,171,0,171,6,0.966101694915254,0,0.966101694915254,0.428571428571429,0.713680387409201
1983,130,12,119,13,0.734463276836158,0.5,0.672316384180791,0.928571428571429,0.713256658595642
1978,110,24,87,14,0.621468926553672,1,0.491525423728814,1,0.701977401129944
1987,147,4,143,10,0.830508474576271,0.166666666666667,0.807909604519774,0.714285714285714,0.69864810330912
1985,137,6,131,12,0.774011299435028,0.25,0.740112994350282,0.857142857142857,0.698476594027441
1982,126,14,113,12,0.711864406779661,0.583333333333333,0.638418079096045,0.857142857142857,0.692261904761905
1984,133,8,125,12,0.751412429378531,0.333333333333333,0.706214689265537,0.857142857142857,0.691767554479419
1981,122,16,107,12,0.689265536723164,0.666666666666667,0.604519774011299,0.857142857142857,0.685552865213882
1986,141,4,137,10,0.796610169491525,0.166666666666667,0.774011299435028,0.714285714285714,0.676614205004036
1980,117,18,100,11,0.661016949152542,0.75,0.564971751412429,0.785714285714286,0.660885794995965
1979,112,20,93,11,0.632768361581921,0.833333333333333,0.525423728813559,0.785714285714286,0.650504439063761
2001,171,0,171,0,0.966101694915254,0,0.966101694915254,0,0.627966101694915
1977,104,24,81,10,0.587570621468927,1,0.457627118644068,0.714285714285714,0.622800645682002
2002,166,0,166,0,0.937853107344633,0,0.937853107344633,0,0.609604519774011
1976,98,24,75,10,0.553672316384181,1,0.423728813559322,0.714285714285714,0.600766747376917
2003,161,0,161,0,0.909604519774011,0,0.909604519774011,0,0.591242937853107
1975,92,24,69,10,0.519774011299435,1,0.389830508474576,0.714285714285714,0.578732849071832
2004,156,0,156,0,0.88135593220339,0,0.88135593220339,0,0.572881355932203
2005,151,0,151,0,0.853107344632768,0,0.853107344632768,0,0.554519774011299
2006,146,0,146,0,0.824858757062147,0,0.824858757062147,0,0.536158192090396
2007,141,0,141,0,0.796610169491525,0,0.796610169491525,0,0.517796610169492
2008,136,0,136,0,0.768361581920904,0,0.768361581920904,0,0.499435028248588
2009,128,0,128,0,0.72316384180791,0,0.72316384180791,0,0.470056497175141
2010,120,0,120,0,0.677966101694915,0,0.677966101694915,0,0.440677966101695
2011,112,0,112,0,0.632768361581921,0,0.632768361581921,0,0.411299435028249
1967,61,24,38,6,0.344632768361582,1,0.214689265536723,0.428571428571429,0.407748184019371
1974,84,24,61,0,0.474576271186441,1,0.344632768361582,0,0.406497175141243
2012,104,0,104,0,0.587570621468927,0,0.587570621468927,0,0.381920903954802
1973,76,24,53,0,0.429378531073446,1,0.299435028248588,0,0.377118644067797
1972,73,24,50,0,0.412429378531073,1,0.282485875706215,0,0.366101694915254
1971,70,24,47,0,0.395480225988701,1,0.265536723163842,0,0.355084745762712
2013,96,0,96,0,0.542372881355932,0,0.542372881355932,0,0.352542372881356
1970,67,24,44,0,0.378531073446328,1,0.248587570621469,0,0.34406779661017
1969,64,24,41,0,0.361581920903955,1,0.231638418079096,0,0.333050847457627
2014,88,0,88,0,0.497175141242938,0,0.497175141242938,0,0.32316384180791
1968,61,24,38,0,0.344632768361582,1,0.214689265536723,0,0.322033898305085
1966,58,24,35,0,0.327683615819209,1,0.19774011299435,0,0.311016949152542
1965,55,24,32,0,0.310734463276836,1,0.180790960451977,0,0.3
