"sample_name","beta2_family","estimator","n_rows","fit_failures","pathological_beta2_share","min_beta2_hat","max_beta2_hat","min_delta_theta_obs","max_delta_theta_obs","any_theta_crossing_one","median_max_vif","median_cond_num"
"Full sample","no_intercept","D_auto",2,0,0,0.0236783775676255,0.0236783775676258,0.00267512185418861,0.00267512185418872,FALSE,2.05885770060957,44.8303693181194
"Full sample","no_intercept","D_fixed",2,0,0,0.0119150926155256,0.0119150926155257,0.00134613634567837,0.00134613634567837,FALSE,2.05885770060957,44.8303693181194
"Full sample","no_intercept","FM",2,0,0,0.147725306355596,0.147732003142897,0.0166896230250544,0.0166903796107626,FALSE,2.05885770060957,44.8303693181194
"Full sample","no_intercept","IM",2,0,0,0.202295705801662,0.202295705801669,0.0228548456097966,0.0228548456097972,FALSE,2.05885770060957,44.8303693181194
"Full sample","with_intercept","D_auto",2,0,0,0.0167278187303474,0.0167278187303475,0.0018898656941615,0.0018898656941615,FALSE,2.05885770060957,280.690411520722
"Full sample","with_intercept","D_fixed",2,0,0,0.0423186424630479,0.0423186424630483,0.00478105076959667,0.00478105076959678,FALSE,2.05885770060957,280.690411520722
"Full sample","with_intercept","FM",2,0,0,0.0340972827730246,0.0341705827670467,0.00385222281611397,0.0038605040598505,FALSE,2.05885770060957,280.690411520722
"Full sample","with_intercept","IM",2,0,0,0.0364052081345584,0.0364052081345598,0.00411296625408153,0.00411296625408164,FALSE,2.05885770060957,280.690411520722
"Pre-1974","no_intercept","D_auto",2,0,0,-0.405168830663337,-0.405168830663337,-0.0337193856154918,-0.0337193856154918,FALSE,2.50079775248507,75.1893370525941
"Pre-1974","no_intercept","D_fixed",2,0,0,-0.325083736695661,-0.32508373669566,-0.0270544598828586,-0.0270544598828586,FALSE,2.50079775248507,75.1893370525941
"Pre-1974","no_intercept","FM",2,0,0,-0.25642240809475,-0.255181151184362,-0.0213402547398429,-0.0212369535546537,FALSE,2.50079775248507,75.1893370525941
"Pre-1974","no_intercept","IM",2,0,0,-0.451666983185583,-0.451666983185558,-0.0375891036605316,-0.0375891036605295,FALSE,2.50079775248507,75.1893370525941
"Pre-1974","with_intercept","D_auto",2,0,0,-0.404637979464589,-0.404637979464589,-0.0336752065599467,-0.0336752065599467,FALSE,2.50079775248507,374.766321174325
"Pre-1974","with_intercept","D_fixed",2,0,0,-0.291915988266872,-0.291915988266871,-0.0242941387164034,-0.0242941387164033,FALSE,2.50079775248507,374.766321174325
"Pre-1974","with_intercept","FM",2,0,0,-0.247120713978347,-0.24601212427747,-0.0205661393907554,-0.0204738791752989,FALSE,2.50079775248507,374.766321174325
"Pre-1974","with_intercept","IM",2,0,0,-0.41252655629677,-0.412526556296752,-0.0343317179794611,-0.0343317179794596,FALSE,2.50079775248507,374.766321174325
"Post-1973","no_intercept","D_auto",2,0,0,0.0424834569482626,0.0424834569482626,0.00382880680458098,0.00382880680458098,FALSE,1.92440805143458,40.0682044066704
"Post-1973","no_intercept","D_fixed",2,0,0,0.0643445601387673,0.0643445601387683,0.00579903113809932,0.00579903113809943,FALSE,1.92440805143458,40.0682044066704
"Post-1973","no_intercept","FM",2,0,0,0.110039569332685,0.110039569332979,0.00991727797357045,0.00991727797359709,FALSE,1.92440805143458,40.0682044066704
"Post-1973","no_intercept","IM",2,0,0,0.119607591940436,0.119607591940436,0.0107795926884854,0.0107795926884854,FALSE,1.92440805143458,40.0682044066704
"Post-1973","with_intercept","D_auto",2,0,0,0.0108694741146496,0.0108694741146496,0.000979607580029795,0.000979607580029795,FALSE,1.92440805143458,1133.84875100576
"Post-1973","with_intercept","D_fixed",2,0,0,0.0292659856460129,0.0292659856460137,0.00263758679338832,0.00263758679338844,FALSE,1.92440805143458,1133.84875100576
"Post-1973","with_intercept","FM",2,0,0,0.0155269933679412,0.0155269933684394,0.00139936488535419,0.00139936488539905,FALSE,1.92440805143458,1133.84875100576
"Post-1973","with_intercept","IM",2,0,0,0.0407790465503091,0.0407790465503094,0.00367519740934197,0.00367519740934197,FALSE,1.92440805143458,1133.84875100576
"Fordist core","no_intercept","D_auto",2,0,0,-0.077498740081216,-0.0774987400812159,-0.00418026510634972,-0.00418026510634972,FALSE,2.1358343765825,100.158346299368
"Fordist core","no_intercept","D_fixed",2,0,0,0.00787416831228085,0.00787416831228224,0.000424730918242799,0.000424730918242799,FALSE,2.1358343765825,100.158346299368
"Fordist core","no_intercept","FM",2,0,0,-0.132321283161218,-0.132321283161073,-0.00713738110124884,-0.00713738110124107,FALSE,2.1358343765825,100.158346299368
"Fordist core","no_intercept","IM",2,0,0,-0.103204587619713,-0.10320458761969,-0.00556683290579674,-0.00556683290579552,FALSE,2.1358343765825,100.158346299368
"Fordist core","with_intercept","D_auto",2,0,0,-0.0561969891186186,-0.0561969891186185,-0.00303125331390286,-0.00303125331390286,FALSE,2.1358343765825,605.037542580131
"Fordist core","with_intercept","D_fixed",2,0,0,0.0100867662216547,0.0100867662216548,0.000544077966017298,0.000544077966017298,FALSE,2.1358343765825,605.037542580131
"Fordist core","with_intercept","FM",2,0,0,-0.0911274319814765,-0.0911274319793718,-0.00491539376955308,-0.00491539376943961,FALSE,2.1358343765825,605.037542580131
"Fordist core","with_intercept","IM",2,0,0,-0.148310203837524,-0.148310203837522,-0.00799981998891741,-0.00799981998891719,FALSE,2.1358343765825,605.037542580131
"Deep comparison","no_intercept","D_auto",2,0,0,-0.336478185394075,-0.336478185394073,-0.0231846834755383,-0.0231846834755383,FALSE,3.54927301307987,87.480561183169
"Deep comparison","no_intercept","D_fixed",2,0,0,-0.307191082781434,-0.307191082781431,-0.0211666857762389,-0.0211666857762387,FALSE,3.54927301307987,87.480561183169
"Deep comparison","no_intercept","FM",2,0,0,-0.250366289031787,-0.250366289031717,-0.0172512317770284,-0.0172512317770236,FALSE,3.54927301307987,87.480561183169
"Deep comparison","no_intercept","IM",2,0,0,-0.674522164883454,-0.674522164883414,-0.0464772563836262,-0.0464772563836234,FALSE,3.54927301307987,87.480561183169
"Deep comparison","with_intercept","D_auto",2,0,0,-0.257735556370044,-0.257735556370044,-0.0177590035675949,-0.0177590035675949,FALSE,3.54927301307987,495.879183975087
"Deep comparison","with_intercept","D_fixed",2,0,0,-0.276995633434855,-0.276995633434853,-0.0190860993789894,-0.0190860993789893,FALSE,3.54927301307987,495.879183975087
"Deep comparison","with_intercept","FM",2,0,0,-0.047437835123219,-0.0474378351209408,-0.003268655264556,-0.00326865526439912,FALSE,3.54927301307987,495.879183975087
"Deep comparison","with_intercept","IM",2,0,0,-0.141475791390524,-0.141475791390516,-0.00974824397307972,-0.00974824397307916,FALSE,3.54927301307987,495.879183975087
