"year","omega_t","D45","D73","theta_hat","theta_se","theta_lo95","theta_hi95","model_id","spec_id","estimator","intercept_flag"
1929,0.632503689129365,0,0,0.932869999438443,0.00738450264613089,0.918396374252026,0.947343624624859,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1930,0.636138668552111,0,0,0.93096643327608,0.00753594283670027,0.916195985316147,0.945736881236012,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1931,0.663881911320595,0,0,0.916437850847844,0.00918283438453747,0.89843949545415,0.934436206241537,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1932,0.677734147194899,0,0,0.909183711438308,0.0102411879501099,0.889110983056092,0.929256439820523,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1933,0.664517937219731,0,0,0.916104776780793,0.00922870522864768,0.898016514532643,0.934193039028942,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1934,0.622061999745903,0,0,0.938338103731932,0.00705530378658406,0.924509708310227,0.952166499153637,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1935,0.616558357905585,0,0,0.941220251100205,0.00695046378321652,0.927597342085101,0.95484316011531,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1936,0.61320426040215,0,0,0.94297672500838,0.0069112374197887,0.929430699665594,0.956522750351166,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1937,0.629079145811021,0,0,0.934663364413648,0.00725863999341086,0.920436430026563,0.948890298800734,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1938,0.633989364345709,0,0,0.932091980984639,0.00744423654545704,0.917501277355543,0.946682684613735,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1939,0.630537992484756,0,0,0.933899395532058,0.00731020430710225,0.919571395090138,0.948227395973979,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1940,0.607110693449235,0,0,0.946167804382056,0.00688895823961611,0.932665446232408,0.959670162531703,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1941,0.594511097780444,0,0,0.952765961121124,0.00704312373696833,0.938961438596666,0.966570483645582,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1942,0.604405412159509,0,0,0.947584506190757,0.00689946145461623,0.934061561739709,0.961107450641805,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1943,0.621900080256822,0,0,0.938422897736133,0.00705151681746173,0.924601924773908,0.952243870698358,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1944,0.627959009724536,0,0,0.935249957322024,0.00722116212508005,0.921096479556867,0.949403435087181,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1945,0.638440192180252,1,0,0.935153904086509,0.00782714425749404,0.919812701341821,0.950495106831198,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1946,0.663415069811751,1,0,0.931246312128713,0.00682358363055563,0.917872088212824,0.944620536044602,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1947,0.644483720777999,1,0,0.934208328132396,0.00745287053748957,0.919600701878917,0.948815954385876,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1948,0.624581372598025,1,0,0.937322267541302,0.00892123285534652,0.919836651144823,0.954807883937781,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1949,0.622946489496739,1,0,0.937578062830984,0.00906799274695729,0.919804797046948,0.955351328615021,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1950,0.609475288313768,1,0,0.939685779160215,0.0103839395933531,0.919333257557242,0.960038300763187,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1951,0.618138626346099,1,0,0.938330305450901,0.00951722464659183,0.919676545143581,0.956984065758221,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1952,0.63357057934292,1,0,0.935915808118293,0.00817777510400149,0.91988736891445,0.951944247322136,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1953,0.644071883964771,1,0,0.934272764492928,0.00747604084152332,0.919619724443542,0.948925804542313,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1954,0.642039314043351,1,0,0.934590782222415,0.00759553913538703,0.919703525517056,0.949478038927774,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1955,0.622858846487424,1,0,0.937591775535543,0.00907595034059723,0.919802912867973,0.955380638203114,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1956,0.635535528362412,1,0,0.935608370416322,0.00803142346327036,0.919866780428312,0.951349960404332,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1957,0.638957571161781,1,0,0.935072954502804,0.00779234208268499,0.919799964020742,0.950345944984867,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1958,0.640702916019947,1,0,0.934799876266667,0.00767863372538156,0.919749754164919,0.949849998368415,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1959,0.628716570650273,1,0,0.936675270711477,0.00856512327104706,0.919887629100224,0.953462912322729,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1960,0.638652100649948,1,0,0.935120748695553,0.00781283045415886,0.919807601005401,0.950433896385704,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1961,0.635335355670866,1,0,0.935639689616808,0.00804603969694255,0.9198694518108,0.951409927422815,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1962,0.628948763920103,1,0,0.936638941542332,0.00854580824373908,0.919889157384603,0.953388725700061,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1963,0.621930029689577,1,0,0.937737099052362,0.00916083127004727,0.91978186976307,0.955692328341655,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1964,0.619047357779893,1,0,0.938188124508321,0.00943040750827714,0.919704525792097,0.956671723224544,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1965,0.61236559273945,1,0,0.939233559513896,0.0100874408817263,0.919462175385712,0.959004943642079,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1966,0.620003181239775,1,0,0.938038575504717,0.00934002265375582,0.919732131103356,0.956345019906078,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1967,0.628388720851657,1,0,0.936726566387689,0.00859252337417613,0.919885220574304,0.953567912201075,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1968,0.627992500156573,1,0,0.936788559436243,0.00862583553971732,0.919881921778397,0.953695197094089,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1969,0.641990534144692,1,0,0.934598414369508,0.00759851008655117,0.919705334599867,0.949491494139148,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1970,0.653676971146293,1,0,0.9327699438594,0.00703502707379637,0.918981290794759,0.94655859692404,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1971,0.64098353494678,1,0,0.9347559703754,0.00766089492390545,0.919740616324545,0.949771324426255,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
1972,0.641336309259143,1,0,0.934700774987208,0.00763881276665134,0.919728701964572,0.949672848009845,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
