year,y,k_NR,k_ME,phi,s_ME,omega,omega_kME,k_CL,c_t,ECT_m,ECT_m_lag1,ECT_theta,theta_CL,g_Y,g_K_CL,g_Yp,g_mu,mu_CL
1920,14.919018608891568,16.301515393849833,16.312234155005797,1.010776412877209,0.5026796646330731,0.516925820551757,8.432215025608768,17.0000363163991,0.010718761155963819,-0.3395647693856496,NA,0.6545068072385325,0.5697134994161666,NA,NA,NA,NA,0.6134288914590313
1921,14.839404778330278,16.325163400466735,16.358109752286552,1.0334950926230655,0.5082358429938131,0.6558033235305708,10.727702742227365,17.03491943356271,0.032946351819816755,0.4767439828785385,-0.3395647693856496,0.6110053101195714,0.5593990067843374,-0.07961383056128923,0.034883117163609256,0.01951358109486469,-0.09912741165615392,0.55553795880918
1922,14.843507335284436,16.34639217079428,16.39613178552932,1.0509973965083028,0.5124323406248883,0.6898369608309547,11.310657720313362,17.064718380506978,0.04973961473503863,0.5640163686681712,0.4767439828785385,0.6085648946536386,0.552525731992441,0.004102556954157066,0.029798946944268323,0.01646468497298577,-0.012362128018828702,0.5487126023302951
1923,14.976602494521469,16.38998782623646,16.414169494034898,1.0244764153610786,0.506045122377164,0.6010173223079679,9.865200197213989,17.095298933046966,0.024181667798437445,0.3437022642381198,0.5640163686681712,0.6489813836752449,0.5634710275927557,0.1330951592370333,0.030580552539987593,0.017231255364061063,0.11586390387297224,0.6161181304069007
1924,15.070641955375889,16.42743408252184,16.44023660626331,1.0128848269029,0.5032005872195683,0.5216991909156851,8.576858135949996,17.12700301288937,0.012802523741466842,-0.100082688763921,0.3437022642381198,0.6640590805037507,0.5688560193851774,0.09403946085441994,0.031704079842405974,0.018035056657420903,0.07600440419699904,0.6647713317462598
1925,15.11185025319953,16.491493957518355,16.44614028141648,0.9556594281545984,0.48866352412719416,0.4717264513305704,7.758079393037344,17.162221397485567,-0.04535367610187535,-0.1413571009348047,-0.100082688763921,0.5993826766499963,0.5916795553770636,0.04120829782364055,0.03521838459619531,0.020837998138975265,0.020370299684665284,0.6784517874323087
1926,15.10441865062548,16.550444975055118,16.45051797695162,0.9049034752946246,0.47503901747812527,0.5617975851274443,9.24186127354703,17.194876313213378,-0.09992699810349848,0.7523710325158657,-0.1413571009348047,0.552471159517185,0.6113458028551008,-0.007431602574049734,0.032654915727810874,0.019963445672784196,-0.02739504824683393,0.6601178442156483
1927,15.126200655904482,16.607324948776046,16.45265654397456,0.8566992077333336,0.46140979872512283,0.5875910751460215,9.667434147682238,17.226125240500362,-0.15466840480148747,0.37389225892873945,0.7523710325158657,0.5096456435749737,0.6318538600174974,0.021782005279002092,0.031248927286984696,0.019744755327687383,0.002037249951314709,0.6614640400647499
1928,15.24250149063399,16.657359614217214,16.4491733785811,0.8120557889021027,0.4481406112745106,0.436008684898591,7.171982452464059,17.251821609941363,-0.20818623563611283,-0.41675941994685495,0.37389225892873945,0.49358508564614567,0.6538957028435196,0.11630083472950759,0.0256963694410004,0.016802745556149697,0.0994980891733579,0.7306640002122231
1929,15.287810164196271,16.7310992794604,16.465747337820602,0.766935985764371,0.43404854049231234,0.5614619056398236,9.244889878076608,17.300346244504127,-0.26535194163979625,0.5563007057268461,-0.41675941994685495,0.49709889589098655,0.6739587518475815,0.045308673562281854,0.04852463456276368,0.03270360214378022,0.012605071418501632,0.7399323635901316
1930,15.244406279298486,16.8089601329723,16.481970181468522,0.7210909888702796,0.4189731940573361,0.6686490552422352,11.020653790369618,17.351918518571885,-0.3269899515037764,1.1975064749526103,0.5563007057268461,0.39860598495711574,0.6958176548450623,-0.043403884897784906,0.05157227406775888,0.03588489879685481,-0.07928878369463971,0.6835296246313333
1931,15.09457695831914,16.872399417030312,16.484433771592037,0.6784356502231751,0.40420712592285885,0.5811436847010782,9.57982458223389,17.39026161606471,-0.3879656454382747,-0.02972314343074877,1.1975064749526103,0.12694964430805022,0.7193317300957793,-0.14982932097934665,0.03834309749282383,0.027581406656744103,-0.17741072763609075,0.5724121478615888
