year,ECT_m,R_t,regime
1922,0.4767439828785385,1,Regime2_binding
1923,0.5640163686681712,1,Regime2_binding
1924,0.3437022642381198,1,Regime2_binding
1925,-0.100082688763921,1,Regime2_binding
1926,-0.1413571009348047,0,Regime1_slack
1927,0.7523710325158657,1,Regime2_binding
1928,0.37389225892873945,1,Regime2_binding
1929,-0.41675941994685495,0,Regime1_slack
1930,0.5563007057268461,1,Regime2_binding
1931,1.1975064749526103,1,Regime2_binding
1932,-0.02972314343074877,1,Regime2_binding
1933,-1.6294308855203212,0,Regime1_slack
1934,-1.292535860071296,0,Regime1_slack
1935,-0.8422470313701567,0,Regime1_slack
1936,-0.3627846155578638,0,Regime1_slack
1937,-0.48787423110789874,0,Regime1_slack
1938,-0.39011656493991254,0,Regime1_slack
1939,-0.11516523248430131,1,Regime2_binding
1940,-0.15147941115817076,0,Regime1_slack
1941,0.1209394269664461,1,Regime2_binding
1942,0.17469041087843973,1,Regime2_binding
1943,-0.2036082066002134,0,Regime1_slack
1944,-0.12362847597380532,1,Regime2_binding
1945,0.06679736601977737,1,Regime2_binding
1946,-0.01128471534838659,1,Regime2_binding
1947,-0.14324879569574378,0,Regime1_slack
1948,0.698925468909203,1,Regime2_binding
1949,-0.06555591629071955,1,Regime2_binding
1950,-0.01876963641118223,1,Regime2_binding
1951,-0.31191698621127895,0,Regime1_slack
1952,-0.3827253966615291,0,Regime1_slack
1953,0.17693867905545346,1,Regime2_binding
1954,-1.025456689746596,0,Regime1_slack
1955,-1.1010571074257367,0,Regime1_slack
1956,-1.0241115732836352,0,Regime1_slack
1957,-0.6533337933390158,0,Regime1_slack
1958,-0.4923938585127008,0,Regime1_slack
1959,-1.1404722903622204,0,Regime1_slack
1960,-0.48210639185876936,0,Regime1_slack
1961,-0.02959364715220758,1,Regime2_binding
1962,0.35009043394536654,1,Regime2_binding
1963,-0.2154047288534766,0,Regime1_slack
1964,-0.5236324803719548,0,Regime1_slack
1965,0.17621998074814105,1,Regime2_binding
1966,-0.11300359885400636,1,Regime2_binding
1967,-0.44917868199286826,0,Regime1_slack
1968,-0.4471335869437451,0,Regime1_slack
1969,-0.6221184555879287,0,Regime1_slack
1970,-0.7246589064600659,0,Regime1_slack
1971,-0.7444124907667797,0,Regime1_slack
1972,-0.5792989637718895,0,Regime1_slack
1973,0.17989200640244007,1,Regime2_binding
1974,0.09076950361146884,1,Regime2_binding
1975,-1.0573399311389051,0,Regime1_slack
1976,-0.6573661095647214,0,Regime1_slack
1977,-0.7046113617426144,0,Regime1_slack
1978,-0.3753101214095409,0,Regime1_slack
1979,-0.5884718118212344,0,Regime1_slack
1980,-0.5898949072034174,0,Regime1_slack
1981,-0.24028247879501663,0,Regime1_slack
1982,0.4893057191032746,1,Regime2_binding
1983,0.5422772391711472,1,Regime2_binding
1984,0.09983550248867168,1,Regime2_binding
1985,0.19758038866128655,1,Regime2_binding
1986,-0.5672229077918765,0,Regime1_slack
1987,-0.4696011645362077,0,Regime1_slack
1988,-0.5673429634280875,0,Regime1_slack
1989,-0.700569695034531,0,Regime1_slack
1990,-0.4701372068461698,0,Regime1_slack
1991,-0.09521789419012804,1,Regime2_binding
1992,-0.3008361907376731,0,Regime1_slack
1993,-0.2634672228969652,0,Regime1_slack
1994,-0.25042410263186987,0,Regime1_slack
1995,-0.2384049977046896,0,Regime1_slack
1996,-0.236431047898904,0,Regime1_slack
1997,-9.084498447009536e-5,1,Regime2_binding
1998,0.01003527498684064,1,Regime2_binding
1999,0.08722246248831134,1,Regime2_binding
2000,0.02961514906908569,1,Regime2_binding
2001,0.13111272143753716,1,Regime2_binding
2002,0.05226591194096386,1,Regime2_binding
2003,0.0955885972835766,1,Regime2_binding
2004,0.14776036263762293,1,Regime2_binding
2005,0.10130220986736838,1,Regime2_binding
2006,0.16282877448151112,1,Regime2_binding
2007,0.03716855545586206,1,Regime2_binding
2008,0.08253962034521223,1,Regime2_binding
2009,0.3719009005270202,1,Regime2_binding
2010,0.22304127988306277,1,Regime2_binding
2011,0.3466069155974978,1,Regime2_binding
2012,0.44664010042589375,1,Regime2_binding
2013,0.27828838322402305,1,Regime2_binding
2014,0.12808750021389592,1,Regime2_binding
2015,0.03682014662463295,1,Regime2_binding
2016,-0.04592503646265911,1,Regime2_binding
2017,-0.10800958603212509,1,Regime2_binding
2018,-0.08957494539958333,1,Regime2_binding
2019,-0.12192503815609256,1,Regime2_binding
2020,-0.25175856884629155,0,Regime1_slack
2021,-0.12628086982159026,1,Regime2_binding
2022,0.34294319821647434,1,Regime2_binding
2023,0.16230809228150456,1,Regime2_binding
2024,-0.11112944444028015,1,Regime2_binding
