year,omega,theta,Y,K,Y_star,mu,mu_ect,period
1929,0.632503689129365,0.7956043654703819,726233.5497835497,536556.7880373431,688582.7233822341,1.0546787264954591,1.5766084889806025,Pre-Fordist
1930,0.636138668552111,0.7488916198911255,671248.1792597848,605097.0677973434,753451.4453943921,0.8908977258759145,1.0999239329686041,Pre-Fordist
1931,0.663881911320595,0.3923660690507873,585743.9657308555,664972.5887564642,781868.8658557225,0.7491588312443973,0.22424169043085931,Pre-Fordist
1932,0.677734147194899,0.21435241481903589,481512.4758208955,745439.762026317,801249.3463879749,0.6009520981097203,0.09015937837222095,Pre-Fordist
1933,0.664517937219731,0.3841925658330698,480916.4458090267,810747.1075329127,827523.4079737618,0.5811514709735861,0.1652848435831902,Pre-Fordist
1934,0.622061999745903,0.9297894385783989,574730.7745597438,820702.4665574834,836967.2775409024,0.6866824904413983,1.455864263642222,Pre-Fordist
1935,0.616558357905585,1.0005161721157032,624832.4968625214,842783.6924515662,859497.8913136915,0.7269738566868408,1.9980318633172602,Pre-Fordist
1936,0.61320426040215,1.043619333125518,710187.227279132,963816.92733748106,988701.7605363302,0.7183027841417866,2.3098756351099814,Pre-Fordist
1937,0.629079145811021,0.8396128183804432,775257.5557957309,1011865.051912936,1029922.8332496551,0.7527336328194669,1.183134955231555,Pre-Fordist
1938,0.633989364345709,0.7765121065265745,702013.0147426982,1074719.9973723202,1079265.0934144214,0.6504546649625921,0.8218323389291587,Pre-Fordist
1939,0.630537992484756,0.8208653302700846,782920.8713483146,1141692.2933454367,1134171.9847795444,0.6903017195407939,1.0141393642711136,Pre-Fordist
1940,0.607110693449235,1.1219271334284615,889189.6438584316,1248298.6622853943,1253647.3798715381,0.7092820980884971,2.8479022647246053,Pre-Fordist
1941,0.594511097780444,1.2838432376008315,1087303.5673426937,1364252.0485110588,1405080.07296965,0.7738374404845607,5.259140133056692,Pre-Fordist
1942,0.604405412159509,1.15669242420742,1269278.7962427745,1394200.5526775757,1440818.976557411,0.8809425867470858,4.005280705195776,Pre-Fordist
1943,0.621900080256822,0.931870249229056,1439901.3060002301,1381793.9365056546,1428867.4051412423,1.0077221307024615,2.26184436001073,Pre-Fordist
1944,0.627959009724536,0.8540075716752487,1456657.8663667042,1408331.4275596968,1452270.0742198706,1.0030213334452895,1.7618044343600006,Pre-Fordist
1945,0.638440192180252,0.7193149771697769,1328216.5052631581,1547922.650987314,1554430.2125391182,0.8544716221730879,0.9846246425195376,Fordist
1946,0.663415069811751,0.3983654011218327,1227613.1495726495,1706146.1737522031,1615879.3527572828,0.7597183214686736,0.3304939111251146,Fordist
1947,0.644483720777999,0.6416502146071714,1341561.4657798004,1878073.594962127,1718554.924312759,0.7806334536071251,0.6940054591942821,Fordist
1948,0.624581372598025,0.8974132379528772,1455627.9562443027,2001447.6252173283,1819534.9453053777,0.8000000000000003,1.471184105604225,Fordist
1949,0.622946489496739,0.9184229520338754,1419119.006143118,2105334.1849796236,1906094.4197836798,0.7445166364340818,1.4514463390759413,Fordist
1950,0.609475288313768,1.0915399687546348,1592827.605412054,2381470.8588216375,2180561.025904751,0.7304668782434849,2.283489960602203,Fordist
1951,0.618138626346099,0.9802083054062694,1706080.1075038286,2465421.166746065,2255881.6487692683,0.7562808573909927,1.769125709471618,Fordist
1952,0.63357057934292,0.7818938693957875,1754849.685684179,2623014.645115372,2367864.0220943913,0.7411108363106099,1.0414458032499054,Fordist
1953,0.644071883964771,0.6469426870091084,1856589.9757566743,2785914.799978312,2461984.8863969245,0.7541029134722935,0.7554538487943986,Fordist
1954,0.642039314043351,0.6730630333904966,1812883.7453580904,2908037.5957202096,2534113.2426945665,0.7153917649830123,0.7639863467771165,Fordist
1955,0.622858846487424,0.9195492433053793,2011937.4630823852,3196643.1647338127,2764484.1621434703,0.7277804266827159,1.4058834596019936,Fordist
1956,0.635535528362412,0.756642512249341,2085043.8458412164,3483690.9155083224,2950334.557480383,0.7067143760204151,0.9370499438160226,Fordist
1957,0.638957571161781,0.7126661932506764,2109077.2645143787,3683286.6088007237,3069833.8089215094,0.6870330434126457,0.8260781646778688,Fordist
1958,0.640702916019947,0.6902369465271878,2014899.346419098,3747278.901311894,3106548.8331510746,0.6485973517999778,0.7428441452679169,Fordist
1959,0.628716570650273,0.8442722343681641,2228896.6664486164,3918692.362946371,3226103.541514014,0.6908943367027187,1.1021293178302618,Fordist
1960,0.638652100649948,0.7165917632860737,2286634.601613424,4015449.5433252687,3282986.979622816,0.6965104082977923,0.8490842620313706,Fordist
1961,0.635335355670866,0.7592149108586952,2326128.73844189,4140502.650882996,3360323.2991416794,0.6922336130681379,0.9221775798221549,Fordist
1962,0.628948763920103,0.8412883426105076,2507040.6198107256,4285268.6828734055,3458894.241296731,0.7248098510438533,1.1426189141653926,Fordist
1963,0.621930029689577,0.9314853721582876,2643039.9084331337,4440617.791126049,3575551.3457418303,0.7391978614936585,1.397797370220821,Fordist
1964,0.619047357779893,0.9685302914948108,2809129.4448267384,4671452.343422628,3755423.720820061,0.7480193058516755,1.5222014519242846,Fordist
1965,0.61236559273945,1.0543969647423879,3032710.3986967537,4957138.183548689,3997977.565029423,0.7585611348157814,1.8219869731114244,Fordist
1966,0.620003181239775,0.9562471028140811,3239530.1508304477,5292156.172223473,4255977.523714648,0.7611718184082332,1.5215048396512574,Fordist
1967,0.628388720851657,0.8484853983093767,3313586.992984657,5639434.034180697,4491795.30835987,0.7376976833333435,1.2138200534525758,Fordist
1968,0.627992500156573,0.8535771895879947,3505836.10678337,6003475.791407042,4738155.350553999,0.7399158211166414,1.2283185648636654,Fordist
1969,0.641990534144692,0.6736898988360576,3627738.0319148935,6360906.179073849,4926401.953863673,0.736386934295878,0.9036624196681793,Fordist
1970,0.653676971146293,0.5235087024948069,3559188.0192183866,6709264.793290934,5065848.309119953,0.7025847996298756,0.6757920080616161,Fordist
1971,0.64098353494678,0.6866307416469493,3654849.6377522154,7049128.314572662,5240679.599925703,0.6973999398482651,0.8664034722239854,Fordist
1972,0.641336309259143,0.6820972753507739,3887808.9097153186,7384841.587414716,5409659.224124785,0.7186790791511118,0.8867112705578923,Fordist
1973,0.64395880536602,0.6483958484165324,4131343.186702082,7930374.610225065,5665514.989248404,0.7292087647005153,0.856140067723972,Fordist
1974,0.654104621464026,0.5180130123777875,4091901.785166843,8891761.427951917,6011482.4398815045,0.680680984447407,0.6657080721756742,Post-Fordist
1975,0.6334561606626,0.7833642520532127,4052858.411510791,9095367.275638591,6119049.466745481,0.6623346376812953,0.9114389734263489,Post-Fordist
1976,0.630753371060034,0.8180975224175189,4339158.7810433,9537699.775403619,6361447.13129775,0.6821024668577418,0.9807793860552321,Post-Fordist
1977,0.630403843120234,0.8225892699147828,4619806.517334361,10038791.324961554,6635115.398669738,0.6962661897727622,1.0066320183113884,Post-Fordist
1978,0.636152526475711,0.7487135331445174,4905061.256275679,10668585.517945834,6944381.1127345245,0.7063352625161708,0.9369329848922585,Post-Fordist
1979,0.649784944902043,0.5735247302604058,5037703.947050679,11363844.570747295,7200434.4633258125,0.6996388860574131,0.7647437764449526,Post-Fordist
1980,0.654602937898175,0.5116091992885838,5016122.845647811,11986488.520232731,7399646.842720805,0.6778867900408357,0.6946878828309654,Post-Fordist
1981,0.637119794842787,0.7362832671420882,5206837.962642411,12432088.032722099,7601208.251722467,0.6850013563912709,0.876511235891894,Post-Fordist
1982,0.637923812080797,0.7259509245583917,5084278.622959417,12561992.696221925,7658785.518219494,0.663849197874052,0.8411326339163903,Post-Fordist
1983,0.62949324210345,0.8342913096443798,5238209.534236204,12566898.881009562,7661280.968610377,0.6837250266238863,0.9593373058532594,Post-Fordist
1984,0.623632973944295,0.9096010112156865,5667134.755515862,12914438.126604158,7853763.019301802,0.7215820927608877,1.0868086683358422,Post-Fordist
1985,0.628950706261489,0.8412633817817277,5846606.611183252,13264044.136178238,8032242.654926704,0.7278921793525676,1.0299493592541862,Post-Fordist
1986,0.640257827171573,0.6959567374025237,5962860.521822986,13675906.15711716,8205012.226377102,0.7267338984156357,0.9039566323306782,Post-Fordist
1987,0.637971431188591,0.7253389763164915,6236467.87473181,14147994.908234227,8409493.634374097,0.7415985011558878,0.9459534659131186,Post-Fordist
1988,0.635130978444682,0.7618413415089442,6553020.153868527,14628817.54074278,8626357.678444955,0.759650874463835,0.9985137761174703,Post-Fordist
1989,0.640624353315478,0.6912465477378351,6626769.459704365,14998274.39422528,8776373.423396274,0.7550692227883739,0.938715746522855,Post-Fordist
1990,0.644643570706082,0.6395959996714051,6684763.566579546,15361611.627195844,8911770.730905455,0.7501049755911259,0.8964546643215021,Post-Fordist
1991,0.640968458828616,0.6868244832862302,6610464.760006524,15384487.897505105,8920883.639067886,0.7410100868322983,0.9170921148249568,Post-Fordist
1992,0.648208483525974,0.5937836727773913,6753747.8386145085,15713450.939304713,9033662.753735043,0.7476200985942402,0.8638136843091386,Post-Fordist
1993,0.64244868931149,0.6678021940505676,6906875.293765771,16188212.58877569,9215030.340153094,0.7495227946966286,0.9132522607755592,Post-Fordist
1994,0.628488369808008,0.84720481985104,7301344.779147093,16828300.87314719,9522804.281635892,0.7667221296595649,1.0568976704563577,Post-Fordist
1995,0.624660582765844,0.8963953162575127,7572797.711468651,17536368.61664435,9881202.390495216,0.7663842326266859,1.090703411964583,Post-Fordist
