term,estimate,se,t_stat,p_value
(Intercept),0.04407102543060976,0.05651322088130701,0.7798356693059628,0.4412176772792954
"L(g_Kn, 1)",0.9709113940156514,0.13943920029051995,6.962973052002369,6.90376272251816e-8
"L(g_Kn, 2)",-0.48160357322350417,0.1476389906482861,-3.2620351243853145,0.0026305378220087623
r,0.26646264303903133,0.13336634304553158,1.9979751784005981,0.05427818340043086
"L(r, 1)",-0.24559488747473895,0.12983909919488443,-1.8915325891633668,0.06763392841368727
"L(r, 2)",0.2600618225867495,0.08934855991310264,2.910643695205348,0.006516394935062976
mu,-0.06834845510088142,0.03674595613047563,-1.860026579746443,0.07209506817820807
pi,-0.040991810949389265,0.16233256048804076,-0.25251749141484886,0.802256107437337
"L(pi, 1)",0.21517750308235375,0.1738441542205052,1.2377609362085367,0.22480984213815478
"L(pi, 2)",-0.2542495216922583,0.11434225902411518,-2.223583160436214,0.0333596639986891
