year,ECT,sample,spec,lag,rank
1940,-4.2933946371607075,FULL,S1_A,1,1
1941,-4.282719902485095,FULL,S1_A,1,1
1942,-4.32522514712084,FULL,S1_A,1,1
1943,-4.4269360817170575,FULL,S1_A,1,1
1944,-4.367429105281172,FULL,S1_A,1,1
1945,-4.282391656963311,FULL,S1_A,1,1
1946,-4.252922085832072,FULL,S1_A,1,1
1947,-4.2336215575841205,FULL,S1_A,1,1
1948,-4.282842015145301,FULL,S1_A,1,1
1949,-4.273145852216219,FULL,S1_A,1,1
1950,-4.370669639016381,FULL,S1_A,1,1
1951,-4.250797349615286,FULL,S1_A,1,1
1952,-4.296172439474171,FULL,S1_A,1,1
1953,-4.356323074075707,FULL,S1_A,1,1
1954,-4.410483185314616,FULL,S1_A,1,1
1955,-4.30970370940865,FULL,S1_A,1,1
1956,-4.405179008482008,FULL,S1_A,1,1
1957,-4.354084648804976,FULL,S1_A,1,1
1958,-4.511894379783103,FULL,S1_A,1,1
1959,-4.537902483870125,FULL,S1_A,1,1
1960,-4.2987061526706185,FULL,S1_A,1,1
1961,-4.199259251693023,FULL,S1_A,1,1
1962,-4.385011530040648,FULL,S1_A,1,1
1963,-4.487279208669229,FULL,S1_A,1,1
1964,-4.481888932225196,FULL,S1_A,1,1
1965,-4.494267791396892,FULL,S1_A,1,1
1966,-4.286478899808936,FULL,S1_A,1,1
1967,-4.414173871444152,FULL,S1_A,1,1
1968,-4.376658944342573,FULL,S1_A,1,1
1969,-4.266416965336598,FULL,S1_A,1,1
1970,-4.338208849635473,FULL,S1_A,1,1
1971,-4.399291270411297,FULL,S1_A,1,1
1972,-4.335089815616204,FULL,S1_A,1,1
1973,-4.237590021366497,FULL,S1_A,1,1
1974,-4.241164613172675,FULL,S1_A,1,1
1975,-4.629847862789886,FULL,S1_A,1,1
1976,-4.600263508588327,FULL,S1_A,1,1
1977,-4.4157252316102635,FULL,S1_A,1,1
1978,-4.190003328706467,FULL,S1_A,1,1
1979,-4.09389298067663,FULL,S1_A,1,1
1980,-4.051705625293286,FULL,S1_A,1,1
1981,-3.9883608055062307,FULL,S1_A,1,1
1982,-4.4546605339416505,FULL,S1_A,1,1
1983,-4.59842658943343,FULL,S1_A,1,1
1984,-4.455641409875906,FULL,S1_A,1,1
1985,-4.576255033247449,FULL,S1_A,1,1
1986,-4.433534663810297,FULL,S1_A,1,1
1987,-4.3043335460982135,FULL,S1_A,1,1
1988,-4.2154958127163535,FULL,S1_A,1,1
1989,-4.033416344289252,FULL,S1_A,1,1
1990,-4.080388162023921,FULL,S1_A,1,1
1991,-4.056010220791494,FULL,S1_A,1,1
1992,-3.9197318645371286,FULL,S1_A,1,1
1993,-3.913187232127644,FULL,S1_A,1,1
1994,-3.971729254931393,FULL,S1_A,1,1
1995,-3.9267027355949295,FULL,S1_A,1,1
1996,-3.920152751098744,FULL,S1_A,1,1
1997,-3.9862654741895653,FULL,S1_A,1,1
1998,-4.070811620632696,FULL,S1_A,1,1
1999,-4.329476857240113,FULL,S1_A,1,1
2000,-4.30890796212751,FULL,S1_A,1,1
2001,-4.391021692166003,FULL,S1_A,1,1
2002,-4.475261000698236,FULL,S1_A,1,1
2003,-4.475026841571232,FULL,S1_A,1,1
2004,-4.403365871437938,FULL,S1_A,1,1
2005,-4.357906379714784,FULL,S1_A,1,1
2006,-4.386951171679872,FULL,S1_A,1,1
2007,-4.371257961689558,FULL,S1_A,1,1
2008,-4.38158103441112,FULL,S1_A,1,1
2009,-4.7005529390103185,FULL,S1_A,1,1
2010,-4.527658495668778,FULL,S1_A,1,1
1940,-3.9057226356787798,FULL,S1_A,2,1
1941,-3.895430867100597,FULL,S1_A,2,1
1942,-3.938572021271277,FULL,S1_A,2,1
1943,-4.040854628151807,FULL,S1_A,2,1
1944,-3.982061660553491,FULL,S1_A,2,1
1945,-3.8974864914618603,FULL,S1_A,2,1
1946,-3.8677518122584544,FULL,S1_A,2,1
1947,-3.847236656617154,FULL,S1_A,2,1
1948,-3.895475250219844,FULL,S1_A,2,1
1949,-3.884357431978094,FULL,S1_A,2,1
1950,-3.9807380880585015,FULL,S1_A,2,1
1951,-3.859300914977389,FULL,S1_A,2,1
1952,-3.903120138475975,FULL,S1_A,2,1
1953,-3.9621013470082467,FULL,S1_A,2,1
1954,-4.015439921570048,FULL,S1_A,2,1
1955,-3.9134221289543785,FULL,S1_A,2,1
1956,-4.007389059132294,FULL,S1_A,2,1
1957,-3.9541289027065947,FULL,S1_A,2,1
1958,-4.109999231934799,FULL,S1_A,2,1
1959,-4.135107318680609,FULL,S1_A,2,1
1960,-3.894623558440113,FULL,S1_A,2,1
1961,-3.7935483024966867,FULL,S1_A,2,1
1962,-3.9779732908364682,FULL,S1_A,2,1
1963,-4.079329282292306,FULL,S1_A,2,1
1964,-4.072950517874251,FULL,S1_A,2,1
1965,-4.084711465667018,FULL,S1_A,2,1
1966,-3.875974607245263,FULL,S1_A,2,1
1967,-4.002732909238148,FULL,S1_A,2,1
1968,-3.9640835843201465,FULL,S1_A,2,1
1969,-3.85285646722434,FULL,S1_A,2,1
1970,-3.923640895959105,FULL,S1_A,2,1
1971,-3.9840171275198273,FULL,S1_A,2,1
1972,-3.919633506552902,FULL,S1_A,2,1
1973,-3.821835132585935,FULL,S1_A,2,1
1974,-3.825149310218684,FULL,S1_A,2,1
1975,-4.213595878578348,FULL,S1_A,2,1
1976,-4.184021886700272,FULL,S1_A,2,1
1977,-3.998981727468383,FULL,S1_A,2,1
1978,-3.772379927321513,FULL,S1_A,2,1
1979,-3.6751292014654613,FULL,S1_A,2,1
1980,-3.6313771967003436,FULL,S1_A,2,1
1981,-3.5661551435001737,FULL,S1_A,2,1
1982,-4.032095521418315,FULL,S1_A,2,1
1983,-4.1760618814199475,FULL,S1_A,2,1
1984,-4.033342658180942,FULL,S1_A,2,1
1985,-4.1538595208854225,FULL,S1_A,2,1
1986,-4.011132657568195,FULL,S1_A,2,1
1987,-3.881428185061999,FULL,S1_A,2,1
1988,-3.791729466314818,FULL,S1_A,2,1
1989,-3.608033515304294,FULL,S1_A,2,1
1990,-3.6534984504790007,FULL,S1_A,2,1
1991,-3.6278586509557353,FULL,S1_A,2,1
1992,-3.489532305230055,FULL,S1_A,2,1
1993,-3.4805100675756044,FULL,S1_A,2,1
1994,-3.5366058480339433,FULL,S1_A,2,1
1995,-3.487847495907161,FULL,S1_A,2,1
1996,-3.477528922094084,FULL,S1_A,2,1
1997,-3.53972754083782,FULL,S1_A,2,1
1998,-3.6208617733780457,FULL,S1_A,2,1
1999,-3.877357993035769,FULL,S1_A,2,1
2000,-3.85437950755723,FULL,S1_A,2,1
2001,-3.9343137477408767,FULL,S1_A,2,1
2002,-4.016479229079412,FULL,S1_A,2,1
2003,-4.01419439530256,FULL,S1_A,2,1
2004,-3.940114377008886,FULL,S1_A,2,1
2005,-3.891345084189009,FULL,S1_A,2,1
2006,-3.917288047712546,FULL,S1_A,2,1
2007,-3.8984243195824284,FULL,S1_A,2,1
2008,-3.9050718058553215,FULL,S1_A,2,1
2009,-4.221619549476998,FULL,S1_A,2,1
2010,-4.046498418895933,FULL,S1_A,2,1
1940,-4.534230568316501,FULL,S1_B,1,1
1941,-4.5177703831691325,FULL,S1_B,1,1
1942,-4.730712910895616,FULL,S1_B,1,1
1943,-4.790386990737086,FULL,S1_B,1,1
1944,-4.689252768631532,FULL,S1_B,1,1
1945,-4.700441608552156,FULL,S1_B,1,1
1946,-4.706679500622162,FULL,S1_B,1,1
1947,-4.2317055377347685,FULL,S1_B,1,1
1948,-4.693113817996066,FULL,S1_B,1,1
1949,-4.60776645791053,FULL,S1_B,1,1
1950,-4.797692200615362,FULL,S1_B,1,1
1951,-4.711823799423425,FULL,S1_B,1,1
1952,-4.548045553871734,FULL,S1_B,1,1
1953,-4.9835725852382255,FULL,S1_B,1,1
1954,-5.016485160060963,FULL,S1_B,1,1
1955,-4.900006898128074,FULL,S1_B,1,1
1956,-4.865816513999914,FULL,S1_B,1,1
1957,-4.777503585141545,FULL,S1_B,1,1
1958,-5.072233033623809,FULL,S1_B,1,1
1959,-4.883657725103104,FULL,S1_B,1,1
1960,-4.541647012507985,FULL,S1_B,1,1
1961,-4.328195074828931,FULL,S1_B,1,1
1962,-4.642786972420793,FULL,S1_B,1,1
1963,-4.806677730845584,FULL,S1_B,1,1
1964,-4.533616977191744,FULL,S1_B,1,1
1965,-4.681229028202961,FULL,S1_B,1,1
1966,-4.703646119564484,FULL,S1_B,1,1
1967,-4.788802698118959,FULL,S1_B,1,1
1968,-4.803489093048969,FULL,S1_B,1,1
1969,-4.75133398598447,FULL,S1_B,1,1
1970,-4.79259753680361,FULL,S1_B,1,1
1971,-4.825625039496437,FULL,S1_B,1,1
1972,-4.5411049226840206,FULL,S1_B,1,1
1973,-4.6934652509674955,FULL,S1_B,1,1
1974,-4.860344739761738,FULL,S1_B,1,1
1975,-5.075090019315471,FULL,S1_B,1,1
1976,-5.099601034644348,FULL,S1_B,1,1
1977,-4.918381185527929,FULL,S1_B,1,1
1978,-4.77795117282697,FULL,S1_B,1,1
1979,-4.711269035569575,FULL,S1_B,1,1
1980,-4.611525577424055,FULL,S1_B,1,1
1981,-4.403582754868757,FULL,S1_B,1,1
1982,-4.768835657691779,FULL,S1_B,1,1
1983,-4.98846026878296,FULL,S1_B,1,1
1984,-4.8548188289180345,FULL,S1_B,1,1
1985,-5.08558503694839,FULL,S1_B,1,1
1986,-4.980039152810504,FULL,S1_B,1,1
1987,-4.889660509259805,FULL,S1_B,1,1
1988,-4.847392713791418,FULL,S1_B,1,1
1989,-4.654464945384868,FULL,S1_B,1,1
1990,-4.631152315859442,FULL,S1_B,1,1
1991,-4.6823727905862444,FULL,S1_B,1,1
1992,-4.570122627233058,FULL,S1_B,1,1
1993,-4.541681233745864,FULL,S1_B,1,1
1994,-4.58332667269719,FULL,S1_B,1,1
1995,-4.518199819222243,FULL,S1_B,1,1
1996,-4.455985197965699,FULL,S1_B,1,1
1997,-4.481138993828946,FULL,S1_B,1,1
1998,-4.515455401611206,FULL,S1_B,1,1
1999,-4.760834971418946,FULL,S1_B,1,1
2000,-4.707745378504191,FULL,S1_B,1,1
2001,-4.776044252627706,FULL,S1_B,1,1
2002,-4.824886166428394,FULL,S1_B,1,1
2003,-4.804902004965642,FULL,S1_B,1,1
2004,-4.742167010662895,FULL,S1_B,1,1
2005,-4.634103620225789,FULL,S1_B,1,1
2006,-4.669750279955293,FULL,S1_B,1,1
2007,-4.61307425242822,FULL,S1_B,1,1
2008,-4.491880954089455,FULL,S1_B,1,1
2009,-4.801325051512171,FULL,S1_B,1,1
2010,-4.5915570335810685,FULL,S1_B,1,1
1940,-4.325093659108409,FULL,S1_B,2,1
1941,-4.30899641881521,FULL,S1_B,2,1
1942,-4.517467420823289,FULL,S1_B,2,1
1943,-4.57862461840404,FULL,S1_B,2,1
1944,-4.479036264035047,FULL,S1_B,2,1
1945,-4.487754443502971,FULL,S1_B,2,1
1946,-4.492847613860648,FULL,S1_B,2,1
1947,-4.0300819383410635,FULL,S1_B,2,1
1948,-4.479361007729471,FULL,S1_B,2,1
1949,-4.395403682657242,FULL,S1_B,2,1
1950,-4.582128585982196,FULL,S1_B,2,1
1951,-4.494485043712113,FULL,S1_B,2,1
1952,-4.335789279967927,FULL,S1_B,2,1
1953,-4.760126659341209,FULL,S1_B,2,1
1954,-4.793209245322921,FULL,S1_B,2,1
1955,-4.676527071095518,FULL,S1_B,2,1
1956,-4.645203754780482,FULL,S1_B,2,1
1957,-4.556809299300113,FULL,S1_B,2,1
1958,-4.846667639460315,FULL,S1_B,2,1
1959,-4.663670176158347,FULL,S1_B,2,1
1960,-4.323885101196134,FULL,S1_B,2,1
1961,-4.112796238317054,FULL,S1_B,2,1
1962,-4.42306424759344,FULL,S1_B,2,1
1963,-4.584742414105533,FULL,S1_B,2,1
1964,-4.318709483779595,FULL,S1_B,2,1
1965,-4.462187723512206,FULL,S1_B,2,1
1966,-4.4776221032467225,FULL,S1_B,2,1
1967,-4.563488639746312,FULL,S1_B,2,1
1968,-4.576111730663368,FULL,S1_B,2,1
1969,-4.521805354400784,FULL,S1_B,2,1
1970,-4.563403435412076,FULL,S1_B,2,1
1971,-4.596853008955863,FULL,S1_B,2,1
1972,-4.318447064126331,FULL,S1_B,2,1
1973,-4.463609721187579,FULL,S1_B,2,1
1974,-4.625750851337379,FULL,S1_B,2,1
1975,-4.845274698035231,FULL,S1_B,2,1
1976,-4.868266548689508,FULL,S1_B,2,1
1977,-4.686691213462402,FULL,S1_B,2,1
1978,-4.5433981422740395,FULL,S1_B,2,1
1979,-4.475291395784611,FULL,S1_B,2,1
1980,-4.376353360169268,FULL,S1_B,2,1
1981,-4.171505911329096,FULL,S1_B,2,1
1982,-4.539419056835274,FULL,S1_B,2,1
1983,-4.757010292222064,FULL,S1_B,2,1
1984,-4.623145580316553,FULL,S1_B,2,1
1985,-4.850756845496971,FULL,S1_B,2,1
1986,-4.744159880820009,FULL,S1_B,2,1
1987,-4.652424369653234,FULL,S1_B,2,1
1988,-4.608394690304025,FULL,S1_B,2,1
1989,-4.414928920439788,FULL,S1_B,2,1
1990,-4.3928105892145215,FULL,S1_B,2,1
1991,-4.441241828760366,FULL,S1_B,2,1
1992,-4.327245507944626,FULL,S1_B,2,1
1993,-4.298128020626486,FULL,S1_B,2,1
1994,-4.338972815609708,FULL,S1_B,2,1
1995,-4.272464582433546,FULL,S1_B,2,1
1996,-4.2098517071319375,FULL,S1_B,2,1
1997,-4.234116843884182,FULL,S1_B,2,1
1998,-4.268067995951277,FULL,S1_B,2,1
1999,-4.51268985574049,FULL,S1_B,2,1
2000,-4.459259085180106,FULL,S1_B,2,1
2001,-4.526809697015862,FULL,S1_B,2,1
2002,-4.575566762375161,FULL,S1_B,2,1
2003,-4.555068845680566,FULL,S1_B,2,1
2004,-4.490819642779449,FULL,S1_B,2,1
2005,-4.382793037238992,FULL,S1_B,2,1
2006,-4.416634604626768,FULL,S1_B,2,1
2007,-4.359458713808957,FULL,S1_B,2,1
2008,-4.24005343970653,FULL,S1_B,2,1
2009,-4.548500744036634,FULL,S1_B,2,1
2010,-4.338609694055997,FULL,S1_B,2,1
1940,8.437679577564975,FULL,S1_C,1,1
1941,8.520138429295113,FULL,S1_C,1,1
1942,8.028192738234267,FULL,S1_C,1,1
1943,8.235020520606243,FULL,S1_C,1,1
1944,8.481826846484008,FULL,S1_C,1,1
1945,8.369682949270036,FULL,S1_C,1,1
1946,8.112017008088621,FULL,S1_C,1,1
1947,9.141900832867014,FULL,S1_C,1,1
1948,8.328024962206454,FULL,S1_C,1,1
1949,8.325872173384326,FULL,S1_C,1,1
1950,8.01277878684893,FULL,S1_C,1,1
1951,7.82673312405545,FULL,S1_C,1,1
1952,8.80617737697656,FULL,S1_C,1,1
1953,6.9352058942306485,FULL,S1_C,1,1
1954,6.821482208652755,FULL,S1_C,1,1
1955,6.885053431860066,FULL,S1_C,1,1
1956,7.655557593600393,FULL,S1_C,1,1
1957,7.969190641700066,FULL,S1_C,1,1
1958,7.042270910412083,FULL,S1_C,1,1
1959,8.185857740235175,FULL,S1_C,1,1
1960,8.756797769958112,FULL,S1_C,1,1
1961,9.33228594381454,FULL,S1_C,1,1
1962,8.590076310382507,FULL,S1_C,1,1
1963,8.176891420772932,FULL,S1_C,1,1
1964,9.270834888479776,FULL,S1_C,1,1
1965,8.92265339647387,FULL,S1_C,1,1
1966,8.388006644769337,FULL,S1_C,1,1
1967,8.508754059202168,FULL,S1_C,1,1
1968,8.210108579948947,FULL,S1_C,1,1
1969,7.989541273278869,FULL,S1_C,1,1
1970,8.015224009406207,FULL,S1_C,1,1
1971,8.443938757526993,FULL,S1_C,1,1
1972,9.661869871895771,FULL,S1_C,1,1
1973,8.459329618549983,FULL,S1_C,1,1
1974,7.107931709464017,FULL,S1_C,1,1
1975,7.606421923671241,FULL,S1_C,1,1
1976,7.571673478170231,FULL,S1_C,1,1
1977,7.934871848971223,FULL,S1_C,1,1
1978,7.648334456243059,FULL,S1_C,1,1
1979,7.625980077868347,FULL,S1_C,1,1
1980,8.003150652979928,FULL,S1_C,1,1
1981,8.798024435744601,FULL,S1_C,1,1
1982,8.921583649159547,FULL,S1_C,1,1
1983,8.449086556054315,FULL,S1_C,1,1
1984,8.54133698416911,FULL,S1_C,1,1
1985,7.673607605738089,FULL,S1_C,1,1
1986,7.781665066044518,FULL,S1_C,1,1
1987,7.642261946162276,FULL,S1_C,1,1
1988,7.469158457942829,FULL,S1_C,1,1
1989,7.687048193132177,FULL,S1_C,1,1
1990,8.112380055811188,FULL,S1_C,1,1
1991,7.8775750393974455,FULL,S1_C,1,1
1992,7.879955800086161,FULL,S1_C,1,1
1993,7.853012776249235,FULL,S1_C,1,1
1994,7.845083382587667,FULL,S1_C,1,1
1995,7.7807802494311336,FULL,S1_C,1,1
1996,8.000179905679124,FULL,S1_C,1,1
1997,7.96050475851351,FULL,S1_C,1,1
1998,8.010395189628342,FULL,S1_C,1,1
1999,7.972180593612103,FULL,S1_C,1,1
2000,8.047498644484374,FULL,S1_C,1,1
2001,7.936100074634484,FULL,S1_C,1,1
2002,7.967536655464423,FULL,S1_C,1,1
2003,7.997763308864075,FULL,S1_C,1,1
2004,7.8979947249756846,FULL,S1_C,1,1
2005,7.888061073523442,FULL,S1_C,1,1
2006,7.705425595675985,FULL,S1_C,1,1
2007,7.697430551743775,FULL,S1_C,1,1
2008,7.9437157307388295,FULL,S1_C,1,1
2009,7.805497800868553,FULL,S1_C,1,1
2010,7.868466674283793,FULL,S1_C,1,1
1940,5.916813519276033,FULL,S1_C,2,1
1941,5.984296278594149,FULL,S1_C,2,1
1942,5.585215810921568,FULL,S1_C,2,1
1943,5.727992914806775,FULL,S1_C,2,1
1944,5.935808201272219,FULL,S1_C,2,1
1945,5.864352336987239,FULL,S1_C,2,1
1946,5.6662147114441614,FULL,S1_C,2,1
1947,6.487223819031902,FULL,S1_C,2,1
1948,5.831956513088569,FULL,S1_C,2,1
1949,5.832678793227558,FULL,S1_C,2,1
1950,5.564556952637606,FULL,S1_C,2,1
1951,5.4423140482395915,FULL,S1_C,2,1
1952,6.210037345603968,FULL,S1_C,2,1
1953,4.714332249605148,FULL,S1_C,2,1
1954,4.613184594802974,FULL,S1_C,2,1
1955,4.684826977584283,FULL,S1_C,2,1
1956,5.276482919434734,FULL,S1_C,2,1
