sample,spec,statistic,p_value
FULL,S1_A,3.0691971968108676,0.21554219278751818
FULL,S1_B,0.5141996591060589,0.773291012615884
FULL,S1_C,1.1546876072207006,0.5613875434828608
FULL,S1_D,0.4626394754877694,0.7934857181376923
PRE1974,S1_A,0.8212776296744116,0.6632264358936428
PRE1974,S1_B,0.9779654690766926,0.6132499149454149
PRE1974,S1_C,0.986916750831702,0.6105113615201978
PRE1974,S1_D,0.7534755599342342,0.6860959584151036
ISI1931_1973,S1_A,0.8212776296744116,0.6632264358936428
ISI1931_1973,S1_B,0.9779654690766926,0.6132499149454149
ISI1931_1973,S1_C,0.986916750831702,0.6105113615201978
ISI1931_1973,S1_D,0.7534755599342342,0.6860959584151036
POST1974,S1_A,1.4782333068488287,0.47753555866557074
POST1974,S1_B,3.370557068713965,0.18539278650321045
POST1974,S1_C,0.15974860665045923,0.9232323863345678
POST1974,S1_D,2.6516759421427007,0.26558031719529196
