year,theta_hat
1920,0.9974595434240359
1921,1.0049016897540113
1922,1.0066024142530141
1923,1.0019452777108786
1924,0.9976889620046494
1925,0.9960127788492342
1926,1.001813509124735
1927,1.0040469604663125
1928,0.9973494548086536
1929,1.0045380166508648
1930,1.0105356405715706
1931,1.0074181931157455
1932,1.0034794128899929
1933,1.0074019619864993
1934,1.0090199379987619
1935,1.0111597925745208
1936,1.0103423231260924
1937,1.0112806470540077
1938,1.0127837311553567
1939,1.0142138275987673
1940,1.015655324057335
1941,1.0164014574986417
1942,1.0153524353633445
1943,1.0168052837436596
1944,1.0179536149807351
1945,1.0178442394399199
1946,1.0170344311012096
1947,1.0199184479909205
1948,1.0172187859825577
1949,1.0167645038194133
1950,1.0156401960349952
1951,1.0140190760310588
1952,1.0170241192732778
1953,1.0102747489063488
1954,1.009814340768727
1955,1.0091452591648082
1956,1.011695455746499
1957,1.0117616453834917
1958,1.0078773689751104
1959,1.0123019693705253
1960,1.013331573687802
1961,1.0147207753095226
1962,1.0120877118192138
1963,1.0110000753760024
1964,1.0155372925638908
1965,1.0143116069150941
1966,1.0111281204294462
1967,1.0120222457369725
1968,1.0103578550651349
1969,1.0088207010589338
1970,1.0091291320641154
1971,1.011182821742132
1972,1.0161347883194802
1973,1.0108781785075227
1974,1.0057016342315674
1975,1.0093130238688155
1976,1.0092145130040309
1977,1.009739615112984
1978,1.0073134386609877
1979,1.0062524175426197
1980,1.0068700713834524
1981,1.0092711141637036
1982,1.011889221043001
1983,1.0109094545980182
1984,1.0112559914269492
1985,1.0086650068239174
1986,1.0090720016925905
1987,1.0082689084928902
1988,1.0072512907394122
1989,1.0069627553922835
1990,1.0085017263743465
1991,1.0072351950488247
1992,1.0059067514841966
1993,1.004689172585467
1994,1.0038213947882906
1995,1.0004813248039837
1996,0.9986228579369428
1997,0.995664578393604
1998,0.9939962231726855
1999,0.9938788023761389
2000,0.9925527166293253
2001,0.9910158848863799
2002,0.9904847274403644
2003,0.9895099235680977
2004,0.9867489940755015
2005,0.9839140515005124
2006,0.9805329996063584
2007,0.9780186889627152
2008,0.9773479708673068
2009,0.9773592665173265
2010,0.9749317535485037
