year,theta_hat
1931,1.2546393188941563
1932,1.2582101737815787
1933,1.2619003896178034
1934,1.264283479558479
1935,1.2664314915385502
1936,1.2686323451754158
1937,1.2707060462928101
1938,1.2728483516911102
1939,1.274456453186829
1940,1.2759003252264958
1941,1.2773145448219403
1942,1.278687238519902
1943,1.2797658571212434
1944,1.2812512604998414
1945,1.28276041454326
1946,1.283072919287061
1947,1.2823610282117461
1948,1.2817276572729108
1949,1.280761060055866
1950,1.2797934171183865
1951,1.2784833757739913
1952,1.2771578551902574
1953,1.276505077360366
1954,1.2760694298053263
1955,1.275055949692665
1956,1.2737021018062469
1957,1.2716493677779444
1958,1.2699114489254522
1959,1.2693365345552763
1960,1.2686867754695972
1961,1.2672543876250768
1962,1.2666587758794314
1963,1.2674844435667827
1964,1.267755868757924
1965,1.2684404753699212
1966,1.2682675052157946
1967,1.2681045885753528
1968,1.2675994804757538
1969,1.26739332567932
1970,1.2673416228847325
1971,1.267509554607342
1972,1.2680830418067852
1973,1.2684395868370661
