year,theta_hat
1974,1.1787143526582682
1975,1.1872454268123003
1976,1.1868569549793893
1977,1.188255508006934
1978,1.1827631263197966
1979,1.1806816163041765
1980,1.1827577702584355
1981,1.1890501707348755
1982,1.1951737129090645
1983,1.1923728183680418
1984,1.1925872319605064
1985,1.1859352588739347
1986,1.1863781659289614
1987,1.1841936376705406
1988,1.181710173394906
1989,1.1812966169057535
1990,1.1851607496596377
1991,1.1822732826654763
1992,1.179673854588539
1993,1.177550092399331
1994,1.1762573076029084
1995,1.1704780713282648
1996,1.1682440906811717
1997,1.1635409375418235
1998,1.16135443505472
1999,1.1621066899707486
2000,1.1601858233419786
2001,1.1575042282637418
2002,1.1571492965909036
2003,1.155650627187241
2004,1.1502263125138825
2005,1.1452093195597752
2006,1.1387119319669783
2007,1.1342799022740158
2008,1.1344425837992946
2009,1.135374059754431
2010,1.13060203503117
