year,ECT_m_lag1,regime_code,theta_r1,theta_r2,theta_active
1941,-4.539080404716884,high_ect_side,1.1799053629388685,2.7126666364578647,2.7126666364578647
1942,-4.52743468514845,high_ect_side,1.1955375987812076,2.6850271968486426,2.6850271968486426
1943,-4.591963814125792,high_ect_side,1.1967818590193389,2.7086666255010807,2.7086666255010807
1944,-4.687840473239639,low_ect_side,1.2026277978584072,2.724241864364575,1.2026277978584072
1945,-4.6224743979599054,high_ect_side,1.2147533018193752,2.7146485182786386,2.7146485182786386
1946,-4.549814282433211,high_ect_side,1.2210801380504208,2.696982794352516,2.696982794352516
1947,-4.525178781634552,high_ect_side,1.2016293986847062,2.7579263245190915,2.7579263245190915
1948,-4.446728094392067,high_ect_side,1.2098503817935882,2.70726440302667,2.70726440302667
1949,-4.550602796109233,high_ect_side,1.2046259887446642,2.702964743362751,2.702964743362751
1950,-4.531760159246068,high_ect_side,1.2026416957889514,2.6853241768512834,2.6853241768512834
1951,-4.642045712139647,low_ect_side,1.2004350896165,2.6594700135827014,1.2004350896165
1952,-4.527501571280423,high_ect_side,1.175682944957406,2.725839096887846,2.725839096887846
1953,-4.546278120094304,high_ect_side,1.20338690148234,2.594607566757968,2.594607566757968
1954,-4.656353960330583,low_ect_side,1.2022716486857916,2.5875772409613695,1.2022716486857916
1955,-4.708178337117542,low_ect_side,1.1977283402670476,2.5792293974960616,1.1977283402670476
1956,-4.606021709370231,high_ect_side,1.1749635436792287,2.636677699806597,2.636677699806597
1957,-4.685307388535927,low_ect_side,1.1588709099492698,2.6480815380166876,1.1588709099492698
1958,-4.630522902898305,low_ect_side,1.1643480717932682,2.579250457234029,1.1643480717932682
1959,-4.807378390502852,low_ect_side,1.1384813598648476,2.670207430773604,1.1384813598648476
1960,-4.805712938742089,low_ect_side,1.1284977771787135,2.693908193678098,1.1284977771787135
1961,-4.553730028958953,high_ect_side,1.1107577793702423,2.7286168564590874,2.7286168564590874
1962,-4.440215694846197,high_ect_side,1.1189460227485286,2.6790959741537823,2.6790959741537823
1963,-4.643614971234391,low_ect_side,1.1305624899129174,2.6533750178540165,1.1305624899129174
1964,-4.754475960376282,low_ect_side,1.110652513447943,2.7424169643423366,1.110652513447943
1965,-4.714491704338654,low_ect_side,1.1218543984922544,2.7146393029326674,1.1218543984922544
1966,-4.7449651984091705,low_ect_side,1.1359582497418894,2.6520781968104377,1.1359582497418894
1967,-4.567921234938254,high_ect_side,1.1303719931943423,2.6706884543994467,2.6706884543994467
1968,-4.69054898116229,low_ect_side,1.1345596931557558,2.640017623458075,1.1345596931557558
1969,-4.660513453754526,low_ect_side,1.1404275245857616,2.6104123748355232,1.1404275245857616
1970,-4.558441110357246,high_ect_side,1.1385350720857113,2.6168099464316334,2.6168099464316334
1971,-4.6267815386643445,high_ect_side,1.1298695118492326,2.6568917145949125,2.6568917145949125
1972,-4.684570857310498,low_ect_side,1.1102697544351754,2.7527108517812637,1.1102697544351754
1973,-4.591546531820706,high_ect_side,1.1384920662601203,2.6462542108382254,2.6462542108382254
