swing_id,class_struggle_interval,class_struggle_mode,profit_period,overlap_start,overlap_end,overlap_years
1,1940_1942,joint_retreat,1940_1946,1940,1942,3
2,1942_1948,joint_advance,1940_1946,1942,1946,5
2,1942_1948,joint_advance,1946_1949,1946,1948,3
3,1948_1954,joint_retreat,1946_1949,1948,1949,2
3,1948_1954,joint_retreat,1949_1955,1949,1954,6
4,1954_1964,offensive_advance_with_price_headwind,1949_1955,1954,1955,2
4,1954_1964,offensive_advance_with_price_headwind,1955_1961,1955,1961,7
4,1954_1964,offensive_advance_with_price_headwind,1961_1969,1961,1964,4
5,1964_1969,joint_retreat,1961_1969,1964,1969,6
5,1964_1969,joint_retreat,1969_1972,1969,1969,1
6,1969_1972,offensive_advance_with_price_headwind,1961_1969,1969,1969,1
6,1969_1972,offensive_advance_with_price_headwind,1969_1972,1969,1972,4
6,1969_1972,offensive_advance_with_price_headwind,1972_1974,1972,1972,1
7,1972_1978,joint_retreat,1969_1972,1972,1972,1
7,1972_1978,joint_retreat,1972_1974,1972,1974,3
7,1972_1978,joint_retreat,1974_1976,1974,1976,3
7,1972_1978,joint_retreat,1976_1978,1976,1978,3
