swing_id,component_family,n_years,total_abs_motion,total_signed_contribution,total_offsetting_abs,total_reinforcing_abs,mean_share_total_motion,mean_share_offsetting,motion_rank,offsetting_rank,net_rank
1,distribution,6,0.340287403986992,0.007652156459967752,0.022645994048883678,0.3176414099381083,0.3208493978089037,0.0761738559144138,2,4,5
1,productive_capacity,6,0.04274207035236621,0.032710902044323475,0.0015895072456473258,0.04115256310671889,0.03989636492838414,0.010914358815723233,4,5,2
1,relative_prices,6,0.38144042661680444,0.010712110346379741,0.026108069876104492,0.35533235674069996,0.3068567324496814,0.15958080364467928,1,2,4
1,utilization_realization,6,0.1628878229734615,0.12989552148477113,0.0670031069901339,0.0958847159833276,0.14262321999148644,0.3759771936412518,3,1,1
1,wedge,6,0.024996130127904692,-0.0208512722922638,0.023948575815872175,0.001047554312032517,0.02310761815487762,0.21068712131726525,5,3,3
2,distribution,3,0.6179837797015795,0.024292885462300573,0,0.6179837797015795,0.43922763319860975,0,1,4,4
2,productive_capacity,3,0.13530050807966987,0.13530050807966987,0.06140415676230049,0.07389635131736938,0.10967755974050211,0.1181627467849591,4,2,1
2,relative_prices,3,0.22431928988651403,0.02623159458198879,0.2108588552290357,0.01346043465747836,0.1419230144402187,0.48073287027550243,3,1,3
2,utilization_realization,3,0.3366236068069989,-0.01798952357287209,0,0.3366236068069989,0.24705953812107476,0,2,4,5
2,wedge,3,0.07638424519367071,-0.07638424519367071,0.041795758023722485,0.03458848716994822,0.06211225449959464,0.4011043829395385,5,3,2
3,distribution,6,0.8829675815279958,0.3494199998424259,0.08213341604720736,0.8008341654807885,0.34451706333163606,0.10625886091585428,1,5,1
3,productive_capacity,6,0.3152780240244173,0.3152780240244173,0.114417560705105,0.2008604633193123,0.17600487411779803,0.105692042494767,3,4,2
3,relative_prices,6,0.5315097052708486,0.19904666273061325,0.19685912316920795,0.33465058210164067,0.2615752308715473,0.1901742110918833,2,1,3
3,utilization_realization,6,0.1828859705785835,-0.1560282284484256,0.15553719056942225,0.027348780009161244,0.10829167050847224,0.24005459516212502,5,2,5
3,wedge,6,0.1952304760636423,-0.1952304760636423,0.12035967049336982,0.07487080557027248,0.10961116117054626,0.3578202903353704,4,3,4
4,distribution,6,0.7629470664328896,-0.38606843840107097,0.08399893520136792,0.6789481312315216,0.3513784173729345,0.11201642904635663,1,3,1
4,productive_capacity,6,0.2965930189574575,0.2965930189574575,0.14635622422098038,0.1502367947364771,0.16404791680282707,0.447627271718815,3,1,2
4,relative_prices,6,0.4672802641615421,-0.1386997368321441,0.022371800063829682,0.4449084640977124,0.2661735905257855,0.04708896241396818,2,5,4
4,utilization_realization,6,0.19620770149464845,-0.08450986957466528,0.043106363912745305,0.15310133758190314,0.08811796004095762,0.09140289767684692,5,4,5
4,wedge,6,0.23564530911022175,-0.23564530911022175,0.11949992128637632,0.11614538782384543,0.13028211525749536,0.3018644391440133,4,2,3
5,distribution,8,1.1819490654843858,0.1646052311597238,0,1.1819490654843858,0.45713298650750256,0,1,5,3
5,productive_capacity,8,0.4389952664339525,0.4389952664339525,0.17342854931297325,0.26556671712097923,0.19507721710079953,0.375,2,2,1
5,relative_prices,8,0.2969125599632776,-0.11861576560780465,0.08335802084613153,0.21355453911714609,0.11693701136986752,0.1148265578397554,4,3,4
