method,signal_col,signal_idx,signal_year,idx,year,value,type,signal_prev,signal_curr,signal_strength
raw_dlog_rule,dlog_r,3,1942,2,1941,0.07936228796443776,trough,-0.032051380084403114,0.15213639420041725,0.18418777428482036
raw_dlog_rule,dlog_r,4,1943,3,1942,0.09240302229735055,peak,0.15213639420041725,-0.055552637075958256,0.2076890312763755
raw_dlog_rule,dlog_r,6,1945,5,1944,0.08398127112510734,trough,-0.04001323869546969,0.12488816935221347,0.16490140804768316
raw_dlog_rule,dlog_r,8,1947,7,1946,0.10985438859347624,peak,0.143673768275991,-0.44733634271722256,0.5910101109932135
raw_dlog_rule,dlog_r,9,1948,8,1947,0.07023307866463961,trough,-0.44733634271722256,0.36888219921666066,0.8162185419338832
raw_dlog_rule,dlog_r,10,1949,11,1950,0.10487277757639878,peak,0.36888219921666066,-0.0506549440737758,0.41953714329043645
raw_dlog_rule,dlog_r,14,1953,13,1952,0.08945488721964244,trough,-0.24477213279954046,0.4847722941651218,0.7295444269646623
raw_dlog_rule,dlog_r,13,1952,14,1953,0.14525731253742094,peak,0.0857586041947127,-0.24477213279954046,0.33053073699425317
raw_dlog_rule,dlog_r,16,1955,17,1956,0.11586697241954166,trough,-0.04436581428700026,0.015740526061076343,0.0601063403480766
raw_dlog_rule,dlog_r,20,1959,19,1958,0.1375017495783098,peak,0.17987938365647382,-0.3514262092849134,0.5313055929413872
raw_dlog_rule,dlog_r,23,1962,22,1961,0.0806699493415625,trough,-0.13414419556351476,0.17471113356067924,0.308855329124194
raw_dlog_rule,dlog_r,25,1964,24,1963,0.10577995614430469,peak,0.09628378650614122,-0.33873116317904284,0.43501494968518406
raw_dlog_rule,dlog_r,26,1965,25,1964,0.0753866261951969,trough,-0.33873116317904284,0.08427257561510038,0.4230037387941432
raw_dlog_rule,dlog_r,31,1970,30,1969,0.12022918546617364,peak,0.08006888320822858,-0.03875152652661651,0.11882040973484509
raw_dlog_rule,dlog_r,34,1973,33,1972,0.07463223801686555,trough,-0.3765983379651643,0.310613178088464,0.6872115160536283
raw_dlog_rule,dlog_r,36,1975,35,1974,0.1336485373820318,peak,0.27202776193281863,-0.32732262046530414,0.5993503823981228
raw_dlog_rule,dlog_r,37,1976,36,1975,0.09634070108935348,trough,-0.32732262046530414,0.04232805460970335,0.3696506750750075
