year,r_diag_t,ln_r_diag_t,r_struct_t,ln_r_struct_t,dln_r_diag,dln_r_diag_ma3,ln_pi_t,ln_mu_t,ln_p_t,ln_B_t,ln_nu_t,d_dist,d_util,d_price,d_capacity,d_wedge,d_r_struct,swing_id,swing_start,swing_end,swing_direction,swing_duration,gross_reinforcing_pct_t,gross_offsetting_pct_t,net_imbalance_idx_t,compensation_intensity_t,reinforcing_concentration_t,reversal_risk_raw_t,gross_reinforcing_pct_swing,gross_offsetting_pct_swing,net_imbalance_idx_swing,compensation_intensity_swing,reinforcing_concentration_swing,reversal_risk_raw_swing,momentum_contradiction_swing,reinforcing_main_component_swing,offsetting_main_component_swing,dist_share_t,util_share_t,price_share_t,capacity_share_t,wedge_share_t,share_sum_t,stagnation_transmission_t
1940,0.15,-1.9,0.2,-1.611,NA,NA,-0.934,-0.131,0.318,-0.526,-0.338,NA,NA,NA,NA,NA,NA,1,1940,1944,trough_to_peak,4,NA,NA,NA,NA,NA,NA,87.646,12.354,0.753,0.164,0.564,6.962,0.656,utilization,distribution,NA,NA,NA,NA,NA,NA,NA
1941,0.188,-1.674,0.24,-1.427,0.226,NA,-0.903,0.021,0.287,-0.534,-0.297,0.032,0.151,-0.031,-0.008,0.041,0.185,1,1940,1944,trough_to_peak,4,85.129,14.871,0.703,0.212,0.511,7.596,87.646,12.354,0.753,0.164,0.564,6.962,0.656,utilization,distribution,17.086,81.962,-16.938,-4.227,22.118,100,0.027
1942,0.224,-1.494,0.277,-1.285,0.18,0.18,-0.927,0.148,0.297,-0.539,-0.264,-0.025,0.127,0.011,-0.004,0.034,0.142,1,1940,1944,trough_to_peak,4,85.443,14.557,0.709,0.205,0.593,8.627,87.646,12.354,0.753,0.164,0.564,6.962,0.656,utilization,distribution,-17.412,89.417,7.472,-3.123,23.646,100,0.021
1943,0.257,-1.361,0.311,-1.167,0.134,0.101,-0.973,0.256,0.327,-0.542,-0.235,-0.045,0.109,0.029,-0.003,0.028,0.118,1,1940,1944,trough_to_peak,4,77.559,22.441,0.551,0.407,0.487,10.931,87.646,12.354,0.753,0.164,0.564,6.962,0.656,utilization,distribution,-38.304,91.953,24.834,-2.409,23.926,100,0.026
1944,0.254,-1.372,0.314,-1.16,-0.011,-0.038,-0.989,0.24,0.34,-0.546,-0.205,-0.016,-0.016,0.013,-0.005,0.031,0.007,2,1944,1958,peak_to_trough,14,54.324,45.676,0.086,5.281,0.581,26.528,68.861,31.139,0.377,0.826,0.35,10.913,11.557,utilization,wedge,-232.872,-230.379,187.813,-64.87,440.308,100,0.003
1945,0.2,-1.609,0.261,-1.345,-0.237,-0.177,-1.017,0.108,0.291,-0.553,-0.174,-0.029,-0.132,-0.049,-0.007,0.03,-0.185,2,1944,1958,peak_to_trough,14,87.638,12.362,0.753,0.164,0.443,5.481,68.861,31.139,0.377,0.826,0.35,10.913,11.557,utilization,wedge,15.446,71.202,26.251,3.523,-16.421,100,0.023
1946,0.151,-1.892,0.21,-1.562,-0.283,-0.139,-1.089,-0.021,0.253,-0.561,-0.144,-0.072,-0.129,-0.038,-0.009,0.031,-0.217,2,1944,1958,peak_to_trough,14,88.992,11.008,0.78,0.141,0.381,4.196,68.861,31.139,0.377,0.826,0.35,10.913,11.557,utilization,wedge,32.98,59.599,17.573,3.963,-14.116,100,0.024
1947,0.167,-1.788,0.225,-1.49,0.104,-0.017,-1.034,0.012,0.223,-0.571,-0.119,0.055,0.032,-0.03,-0.009,0.025,0.072,2,1944,1958,peak_to_trough,14,73.798,26.202,0.476,0.55,0.372,9.749,68.861,31.139,0.377,0.826,0.35,10.913,11.557,utilization,wedge,75.817,45.008,-42.071,-12.979,34.224,100,0.019
1948,0.19,-1.658,0.249,-1.39,0.129,0.056,-0.98,0.037,0.225,-0.58,-0.092,0.054,0.025,0.002,-0.009,0.027,0.1,2,1944,1958,peak_to_trough,14,92.229,7.771,0.845,0.092,0.366,2.844,68.861,31.139,0.377,0.826,0.35,10.913,11.557,utilization,wedge,54.531,25.144,2.055,-9.2,27.47,100,0.008
1949,0.178,-1.725,0.238,-1.434,-0.067,0.043,-0.975,-0.033,0.225,-0.587,-0.065,0.004,-0.07,0.001,-0.007,0.027,-0.044,2,1944,1958,peak_to_trough,14,70.401,29.599,0.408,0.725,0.831,24.582,68.861,31.139,0.377,0.826,0.35,10.913,11.557,utilization,wedge,-9.765,156.411,-1.742,16.13,-61.034,100,0.013
1950,0.191,-1.657,0.25,-1.386,0.067,0.017,-0.94,0.042,0.15,-0.593,-0.044,0.035,0.075,-0.076,-0.007,0.021,0.048,2,1944,1958,peak_to_trough,14,61.292,38.708,0.226,1.714,0.425,16.445,68.861,31.139,0.377,0.826,0.35,10.913,11.557,utilization,wedge,73.131,155.213,-157.755,-13.644,43.055,100,0.019
1951,0.2,-1.609,0.259,-1.352,0.049,0.012,-0.963,0.063,0.17,-0.601,-0.021,-0.022,0.021,0.02,-0.008,0.023,0.035,2,1944,1958,peak_to_trough,14,68.264,31.736,0.365,0.869,0.334,10.607,68.861,31.139,0.377,0.826,0.35,10.913,11.557,utilization,wedge,-64.817,61.807,58.621,-22.067,66.456,100,0.011
1952,0.185,-1.689,0.245,-1.406,-0.08,-0.017,-1.004,0.045,0.162,-0.609,0,-0.041,-0.018,-0.008,-0.008,0.021,-0.054,2,1944,1958,peak_to_trough,14,78.087,21.913,0.562,0.39,0.383,8.382,68.861,31.139,0.377,0.826,0.35,10.913,11.557,utilization,wedge,76.429,33.631,14.837,14.113,-39.009,100,0.012
1953,0.181,-1.709,0.242,-1.418,-0.02,-0.044,-1.033,0.053,0.158,-0.617,0.021,-0.029,0.008,-0.004,-0.008,0.021,-0.012,2,1944,1958,peak_to_trough,14,58.798,41.202,0.176,2.342,0.549,22.632,68.861,31.139,0.377,0.826,0.35,10.913,11.557,utilization,wedge,236.713,-65.748,32.053,65.393,-168.411,100,0.005
