year,swing_id,swing_start,swing_end,swing_direction,gross_reinforcing_pct_t,gross_offsetting_pct_t,net_imbalance_idx_t,compensation_intensity_t,reinforcing_concentration_t,reversal_risk_raw_t,gross_reinforcing_pct_swing,gross_offsetting_pct_swing,net_imbalance_idx_swing,compensation_intensity_swing,reinforcing_concentration_swing,reversal_risk_raw_swing,dist_share_t,util_share_t,price_share_t,capacity_share_t,wedge_share_t,share_sum_t
1940,1,1940,1944,trough_to_peak,NA,NA,NA,NA,NA,NA,87.6,12.4,0.753,0.164,0.564,6.96,NA,NA,NA,NA,NA,NA
1941,1,1940,1944,trough_to_peak,85.1,14.9,0.703,0.212,0.511,7.6,87.6,12.4,0.753,0.164,0.564,6.96,17.1,82,-16.9,-4.2,22.1,100
1942,1,1940,1944,trough_to_peak,85.4,14.6,0.709,0.205,0.593,8.63,87.6,12.4,0.753,0.164,0.564,6.96,-17.4,89.4,7.5,-3.1,23.6,100
1943,1,1940,1944,trough_to_peak,77.6,22.4,0.551,0.407,0.487,10.93,87.6,12.4,0.753,0.164,0.564,6.96,-38.3,92,24.8,-2.4,23.9,100
1944,2,1944,1958,peak_to_trough,54.3,45.7,0.086,5.281,0.581,26.53,68.9,31.1,0.377,0.826,0.35,10.91,-232.9,-230.4,187.8,-64.9,440.3,100
1945,2,1944,1958,peak_to_trough,87.6,12.4,0.753,0.164,0.443,5.48,68.9,31.1,0.377,0.826,0.35,10.91,15.4,71.2,26.3,3.5,-16.4,100
1946,2,1944,1958,peak_to_trough,89,11,0.78,0.141,0.381,4.2,68.9,31.1,0.377,0.826,0.35,10.91,33,59.6,17.6,4,-14.1,100
1947,2,1944,1958,peak_to_trough,73.8,26.2,0.476,0.55,0.372,9.75,68.9,31.1,0.377,0.826,0.35,10.91,75.8,45,-42.1,-13,34.2,100
1948,2,1944,1958,peak_to_trough,92.2,7.8,0.845,0.092,0.366,2.84,68.9,31.1,0.377,0.826,0.35,10.91,54.5,25.1,2.1,-9.2,27.5,100
1949,2,1944,1958,peak_to_trough,70.4,29.6,0.408,0.725,0.831,24.58,68.9,31.1,0.377,0.826,0.35,10.91,-9.8,156.4,-1.7,16.1,-61,100
1950,2,1944,1958,peak_to_trough,61.3,38.7,0.226,1.714,0.425,16.44,68.9,31.1,0.377,0.826,0.35,10.91,73.1,155.2,-157.8,-13.6,43.1,100
1951,2,1944,1958,peak_to_trough,68.3,31.7,0.365,0.869,0.334,10.61,68.9,31.1,0.377,0.826,0.35,10.91,-64.8,61.8,58.6,-22.1,66.5,100
1952,2,1944,1958,peak_to_trough,78.1,21.9,0.562,0.39,0.383,8.38,68.9,31.1,0.377,0.826,0.35,10.91,76.4,33.6,14.8,14.1,-39,100
1953,2,1944,1958,peak_to_trough,58.8,41.2,0.176,2.342,0.549,22.63,68.9,31.1,0.377,0.826,0.35,10.91,236.7,-65.7,32.1,65.4,-168.4,100
1954,2,1944,1958,peak_to_trough,69.3,30.7,0.386,0.797,0.826,25.39,68.9,31.1,0.377,0.826,0.35,10.91,-14,162.4,-15.8,17.3,-49.8,100
1955,2,1944,1958,peak_to_trough,70.9,29.1,0.419,0.694,0.406,11.79,68.9,31.1,0.377,0.826,0.35,10.91,67.5,81.8,-60.9,-8.6,20.2,100
1956,2,1944,1958,peak_to_trough,84.8,15.2,0.696,0.218,0.327,4.96,68.9,31.1,0.377,0.826,0.35,10.91,49.3,16.4,45,11.2,-21.8,100
1957,2,1944,1958,peak_to_trough,76.8,23.2,0.536,0.434,0.475,11.03,68.9,31.1,0.377,0.826,0.35,10.91,25.2,93.2,4.5,20.5,-43.4,100
1958,3,1958,1966,trough_to_peak,68.7,31.3,0.374,0.836,0.788,24.64,86.3,13.7,0.726,0.188,0.299,4.1,9.9,162.2,-45.8,11.5,-37.8,100
1959,3,1958,1966,trough_to_peak,92.6,7.4,0.852,0.087,0.426,3.16,86.3,13.7,0.726,0.188,0.299,4.1,31,61.8,-3.2,-5.5,15.9,100
1960,3,1958,1966,trough_to_peak,56.4,43.6,0.129,3.385,0.438,19.07,86.3,13.7,0.726,0.188,0.299,4.1,256.2,122.1,-193.5,60.1,-145,100
1961,3,1958,1966,trough_to_peak,58.8,41.2,0.176,2.34,0.347,14.31,86.3,13.7,0.726,0.188,0.299,4.1,87.8,-177.6,103.8,-56.4,142.4,100
1962,3,1958,1966,trough_to_peak,92.6,7.4,0.853,0.086,0.323,2.37,86.3,13.7,0.726,0.188,0.299,4.1,24.2,51.6,13.5,-8.6,19.4,100
1963,3,1958,1966,trough_to_peak,89.9,10.1,0.798,0.126,0.264,2.66,86.3,13.7,0.726,0.188,0.299,4.1,37.7,28.3,18.9,-12.6,27.7,100
1964,3,1958,1966,trough_to_peak,82.2,17.8,0.643,0.278,0.375,6.7,86.3,13.7,0.726,0.188,0.299,4.1,25.5,62.2,-4.8,-23,40.1,100
1965,3,1958,1966,trough_to_peak,85.8,14.2,0.717,0.198,0.38,5.38,86.3,13.7,0.726,0.188,0.299,4.1,39.2,58.6,-1.4,-18.3,21.9,100
1966,4,1966,1976,peak_to_trough,62.6,37.4,0.253,1.478,0.55,20.53,80.1,19.9,0.602,0.331,0.301,5.98,167.2,-85.4,4.7,75.9,-62.4,100
1967,4,1966,1976,peak_to_trough,87.3,12.7,0.745,0.171,0.335,4.28,80.1,19.9,0.602,0.331,0.301,5.98,41.3,50.7,10,15.1,-17.1,100
1968,4,1966,1976,peak_to_trough,55.9,44.1,0.117,3.756,0.447,19.73,80.1,19.9,0.602,0.331,0.301,5.98,28,213.6,-168.1,-207.5,234,100
1969,4,1966,1976,peak_to_trough,87.9,12.1,0.758,0.159,0.452,5.47,80.1,19.9,0.602,0.331,0.301,5.98,71.7,26.6,2.6,15,-15.9,100
1970,4,1966,1976,peak_to_trough,91.4,8.6,0.828,0.104,0.439,3.78,80.1,19.9,0.602,0.331,0.301,5.98,34.7,63.8,4.5,7.4,-10.4,100
1971,4,1966,1976,peak_to_trough,66.9,33.1,0.338,0.98,0.655,21.68,80.1,19.9,0.602,0.331,0.301,5.98,154.1,-43.8,-28.1,-26.1,43.9,100
1972,4,1966,1976,peak_to_trough,79.7,20.3,0.594,0.342,0.593,12.04,80.1,19.9,0.602,0.331,0.301,5.98,-4.3,96.1,-1.4,-28.5,38.1,100
1973,4,1966,1976,peak_to_trough,60.4,39.6,0.207,1.911,0.447,17.71,80.1,19.9,0.602,0.331,0.301,5.98,58.4,-149.1,177.1,55.6,-42,100
1974,4,1966,1976,peak_to_trough,98.8,1.2,0.975,0.013,0.351,0.43,80.1,19.9,0.602,0.331,0.301,5.98,19.1,30,48.2,4,-1.3,100
1975,4,1966,1976,peak_to_trough,64.5,35.5,0.289,1.228,0.574,20.39,80.1,19.9,0.602,0.331,0.301,5.98,163.4,-109.3,31.9,-13.5,27.4,100
1976,5,1976,1978,trough_to_peak,75.2,24.8,0.504,0.492,0.548,13.6,52.5,47.5,0.05,9.539,0.726,34.51,20.2,106.2,-36,-13.3,22.9,100
1977,5,1976,1978,trough_to_peak,67.5,32.5,0.35,0.929,0.668,21.72,52.5,47.5,0.05,9.539,0.726,34.51,5,153.9,-63.6,-29.4,34,100
1978,5,1976,1978,trough_to_peak,60.1,39.9,0.203,1.968,0.378,15.07,52.5,47.5,0.05,9.539,0.726,34.51,120.3,-169.3,128.6,47.9,-27.5,100
