run_id,stage_tag,det_tag,criterion,rank,cell_id,p,q_tag,best_BIC,best_AIC,n_cells,alpha_lnY,alpha_lnK,alpha_e,beta_lnY,beta_lnK,beta_e
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_const__LR_none,BIC,0,p03_Y_only_r0_const_none,3,Y_only,-891.451938449432,-928.226861270454,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_const__LR_none,AIC,0,p03_Y_only_r0_const_none,3,Y_only,-891.451938449432,-928.226861270454,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_const__LR_none,HQ,0,p03_Y_only_r0_const_none,3,Y_only,-891.451938449432,-928.226861270454,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_const__LR_none,ICOMP,2,p07_sym_r2_const_none,7,sym,-850.031631722892,-908.107801416977,49,0.156547617158184,0.13977889480028,0.0302039424032949,1,0,80.582777773796
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_const__LR_none,RICOMP,2,p07_sym_r2_const_none,7,sym,-850.031631722892,-908.107801416977,49,0.156547617158184,0.13977889480028,0.0302039424032949,1,0,80.582777773796
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_const__LR_trend,BIC,0,p03_Y_only_r0_const_trend,3,Y_only,-891.451938449432,-928.226861270454,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_const__LR_trend,AIC,0,p03_Y_only_r0_const_trend,3,Y_only,-891.451938449432,-928.226861270454,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_const__LR_trend,HQ,0,p03_Y_only_r0_const_trend,3,Y_only,-891.451938449432,-928.226861270454,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_const__LR_trend,ICOMP,2,p07_sym_r2_const_trend,7,sym,-839.847909942632,-904.059601985467,49,0.194105154929155,0.200767057417108,-0.0537598886933557,1,0,2.45519257694167
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_const__LR_trend,RICOMP,2,p07_sym_r2_const_trend,7,sym,-839.847909942632,-904.059601985467,49,0.194105154929155,0.200767057417108,-0.0537598886933557,1,0,2.45519257694167
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_none__LR_both,BIC,0,p03_Y_only_r0_none_both,3,Y_only,-889.082033737249,-919.727802754767,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_none__LR_both,AIC,0,p03_Y_only_r0_none_both,3,Y_only,-889.082033737249,-919.727802754767,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_none__LR_both,HQ,0,p03_Y_only_r0_none_both,3,Y_only,-889.082033737249,-919.727802754767,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_none__LR_both,ICOMP,2,p07_sym_r2_none_both,7,sym,-839.450520372832,-897.043123584933,49,0.194691807547794,0.184215684489733,-0.055411083183389,1,-5.55111512312578e-17,2.45289047462599
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_none__LR_both,RICOMP,2,p07_sym_r2_none_both,7,sym,-839.450520372832,-897.043123584933,49,0.194691807547794,0.184215684489733,-0.055411083183389,1,-5.55111512312578e-17,2.45289047462599
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_none__LR_const,BIC,0,p03_Y_only_r0_none_const,3,Y_only,-889.082033737249,-919.727802754767,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_none__LR_const,AIC,0,p03_Y_only_r0_none_const,3,Y_only,-889.082033737249,-919.727802754767,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_none__LR_const,HQ,0,p03_Y_only_r0_none_const,3,Y_only,-889.082033737249,-919.727802754767,49,NA,NA,NA,NA,NA,NA
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_none__LR_const,ICOMP,2,p07_sym_r2_none_const,7,sym,-847.463213512792,-901.072424305356,49,0.152724118581174,0.134269486208831,0.0164728397783493,1,0,41.7159112513797
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_none__LR_const,RICOMP,2,p07_sym_r2_none_const,7,sym,-847.463213512792,-901.072424305356,49,0.152724118581174,0.134269486208831,0.0164728397783493,1,0,41.7159112513797
stage4_20260304_101833,S2_VECM_lnY_lnK_e,SR_none__LR_none,BIC,0,p03_Y_only_r0_none_none,3,Y_only,-889.082033737249,-919.727802754767,49,NA,NA,NA,NA,NA,NA
