year,analysis_window_flag,price_base_year_used,price_base_rule,pY,pC,pG,pK,pX,pM,pTI,wp,pCPI,X_FOB,M_CIF,GDP_real,C_real,G_real,FBKF_ME,FBKF_NR,I_total,I_ME,I_NR,Kg_ME,Kg_NR,Kg_total,Kn_ME,Kn_NR,Kn_total,omega,pi,exploitation_rate
1940,TRUE,NA,NA,4.12723683574689e-7,3.489514062261055e-7,1.8284934859325731e-7,4.106141485425522e-7,5.674360873623183e-7,4.852035545905777e-7,99.43702805722087,26.632912134583876,4.566974271814347e-7,771963.9059361276,582012.7645909144,4894315.689626395,NA,NA,85435.38731761066,596470,690555.4889645526,730438.220049483,1655410.8441747387,11258168.72890853,38817616.407198064,50075785.136106595,6512977.92798287,23443910.374054376,29956888.302037247,0.6074707800874707,0.3925292199125293,0.6461697134733104
1941,TRUE,NA,NA,4.309575664330651e-7,3.48434543725939e-7,2.780766577582533e-7,4.011077679262411e-7,6.818119769227775e-7,6.023355506771599e-7,96.07857949154386,26.640788946837223,5.623996711341254e-7,859455.0208712626,578138.0746753257,4902179.7360683745,NA,NA,81536.57192469586,590749,680813.6443539177,704247.313956615,1629967.4335876754,11079033.674960377,39229676.01874825,50308709.69370863,6409346.273440642,23703474.566572443,30112820.840013087,0.6162600974278495,0.3837399025721505,0.6226914644868403
1942,TRUE,NA,NA,5.662248515998676e-7,4.6665579054716666e-7,3.6523215074470095e-7,5.409462068765662e-7,7.397678937373978e-7,7.431828596097205e-7,82.64998076962561,25.05668123677492,7.059210098278983e-7,879238.9435260267,538340.2364646503,5063603.332230072,NA,NA,67028.2419176009,467716,541527.5759896482,572969.3462776177,1198691.2170039276,10787856.405631777,39202254.4051981,49990110.81082988,6240896.930218607,23697061.46015685,29937958.390375458,0.5675648436860874,0.4324351563139126,0.7619132177134755
1943,TRUE,NA,NA,7.014720372603225e-7,5.863211380452305e-7,4.690163303586822e-7,6.767477131398997e-7,7.519550132684068e-7,8.83441284016628e-7,73.799488594954,28.016468898559665,7.611623819186857e-7,842325.7344371426,473842.0720374444,5208526.473803688,NA,NA,67266.70795273315,506838,581387.3371446126,588913.930898227,1142510.6021837364,10532630.768995756,39111272.361368835,49643903.13036459,6093246.01308522,23650312.317506477,29743558.330591697,0.6030991976573497,0.39690080234265035,0.6581020234885957
1944,TRUE,NA,NA,7.290678576445457e-7,5.875161317141402e-7,4.6645261384224033e-7,8.16765049704976e-7,8.109812591965427e-7,1.0223443844129144e-6,70.3214567318634,27.875943521341075,8.753632962279091e-7,903555.6264630908,486883.67046351905,5307107.913129927,NA,NA,52088.1369046341,593541,653819.06730307406,513271.2560413283,1254168.1125064278,10222322.207000311,39125434.93638047,49347757.143380776,5913729.000700173,23670131.62584511,29583860.62654528,0.6254367210587357,0.3745632789412643,0.5988827747549036
1945,TRUE,NA,NA,8.290812509467699e-7,7.09111469295913e-7,4.6501148923017565e-7,8.160549480297646e-7,8.113513076100568e-7,1.0337821219057825e-6,68.85849719329754,30.196829377613238,9.428215120858387e-7,955760.7035231846,519109.13972343673,5765048.188974463,NA,NA,64565.38731761066,617340,690555.4889645526,606781.560706294,1714287.046530841,10026308.138008635,39593985.937500626,49620294.075509265,5800332.645070968,23965005.65500107,29765338.300072037,0.6044555633395453,0.3955444366604547,0.6543813319793412
1946,TRUE,NA,NA,9.738731882834545e-7,8.290214332255965e-7,5.584688620342361e-7,9.457556083191429e-7,9.268994331173263e-7,1.2067933763171829e-6,69.42077975372064,27.222548558822012,1.226464716078034e-6,919567.6847642914,541096.3116515432,6258938.391410903,NA,NA,97988.8837273088,846442,956411.1720410414,894048.6036208135,1946587.641519862,10138254.005651517,40289789.80026323,50428043.80591475,5865094.5954950005,24388456.22607037,30253550.82156537,0.5719435501825137,0.42805644981748625,0.7484242976092458
1947,TRUE,NA,NA,1.2425054014417376e-6,1.0701617488200502e-6,7.379029446860255e-7,1.0789819026779192e-6,1.3311344058169646e-6,1.6649612005061829e-6,73.79948859495401,27.63501520945694,1.5095767533781311e-6,832615.9424691773,582855.646741784,5585719.844217188,NA,NA,166934.85797132712,871124,1051226.8352361529,1291485.6375764462,2770459.173113267,10667345.076974325,41804385.204413086,52471730.28138741,6171179.763731091,25299978.32029935,31471158.084030442,0.6818860563830722,0.3181139436169278,0.46652067546929965
1948,TRUE,NA,NA,1.4112576125052057e-6,1.19412262890785e-6,8.280198415982925e-7,1.3531201743294873e-6,1.5601440462546389e-6,1.762662541211703e-6,78.73854263283162,28.7391287066692,1.7634745996320977e-6,922501.7055220734,580107.239655693,6512764.533265854,NA,NA,159160.3024981656,762653,933506.6824221439,1193184.8631802665,2407897.2481705695,11115160.173855286,42949739.953706294,54064900.127561584,6430245.8616048945,25987572.481264617,32417818.342869513,0.5947289826246759,0.4052710173753241,0.6814381495026017
1949,TRUE,NA,NA,1.6870213544282428e-6,1.438262368186682e-6,1.0136965242647459e-6,1.4817948791355559e-6,1.7379122704068091e-6,2.0120915984761773e-6,78.03047431327373,28.718058907581767,2.126792863249365e-6,723684.7085203483,624738.0881728947,6372124.488415103,NA,NA,194642.2731350009,859572,1067587.1849639367,1414656.179243805,3009849.5373457843,11797081.695291078,44687143.0495448,56484224.744835876,6824745.17358655,27030498.693628725,33855243.867215276,0.5904415851407467,0.40955841485925326,0.6936476446888893
