block,variable
identifiers,year
identifiers,analysis_window_flag
identifiers,price_base_year_used
identifiers,price_base_rule
deflators,pY
deflators,pC
deflators,pG
deflators,pK
deflators,pX
deflators,pM
deflators,pTI
deflators,wp
deflators,pCPI
external_trade,X_FOB
external_trade,M_CIF
aggregate_demand,GDP_real
aggregate_demand,C_real
aggregate_demand,G_real
aggregate_demand,FBKF_ME
aggregate_demand,FBKF_NR
aggregate_demand,I_total
aggregate_demand,I_ME
aggregate_demand,I_NR
capital_stocks,Kg_ME
capital_stocks,Kg_NR
capital_stocks,Kg_total
capital_stocks,Kn_ME
capital_stocks,Kn_NR
capital_stocks,Kn_total
distribution,omega
distribution,pi
distribution,exploitation_rate
