year,Y,K,omega,theta,g_K,g_Yp,Y_star,mu,mu_ect,period
1929,726233.5497835497,536556.7880373431,0.632503689129365,0.7955583413674425,NA,NA,688624.4577186671,1.0546148073065502,1.5764193034464873,Pre-Fordist
1930,671248.1792597848,605097.0677973434,0.636138668552111,0.7488455843036768,0.12774096104666197,0.09002358188696435,753492.9413420733,0.8908486628477243,1.0997981960637206,Pre-Fordist
1931,585743.9657308555,664972.5887564642,0.663881911320595,0.39231994581016494,0.09895192712977101,0.037018106484230914,781908.523967672,0.7491208341847838,0.22421728700434393,Pre-Fordist
1932,481512.4758208955,745439.762026317,0.677734147194899,0.21430624781307372,0.12100825602500527,0.024479883143788735,801285.7618582835,0.6009247870624917,0.09015009357977942,Pre-Fordist
1933,480916.4458090267,810747.1075329127,0.664517937219731,0.38414644058295977,0.0876091521185721,0.03226132825483108,827557.8118536533,0.5811273108906049,0.16526837151698975,Pre-Fordist
1934,574730.7745597438,820702.4665574834,0.622061999745903,0.9297434474653752,0.012279240878039801,0.011347019062505194,837001.6042385735,0.6866543285572082,1.4557174027750146,Pre-Fordist
1935,624832.4968625214,842783.6924515662,0.616558357905585,1.0004701983911177,0.02690527541205604,0.026562176052397506,859532.0929282865,0.7269449296928732,1.9978322886825959,Pre-Fordist
1936,710187.227279132,963816.92733748106,0.61320426040215,1.0435733699980103,0.14361126819367173,0.1400381902869454,988735.0051248578,0.7182786323919516,2.309658831931484,Pre-Fordist
1937,775257.5557957309,1011865.051912936,0.629079145811021,0.8395668050971512,0.049851920227409426,0.040844191176732124,1029955.1583121737,0.7527100083329595,1.1830273521138355,Pre-Fordist
1938,702013.0147426982,1074719.9973723202,0.633989364345709,0.7764660777297294,0.062117913194606855,0.046793686268426025,1079295.97324051,0.6504360547505367,0.8217600466817038,Pre-Fordist
1939,782920.8713483146,1141692.2933454367,0.630537992484756,0.8208193123776493,0.06231604151487191,0.04961973356864971,1134201.2804148428,0.690283889524402,1.0140528270309324,Pre-Fordist
1940,889189.6438584316,1248298.6622853943,0.607110693449235,1.1218811895532266,0.09337574542749599,0.10015024911755574,1253674.6197139448,0.7092666868069173,2.8476680643731216,Pre-Fordist
1941,1087303.5673426937,1364252.0485110588,0.594511097780444,1.2837973335332933,0.09288913761501291,0.11403300878782675,1405104.8740009174,0.7738237817414216,5.258726218561236,Pre-Fordist
1942,1269278.7962427745,1394200.5526775757,0.604405412159509,1.1566464888793657,0.0219523248648977,0.02511639556299066,1440842.971204689,0.8809279162333216,4.004971193903828,Pre-Fordist
1943,1439901.3060002301,1381793.9365056546,0.621900080256822,0.9318242586276071,-0.008898731354032324,-0.00832916847274002,1428891.7881560372,1.007704934646171,2.261670369341853,Pre-Fordist
1944,1456657.8663667042,1408331.4275596968,0.627959009724536,0.8539615619309604,0.019205100234519407,0.01624491931343164,1452293.5854797133,1.00300509547837,1.7616709157983488,Pre-Fordist
1945,1328216.5052631581,1547922.650987314,0.638440192180252,0.719268934310799,0.09911816259720596,0.06797680361506293,1554448.6136171252,0.854461507204451,0.9845547570261988,Fordist
1946,1227613.1495726495,1706146.1737522031,0.663415069811751,0.3983192793561692,0.10221668548100196,0.03876575496371123,1615891.227954631,0.7597127382927515,0.330472299660624,Fordist
1947,1341561.4657798004,1878073.594962127,0.644483720777999,0.641604152654013,0.10076945566265079,0.06160005566264448,1718559.9539332287,0.7806311689675995,0.6939625650437201,Fordist
1948,1455627.9562443027,2001447.6252173283,0.624581372598025,0.8973672388800402,0.06569179748128519,0.057094239817105555,1819534.9453053777,0.8000000000000003,1.471096178090569,Fordist
1949,1419119.006143118,2105334.1849796236,0.622946489496739,0.9183769581263572,0.05190570987387929,0.04647307086056804,1906089.983445915,0.7445183692626993,1.4513628630402153,Fordist
1950,1592827.605412054,2381470.8588216375,0.609475288313768,1.0914940174085999,0.13116049499984078,0.1345201896006936,2180543.601800791,0.7304727151966259,2.283370182018134,Fordist
1951,1706080.1075038286,2465421.166746065,0.618138626346099,0.9801623266889177,0.035251452947010466,0.03395708368087194,2255860.0294361887,0.756288105308658,1.7690364233884897,Fordist
1952,1754849.685684179,2623014.645115372,0.63357057934292,0.7818478419220689,0.0639215240361156,0.048444568725758204,2367834.5766480495,0.741120052469365,1.041396942015684,Fordist
1953,1856589.9757566743,2785914.799978312,0.644071883964771,0.6468966263571243,0.06210417283269695,0.038976821475399145,2461947.4379943144,0.7541143840459854,0.7554208635177111,Fordist
1954,1812883.7453580904,2908037.5957202096,0.642039314043351,0.6730169791603,0.0438357970397545,0.028873905382981742,2534069.690282777,0.7154040602394761,0.7639544272981158,Fordist
