term,estimate,se,t_stat,p_value
(Intercept),-0.058035872486833714,0.0554995292532039,-1.0457002657096122,0.3103411724688011
"L(g_K, 1)",0.9306003436624217,0.15742282184509587,5.9114703494397585,1.708144971427096e-5
"L(g_K, 2)",-0.38470921731588303,0.11284174561637048,-3.4092809820913605,0.0033400061423483093
r,0.12280773689205098,0.31349455091765577,0.3917380271286066,0.700118857029224
"L(r, 1)",-0.408082586110826,0.4242833414886419,-0.9618161879253286,0.3496241625735157
"L(r, 2)",0.33936550905256924,0.2972070427914532,1.1418488130871722,0.2693457724310766
mu,0.14501799632893705,0.09062452250252734,1.6002070115723124,0.1279709106343127
"L(mu, 1)",-0.05969082353400284,0.12966953885715107,-0.4603303448141397,0.6511125905922381
"L(mu, 2)",-0.02038056070490638,0.09032175761126367,-0.22564397819429502,0.8241687320343176
pi,-0.24462427447956112,0.29145941515387735,-0.839308190989166,0.4129439910830972
"L(pi, 1)",0.6581632164571798,0.33726793971860825,1.9514550271404485,0.06767976421703213
"L(pi, 2)",-0.3488407380147441,0.20365378001771933,-1.71291069571305,0.10490584413742991
