term,estimate,se,t_stat,p_value
(Intercept),-0.08163485519960073,0.0794793478717799,-1.0271203449139794,0.3150453832371815
"L(g_K, 1)",0.7568109549900011,0.1676441464172023,4.514389384682644,1.5616365125936397e-4
"L(g_K, 2)",-0.39358471975562165,0.1620368447882851,-2.4289828666429143,0.023364239416768934
r,-1.0456357352843615,0.5585150334116997,-1.8721711551738827,0.07395296383377903
"L(r, 1)",0.8554684673494373,0.7819163355927676,1.0940664984328663,0.2852519569506412
"L(r, 2)",0.20565993718346884,0.4996564037617972,0.41160272466259384,0.6844411044108133
mu,0.32111525676986,0.17658201817592253,1.8185048516658364,0.08203424638461314
"L(mu, 1)",-0.31985137548193454,0.23926092252666256,-1.336830820947333,0.1943515343050955
"L(mu, 2)",0.01113983075894571,0.14857459710315926,0.0749780310776211,0.940880523799188
pi,1.0150906971881215,0.47976537995622565,2.115806474574592,0.04539929404987154
"L(pi, 1)",-0.47146916420934115,0.592424521283905,-0.7958299281528238,0.4342682247908818
"L(pi, 2)",-0.2644271581217186,0.33591667502712497,-0.7871808033952655,0.43921290581130157
