term,estimate,se,t_stat,p_value
(Intercept),-0.09149056944520481,0.07397969206556908,-1.236698435620895,0.22612119490805987
"L(g_Kn, 1)",1.00881929397198,0.12929313299070896,7.802574434053462,1.323690902368115e-8
"L(g_Kn, 2)",-0.5105525298028262,0.12506066361545173,-4.082438994348543,3.1968151451865147e-4
mu,-0.008034855187615802,0.022598722920292014,-0.3555446569240019,0.7247548077277735
B_real,0.2514191727233978,0.16074344043559105,1.564102224277948,0.12864169841309844
"L(B_real, 1)",-0.27214818493590737,0.15116152395752588,-1.8003800028661852,0.08221123576437257
"L(B_real, 2)",-0.020747932623008725,0.0903062879492646,-0.22975069725670952,0.8198983310851413
"L(B_real, 3)",0.14304865571722483,0.06163307388478771,2.320972275123408,0.02752155501419762
PyPK,-0.012613048214315263,0.06389327739547727,-0.19740806432959856,0.8448853675839925
"L(PyPK, 1)",3.469656752023257e-5,0.043941426088939875,7.89609500838794e-4,0.999375389611652
"L(PyPK, 2)",0.051331801644230866,0.03232264742701161,1.5881063505130324,0.12310695261979558
pi,-0.1991119919044958,0.2106584631644268,-0.9451886665910092,0.3523717349260588
"L(pi, 1)",0.22141263941827113,0.1762847645702675,1.2559941862134976,0.21914298642314603
