original_variable_name,sanitized_file_stem,source_sheet,entities_available,min_year,max_year,missingness_share,png_path,pdf_path,plotted_yes_no
Data series on GDP (current millions dollars MER),A1_data_series_on_gdp_current_millions_dollars_mer,A1,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/A1_data_series_on_gdp_current_millions_dollars_mer.png,figures/pdf/A1_data_series_on_gdp_current_millions_dollars_mer.pdf,yes
Data series on net trade balance (goods) (% GDP),B1a_data_series_on_net_trade_balance_goods_gdp,B1a,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/B1a_data_series_on_net_trade_balance_goods_gdp.png,figures/pdf/B1a_data_series_on_net_trade_balance_goods_gdp.pdf,yes
Data series on exports in goods (% GDP),B1b_data_series_on_exports_in_goods_gdp,B1b,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/B1b_data_series_on_exports_in_goods_gdp.png,figures/pdf/B1b_data_series_on_exports_in_goods_gdp.pdf,yes
Data series on imports in goods (% GDP),B1c_data_series_on_imports_in_goods_gdp,B1c,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/B1c_data_series_on_imports_in_goods_gdp.png,figures/pdf/B1c_data_series_on_imports_in_goods_gdp.pdf,yes
Data series on net trade balance (primary commodities) (% GDP),B2a_data_series_on_net_trade_balance_primary_commodities_gdp,B2a,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/B2a_data_series_on_net_trade_balance_primary_commodities_gdp.png,figures/pdf/B2a_data_series_on_net_trade_balance_primary_commodities_gdp.pdf,yes
Data series on exports in primary commodities (% GDP),B2b_data_series_on_exports_in_primary_commodities_gdp,B2b,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/B2b_data_series_on_exports_in_primary_commodities_gdp.png,figures/pdf/B2b_data_series_on_exports_in_primary_commodities_gdp.pdf,yes
Data series on imports in primary commodities (% GDP),B2c_data_series_on_imports_in_primary_commodities_gdp,B2c,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/B2c_data_series_on_imports_in_primary_commodities_gdp.png,figures/pdf/B2c_data_series_on_imports_in_primary_commodities_gdp.pdf,yes
Data series on net trade balance (manufactured goods) (% GDP),B3a_data_series_on_net_trade_balance_manufactured_goods_gdp,B3a,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/B3a_data_series_on_net_trade_balance_manufactured_goods_gdp.png,figures/pdf/B3a_data_series_on_net_trade_balance_manufactured_goods_gdp.pdf,yes
Data series on exports in manufactured goods (% GDP),B3b_data_series_on_exports_in_manufactured_goods_gdp,B3b,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/B3b_data_series_on_exports_in_manufactured_goods_gdp.png,figures/pdf/B3b_data_series_on_exports_in_manufactured_goods_gdp.pdf,yes
Data series on imports in manufactured goods (% GDP),B3c_data_series_on_imports_in_manufactured_goods_gdp,B3c,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/B3c_data_series_on_imports_in_manufactured_goods_gdp.png,figures/pdf/B3c_data_series_on_imports_in_manufactured_goods_gdp.pdf,yes
Data series on net trade balance (services) (% GDP),C1a_data_series_on_net_trade_balance_services_gdp,C1a,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/C1a_data_series_on_net_trade_balance_services_gdp.png,figures/pdf/C1a_data_series_on_net_trade_balance_services_gdp.pdf,yes
Data series on exports in services (% GDP),C1b_data_series_on_exports_in_services_gdp,C1b,"Chile, Latin America, United Kingdom, United States",1900,2025,0.0,figures/png/C1b_data_series_on_exports_in_services_gdp.png,figures/pdf/C1b_data_series_on_exports_in_services_gdp.pdf,yes
